"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tye Felhaber","RW","OTT","20.113","52","49","27","13","76","89","224","21.88","0.94","0.52","0.25","1.46","1.71","4.31","25.83","0.5","8","25","32.0","12","31","38.71","29","168","17.26","22","47","46.81"
"","Justin Brazeau","RW","NB","20.616","52","48","27","14","75","89","231","20.78","0.92","0.52","0.27","1.44","1.71","4.44","30.27","0.58","13","50","26.0","12","39","30.77","23","142","16.2","34","68","50.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","47","39","33","16","72","88","234","16.67","0.83","0.7","0.34","1.53","1.87","4.98","30.34","0.65","6","30","20.0","5","40","12.5","28","164","17.07","2","7","28.57"
"","Kevin Hancock","C","LDN/OS","20.54","54","41","31","13","72","85","264","15.53","0.76","0.57","0.24","1.33","1.57","4.89","23.43","0.43","11","24","45.83","6","31","19.35","24","209","11.48","556","982","56.62"
"","Morgan Frost","C","SSM","19.341","46","34","36","18","70","88","201","16.92","0.74","0.78","0.39","1.52","1.91","4.37","24.6","0.53","7","24","29.17","1","17","5.88","26","160","16.25","514","1029","49.95"
"","Ben Jones","C","NIAG","19.551","53","32","35","11","67","78","176","18.18","0.6","0.66","0.21","1.26","1.47","3.32","24.52","0.46","13","50","26.0","7","25","28.0","12","101","11.88","565","1054","53.61"
"","Brandon Saigeon","C","HAM/OSH","20.255","54","35","29","18","64","82","228","15.35","0.65","0.54","0.33","1.19","1.52","4.22","23.52","0.44","6","18","33.33","8","22","36.36","21","188","11.17","504","1046","48.18"
"","Arthur Kaliyev","RW","HAM","17.221","53","42","20","21","62","83","249","16.87","0.79","0.38","0.4","1.17","1.57","4.7","35.34","0.67","10","32","31.25","5","33","15.15","27","184","14.67","0","3","0.0"
"","Anthony Salinitri","LW","OSH/SAR","20.532","54","39","19","14","58","72","216","18.06","0.72","0.35","0.26","1.07","1.33","4.0","27.22","0.5","7","33","21.21","10","44","22.73","22","139","15.83","184","359","51.25"
"","Nate Schnarr","RW","GUE","19.554","50","27","30","22","57","79","148","18.24","0.54","0.6","0.44","1.14","1.58","2.96","18.84","0.38","7","28","25.0","6","27","22.22","14","93","15.05","339","645","52.56"
"","Connor McMichael","C","LDN","17.665","51","32","24","5","56","61","179","17.88","0.63","0.47","0.1","1.1","1.2","3.51","20.74","0.41","13","30","43.33","5","29","17.24","14","120","11.67","276","502","54.98"
"","Kyle Maksimovich","LW","ER/OTT","20.518","53","31","24","18","55","73","157","19.75","0.58","0.45","0.34","1.04","1.38","2.96","18.65","0.35","3","17","17.65","11","31","35.48","17","109","15.6","31","99","31.31"
"","Akil Thomas","C","NIAG","18.703","48","27","26","23","53","76","147","18.37","0.56","0.54","0.48","1.1","1.58","3.06","18.71","0.39","9","26","34.62","5","25","20.0","13","96","13.54","391","733","53.34"
"","Hugo Leufvenius","LW","SAR","19.475","54","31","22","9","53","62","206","15.05","0.57","0.41","0.17","0.98","1.15","3.81","23.36","0.43","4","21","19.05","5","33","15.15","22","152","14.47","15","35","42.86"
"","Cole Carter","RW","MISS","20.195","49","31","21","8","52","60","190","16.32","0.63","0.43","0.16","1.06","1.22","3.88","26.73","0.55","9","36","25.0","4","38","10.53","18","116","15.52","44","85","51.76"
"","Lucas Chiodo","LW","BAR/OTT","19.874","53","25","26","16","51","67","126","19.84","0.47","0.49","0.3","0.96","1.26","2.38","17.88","0.34","9","22","40.91","3","20","15.0","13","84","15.48","2","9","22.22"
"","Serron Noel","RW","OSH","18.103","54","28","23","16","51","67","151","18.54","0.52","0.43","0.3","0.94","1.24","2.8","23.66","0.44","11","40","27.5","5","33","15.15","12","78","15.38","5","19","26.32"
"","Kirill Maksimov","RW","NIAG","19.291","50","32","19","16","51","67","198","16.16","0.64","0.38","0.32","1.02","1.34","3.96","23.03","0.46","4","26","15.38","4","18","22.22","24","154","15.58","3","7","42.86"
"","Liam Hawel","C","GUE","19.412","51","31","20","13","51","64","128","24.22","0.61","0.39","0.25","1.0","1.25","2.51","14.95","0.29","5","26","19.23","6","16","37.5","20","86","23.26","175","338","51.78"
"","Brett Neumann","C","KGN/OSH","19.582","54","34","17","12","51","63","216","15.74","0.63","0.31","0.22","0.94","1.17","4.0","22.42","0.42","9","23","39.13","6","40","15.0","19","153","12.42","555","982","56.52"
"","Alan Lyszczarczyk","LW","MISS/OS","20.575","49","27","24","11","51","62","213","12.68","0.55","0.49","0.22","1.04","1.27","4.35","25.53","0.52","9","44","20.45","1","31","3.23","17","138","12.32","15","29","51.72"
