"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Ivan Chekhovich","LW","BAC","19.697","52","36","30","20","66","86","233","15.45","0.69","0.58","0.38","1.27","1.65","4.48","24.51","0.47","1054.18","20.27","2.05","1.71","1.14","3.76","4.89","13.26","1.4","18.49","17.62","64.11","46.76","18.6","73.76","104","37","12","38","31.58","11","45","24.44","13","150","8.67","1","4","25.0"
"","Alexis Lafreniere","LW","RIM","16.928","48","32","33","21","65","86","161","19.88","0.67","0.69","0.44","1.35","1.79","3.35","21.07","0.44","976.49","20.34","1.97","2.03","1.29","3.99","5.28","9.89","1.29","19.58","18.12","66.39","46.19","35.7","84.0","105","20","8","31","25.81","7","26","26.92","17","104","16.35","17","42","40.48"
"","Joseph Veleno","C","DRU","18.673","44","35","28","19","63","82","192","18.23","0.8","0.64","0.43","1.43","1.86","4.36","17.16","0.39","908.31","20.64","2.31","1.85","1.26","4.16","5.42","12.68","1.13","18.32","18.03","66.06","48.79","10.72","74.26","101","35","11","33","33.33","9","27","33.33","15","132","11.36","382","734","52.04"
"","Peter Abbandonato","C","ROU","20.477","55","26","36","26","62","88","189","13.76","0.47","0.65","0.47","1.13","1.6","3.44","20.55","0.37","1176.25","21.39","1.33","1.84","1.33","3.16","4.49","9.64","1.05","18.81","17.93","69.31","48.61","10.91","74.84","119","40","6","26","23.08","11","35","31.43","9","128","7.03","548","1029","53.26"
"","Jeremy McKenna","RW","MON","19.406","54","35","27","16","62","78","302","11.59","0.65","0.5","0.3","1.15","1.44","5.59","33.17","0.61","1223.8","22.66","1.72","1.32","0.78","3.04","3.82","14.81","1.63","19.54","18.08","58.13","49.03","19.79","64.81","105","57","9","37","24.32","4","44","9.09","22","221","9.95","66","125","52.8"
"","Samuel Asselin","C","BAT/HAL","20.208","55","43","19","13","62","75","161","26.71","0.78","0.35","0.24","1.13","1.36","2.93","24.0","0.44","1136.52","20.66","2.27","1.0","0.69","3.27","3.96","8.5","1.27","18.04","17.67","65.01","48.96","13.65","71.7","114","45","26","67","38.81","9","31","29.03","8","63","12.7","552","1016","54.33"
"","Jimmy Huntington","C","RIM","19.825","53","32","30","11","62","73","147","21.77","0.6","0.57","0.21","1.17","1.38","2.77","19.33","0.36","1078.06","20.34","1.78","1.67","0.61","3.45","4.06","8.18","1.08","19.74","18.09","67.54","48.3","16.1","72.86","102","38","10","36","27.78","7","31","22.58","15","80","18.75","698","1237","56.43"
"","Gregor MacLeod","C","DRU","20.274","51","30","28","17","58","75","177","16.95","0.59","0.55","0.33","1.14","1.47","3.47","16.52","0.32","934.95","18.33","1.93","1.8","1.09","3.72","4.81","11.36","1.06","18.25","17.75","65.65","47.56","11.74","74.44","99","34","9","21","42.86","9","36","25.0","12","120","10.0","10","20","50.0"
"","Daniel Hardie","LW","CHA","20.263","54","32","26","6","58","64","169","18.93","0.59","0.48","0.11","1.07","1.19","3.13","22.22","0.41","1007.21","18.65","1.91","1.55","0.36","3.46","3.81","10.07","1.32","18.19","17.89","55.9","46.83","21.25","65.6","82","43","13","34","38.24","9","36","25.0","10","99","10.1","6","19","31.58"
"","Nathan Legare","RW","BAC","17.676","54","38","18","15","56","71","222","17.12","0.7","0.33","0.28","1.04","1.31","4.11","18.16","0.34","1021.1","18.91","2.23","1.06","0.88","3.29","4.17","13.04","1.07","18.51","17.76","63.7","47.68","19.76","74.42","96","33","11","34","32.35","7","26","26.92","20","162","12.35","118","261","45.21"
"","Nicolas Guay","RW","DRU","19.245","49","31","25","12","56","68","187","16.58","0.63","0.51","0.24","1.14","1.39","3.82","22.86","0.47","920.69","18.79","2.02","1.63","0.78","3.65","4.43","12.19","1.49","17.99","17.84","66.73","48.51","2.31","68.15","92","43","9","34","26.47","10","47","21.28","12","106","11.32","287","519","55.3"
"","Joel Teasdale","LW","BLB/ROU","19.516","53","33","23","7","56","63","207","15.94","0.62","0.43","0.13","1.06","1.19","3.91","30.21","0.57","1106.78","20.88","1.79","1.25","0.38","3.04","3.42","11.22","1.64","19.4","18.27","53.13","54.2","15.32","63.43","85","49","10","49","20.41","12","38","31.58","11","120","9.17","111","213","52.11"
"","Alex Beaucage","LW","ROU","17.142","55","32","20","14","52","66","187","17.11","0.58","0.36","0.25","0.95","1.2","3.4","18.08","0.33","1045.45","19.01","1.84","1.15","0.8","2.98","3.79","10.73","1.04","19.49","17.85","69.02","47.06","17.07","79.69","102","26","10","32","31.25","9","29","31.03","13","126","10.32","0","6","0.0"
"","Jakob Pelletier","LW","MON","17.525","51","30","21","20","51","71","180","16.67","0.59","0.41","0.39","1.0","1.39","3.53","28.3","0.55","1041.01","20.41","1.73","1.21","1.15","2.94","4.09","10.37","1.63","20.17","18.14","57.47","48.74","20.98","66.43","95","48","17","57","29.82","3","38","7.89","10","85","11.76","25","52","48.08"
"","Mitchell Balmas","RW","CAP","20.493","49","34","17","12","51","63","181","18.78","0.69","0.35","0.24","1.04","1.29","3.69","21.36","0.44","1003.31","20.48","2.03","1.02","0.72","3.05","3.77","10.82","1.28","18.41","17.82","58.72","48.76","19.86","68.8","86","39","6","26","23.08","9","30","30.0","19","125","15.2","339","639","53.05"
"","Rafael Harvey-Pinard","LW","ROU","19.691","55","29","20","17","49","66","221","13.12","0.53","0.36","0.31","0.89","1.2","4.02","26.63","0.48","1037.72","18.87","1.68","1.16","0.98","2.83","3.82","12.78","1.54","19.14","17.9","69.43","48.73","0.64","69.42","84","37","12","52","23.08","12","44","27.27","5","125","4.0","5","12","41.67"
"","Yaroslav Alexeyev","LW","BAC","19.661","54","30","19","14","49","63","122","24.59","0.56","0.35","0.26","0.91","1.17","2.26","15.26","0.28","946.8","17.53","1.9","1.2","0.89","3.11","3.99","7.73","0.97","18.59","17.57","62.41","47.53","14.64","71.09","91","37","14","28","50.0","8","26","30.77","8","68","11.76","4","11","36.36"
"","Gabriel Fortier","C","BAC","18.607","54","27","21","19","48","67","161","16.77","0.5","0.39","0.35","0.89","1.24","2.98","17.1","0.32","1037.61","19.21","1.56","1.21","1.1","2.78","3.87","9.31","0.99","18.72","17.86","64.82","48.03","15.62","71.03","103","42","13","40","32.5","3","16","18.75","11","105","10.48","382","745","51.28"
"","Felix Lauzon","C","DRU","20.378","53","25","23","18","48","66","150","16.67","0.47","0.43","0.34","0.91","1.25","2.83","18.14","0.34","886.23","16.72","1.69","1.56","1.22","3.25","4.47","10.16","1.23","17.73","17.63","66.48","45.97","14.04","75.83","91","29","11","32","34.38","10","38","26.32","4","80","5.0","494","770","64.16"
"","Antoine Morand","C","HAL","19.573","52","20","26","17","46","63","122","16.39","0.38","0.5","0.33","0.88","1.21","2.35","14.05","0.27","928.46","17.85","1.29","1.68","1.1","2.97","4.07","7.88","0.91","19.18","17.76","66.43","48.56","18.52","76.67","92","28","6","30","20.0","6","19","31.58","8","73","10.96","305","566","53.89"
