,Name,Team,G,A1,A2,P1,Distance from Centroid
0,Serron Noel,OSH,32,26,16,58,0.2780988191535761
1,Kyle Maksimovich,ER/OTT,35,25,21,60,0.6579498223880548
2,Liam Hawel,GUE,35,21,16,56,0.7061832635274431
3,Nick Suzuki,GUE/OS,30,28,21,58,0.7163756768344453
4,Kirill Maksimov,NIAG,37,21,17,58,0.7198416536998794
5,Lucas Chiodo,BAR/OTT,27,29,19,56,0.7279256211253666
6,Matthew Struthers,NB,28,23,18,51,0.7409029064206792
7,Greg Meireles,KIT,31,28,22,59,0.844960191039932
8,Brandon Saigeon,HAM/OSH,37,30,20,67,0.8747108424336552
9,Jack Studnicka,NIAG/OSH,30,20,18,50,0.9293997642358548
10,Anthony Salinitri,OSH/SAR,42,24,16,66,0.9882168188066377
11,Alan Lyszczarczyk,MISS/OS,35,27,12,62,0.9967881952291817
12,Matthew Strome,HAM,27,27,22,54,1.0085691144658218
13,Adam Ruzicka,SAR/SBY,26,22,17,48,1.0150296099350014
14,Cole Perfetti,SAG,30,20,14,50,1.106551913228419
15,Sasha Chmelevski,OTT,31,27,11,58,1.1532009513556194
16,Ryan McGregor,SAR,24,25,21,49,1.1774882452713225
17,Hugo Leufvenius,SAR,35,28,11,63,1.193122653953037
18,Cole Coskey,SAG,31,20,12,51,1.2947857355538956
19,Owen Tippett,SAG/MISS,30,17,17,47,1.3107098496259413
20,Brett Neumann,KGN/OSH,40,17,15,57,1.3463057016085211
21,Philip Tomasino,NIAG,31,23,10,54,1.396236961359937
22,Ryan Suzuki,BAR,20,27,19,47,1.400011162791236
23,Riley Damiani,KIT,23,34,15,57,1.4049116565868316
24,Rickard Hugg,KIT,30,16,19,46,1.4621534619105439
25,Cole Carter,MISS,34,23,9,57,1.5324029609509116
26,Keeghan Howdeshell,SSM,41,19,11,60,1.5987508644447757
27,Austen Keating,OTT,21,33,22,54,1.6217588498773854
28,Bode Wilde,SAG,18,26,21,44,1.7265270665891723
29,Akil Thomas,NIAG,32,33,26,65,1.7462022517743923
30,Liam Foudy,LDN,35,12,19,47,1.851476842712993
31,Joseph Garreffa,KIT,26,21,26,47,1.855741715124744
32,Mac Hollowell,SSM,23,22,26,45,1.9760944530873104
33,Arthur Kaliyev,HAM,50,25,22,75,1.9779500542177295
34,Tye Felhaber,OTT,51,28,16,79,2.03564325577951
35,Connor McMichael,LDN,36,27,6,63,2.040445707459816
36,Nate Schnarr,GUE,28,37,26,65,2.073800080906186
37,Jason Robertson,KGN/NIAG,42,38,21,80,2.132597011427683
38,Isaac Ratcliffe,GUE,47,15,11,62,2.1829576360721044
39,Ben Jones,NIAG,38,40,13,78,2.1933884353001387
40,Justin Brazeau,NB,53,30,15,83,2.3739118447282475
41,Kevin Hancock,LDN/OS,50,35,16,85,2.4136610407887735
42,Ryan Merkley,GUE/PBO,11,30,23,41,2.5043735631597794
43,Morgan Frost,SSM,37,46,21,83,2.8546489878021415
