,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Hershey Bears,476,262,54.578,1671,1309,362,51.701,15031,13859,1172,10.586,0.907,101.232
1,Wilkes-Barre/Scranton Penguins,476,252,53.895,1470,1227,243,54.195,14986,12790,2196,9.442,0.902,99.669
2,Chicago Wolves,476,242,52.379,1569,1343,226,49.171,14442,14315,127,9.622,0.914,100.999
3,Hamilton Bulldogs,476,229,50.421,1367,1212,155,50.118,14202,13970,232,8.593,0.916,100.156
4,Milwaukee Admirals,476,229,52.965,1330,1202,128,50.023,13307,13541,-234,9.381,0.918,101.129
5,Manchester Monarchs,476,227,51.601,1342,1216,126,49.115,14381,14743,-362,8.998,0.92,100.968
6,Norfolk Admirals,476,221,55.695,1472,1394,78,54.067,15263,14317,946,9.803,0.909,100.704
7,Portland Pirates,476,213,49.735,1424,1361,63,48.704,14176,14269,-93,9.993,0.904,100.342
8,Worcester Sharks,476,212,48.656,1351,1391,-40,53.012,15615,13748,1867,7.878,0.906,98.508
9,Providence Bruins,476,208,47.204,1335,1326,9,49.25,14959,14083,876,8.051,0.912,99.292
10,Toronto Marlies,476,207,52.242,1315,1320,-5,50.172,14397,13716,681,9.044,0.916,100.65
11,Peoria Rivermen,476,205,50.312,1324,1337,-13,49.128,14267,13780,487,8.817,0.916,100.387
12,San Antonio Rampage,476,203,48.425,1298,1390,-92,49.459,14247,14496,-249,8.603,0.912,99.829
13,Syracuse Crunch,476,201,48.732,1368,1401,-33,48.484,14616,15238,-622,9.058,0.91,100.074
14,Bridgeport Sound Tigers,476,198,49.408,1311,1391,-80,48.403,14124,15274,-1150,9.25,0.911,100.365
15,Manitoba Moose,400,194,50.719,1101,1005,96,48.752,11189,11700,-511,8.92,0.918,100.67
16,Houston Aeros,476,186,50.344,1238,1284,-46,49.183,13157,13728,-571,9.109,0.913,100.439
17,Rochester Americans,476,183,48.043,1316,1511,-195,46.77,13426,15279,-1853,9.588,0.909,100.429
18,Grand Rapids Griffins,476,183,48.898,1376,1450,-74,51.768,14996,14251,745,8.933,0.899,98.79
19,Binghamton Senators,476,182,48.094,1366,1509,-143,47.138,14938,16013,-1075,8.999,0.913,100.3
20,Rockford IceHogs,396,170,48.116,1094,1123,-29,51.246,12075,11929,146,8.212,0.908,98.929
21,Hartford Wolf Pack,320,163,51.228,956,848,108,51.195,10039,9076,963,9.442,0.906,100.054
22,Lake Erie Monsters,396,153,48.47,1032,1135,-103,48.0,10963,12111,-1148,8.907,0.912,100.192
23,Springfield Falcons,476,148,46.364,1205,1542,-337,47.764,12913,15248,-2335,9.559,0.9,99.595
24,Albany River Rats,320,135,49.649,901,929,-28,49.124,9625,9992,-367,9.112,0.911,100.149
25,Lowell Devils,320,124,48.53,835,941,-106,48.618,9482,10200,-718,8.838,0.913,100.068
26,Philadelphia Phantoms,240,106,49.52,678,701,-23,47.348,7028,7582,-554,9.503,0.912,100.727
27,Texas Stars,236,104,49.743,661,647,14,49.795,7040,7275,-235,9.012,0.909,99.818
28,Abbotsford Heat,236,95,48.45,579,626,-47,51.765,7281,6706,575,7.89,0.91,98.845
29,Adirondack Phantoms,236,89,46.282,589,704,-115,48.94,6857,7162,-305,8.322,0.908,99.075
30,Oklahoma City Barons,156,75,53.245,448,396,52,50.68,4663,4539,124,9.26,0.915,100.78
31,Charlotte Checkers,156,71,50.905,463,444,19,50.515,5040,4944,96,8.955,0.914,100.28
32,Iowa Stars,160,68,47.12,429,482,-53,50.75,4692,4559,133,8.795,0.897,98.515
33,Connecticut Whale,156,64,50.065,419,418,1,50.455,4691,4608,83,8.66,0.912,99.775
34,Quad City Flames,160,58,48.94,399,416,-17,54.07,4992,4239,753,7.64,0.906,98.315
35,Albany Devils,156,55,44.56,399,499,-100,49.74,4684,4737,-53,8.205,0.898,98.025
36,Omaha Ak-Sar-Ben Knights,80,41,52.28,206,188,18,51.21,2194,2090,104,9.02,0.913,100.28
37,St. John's IceCaps,76,39,52.56,236,213,23,53.7,2463,2124,339,9.32,0.904,99.72
38,Iowa Chops,80,32,45.41,208,250,-42,47.59,2072,2282,-210,9.82,0.893,99.1
