,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Keith Aucoin,C,HER,30.859,72,35,45,26,80,106,183,19.13,0.49,0.62,0.36,1.11,1.47,2.54
1,Alexandre Giroux,LW,HER,28.25,69,50,34,19,84,103,253,19.76,0.72,0.49,0.28,1.22,1.49,3.67
2,Corey Locke,C,HFD,25.356,76,31,29,25,60,85,197,15.74,0.41,0.38,0.33,0.79,1.12,2.59
3,Jerome Samson,RW,ALB,22.032,74,37,25,16,62,78,332,11.14,0.5,0.34,0.22,0.84,1.05,4.49
4,David Desharnais,C,HAM,23.004,60,27,34,17,61,78,155,17.42,0.45,0.57,0.28,1.02,1.3,2.58
5,Brock Trotter,C,HAM,22.664,75,36,18,23,54,77,165,21.82,0.48,0.24,0.31,0.72,1.03,2.2
6,Jason Krog,C,CHI,33.936,78,14,35,26,49,75,152,9.21,0.18,0.45,0.33,0.63,0.96,1.95
7,Mark Mancari,RW,POR,24.181,74,28,29,17,57,74,231,12.12,0.38,0.39,0.23,0.77,1.0,3.12
8,Charles Linglet,LW,SPR,27.234,75,19,30,25,49,74,215,8.84,0.25,0.4,0.33,0.65,0.99,2.87
9,Martin St. Pierre,C,BNG,26.098,77,24,27,21,51,72,178,13.48,0.31,0.35,0.27,0.66,0.94,2.31
10,Andrew Gordon,RW,HER,23.757,79,37,18,16,55,71,195,18.97,0.47,0.23,0.2,0.7,0.9,2.47
11,Jamie Johnson,C,RCH,27.645,80,27,28,16,55,71,139,19.42,0.34,0.35,0.2,0.69,0.89,1.74
12,Dustin Jeffrey,C,WBS,21.55,77,24,26,21,50,71,236,10.17,0.31,0.34,0.27,0.65,0.92,3.06
13,T.J. Hensick,C,LE,23.765,58,20,32,18,52,70,153,13.07,0.34,0.55,0.31,0.9,1.21,2.64
14,Chris Bourque,LW,HER,23.628,49,22,25,23,47,70,170,12.94,0.45,0.51,0.47,0.96,1.43,3.47
15,Josh Hennessy,C,BNG,24.603,78,30,21,17,51,68,190,15.79,0.38,0.27,0.22,0.65,0.87,2.44
16,Ryan Keller,RW,BNG,25.693,72,34,16,18,50,68,229,14.85,0.47,0.22,0.25,0.69,0.94,3.18
17,Danny Groulx,D,WOR,28.231,80,14,30,22,44,66,264,5.3,0.17,0.38,0.28,0.55,0.82,3.3
18,Tyler Ennis,C,POR,19.943,69,23,25,17,48,65,184,12.5,0.33,0.36,0.25,0.7,0.94,2.67
19,Brett MacLean,RW,SA,20.726,76,30,28,7,58,65,252,11.9,0.39,0.37,0.09,0.76,0.86,3.32
20,Darren Haydar,RW,LE,29.901,66,23,21,20,44,64,148,15.54,0.35,0.32,0.3,0.67,0.97,2.24
21,Jeremy Williams,RW,GR,25.638,77,32,19,12,51,63,210,15.24,0.42,0.25,0.16,0.66,0.82,2.73
22,Kyle Turris,C,SA,20.088,76,24,12,27,36,63,220,10.91,0.32,0.16,0.36,0.47,0.83,2.89
23,Jon Matsumoto,C,ADK,22.924,80,30,23,9,53,62,249,12.05,0.38,0.29,0.11,0.66,0.78,3.11
24,Steve Zalewski,C,WOR,23.072,78,22,27,13,49,62,195,11.28,0.28,0.35,0.17,0.63,0.79,2.5
25,Chris Taylor,C,RCH,37.528,80,17,25,19,42,61,144,11.81,0.21,0.31,0.24,0.53,0.76,1.8
26,Clay Wilson,D,RCH,26.448,75,14,29,17,43,60,191,7.33,0.19,0.39,0.23,0.57,0.8,2.55
27,Chad Wiseman,LW,SPR,28.477,67,24,19,16,43,59,155,15.48,0.36,0.28,0.24,0.64,0.88,2.31
28,Mike Santorelli,C,MIL,23.754,57,26,21,12,47,59,186,13.98,0.46,0.37,0.21,0.82,1.04,3.26
29,Tim Stapleton,C,CHI,27.187,73,30,14,15,44,59,170,17.65,0.41,0.19,0.21,0.6,0.81,2.33
30,Aaron Gagnon,C,TEX,23.395,78,27,17,14,44,58,152,17.76,0.35,0.22,0.18,0.56,0.74,1.95
31,Pascal Pelletier,C,PEO/SYR,26.251,80,17,24,17,41,58,204,8.33,0.21,0.3,0.21,0.51,0.72,2.55
32,Ben Walter,C,LOW,25.348,78,22,23,13,45,58,159,13.84,0.28,0.29,0.17,0.58,0.74,2.04
33,Brian Willsie,RW,LE,31.502,75,26,13,18,39,57,234,11.11,0.35,0.17,0.24,0.52,0.76,3.12
34,Lars Eller,C,PEO,20.356,70,18,16,23,34,57,163,11.04,0.26,0.23,0.33,0.49,0.81,2.33
35,Chris Conner,LW,WBS,25.731,59,19,23,14,42,56,177,10.73,0.32,0.39,0.24,0.71,0.95,3.0
36,Brett Sterling,LW,CHI,25.394,55,34,12,10,46,56,153,22.22,0.62,0.22,0.18,0.84,1.02,2.78
37,Jeff Taffe,C,RCH,28.57,61,28,13,15,41,56,178,15.73,0.46,0.21,0.25,0.67,0.92,2.92
38,Mark Letestu,C,WBS,24.611,63,21,23,11,44,55,217,9.68,0.33,0.37,0.17,0.7,0.87,3.44
39,Marco Rosa,C,MTB,27.667,80,22,23,10,45,55,198,11.11,0.28,0.29,0.12,0.56,0.69,2.48
40,Jean-Michel Daoust,RW,HOU,25.81,78,21,21,13,42,55,126,16.67,0.27,0.27,0.17,0.54,0.71,1.62
41,Colton Fretter,RW,SPR,27.513,79,26,22,7,48,55,169,15.38,0.33,0.28,0.09,0.61,0.7,2.14
42,Michael Swift,C,LOW,22.475,76,24,16,15,40,55,153,15.69,0.32,0.21,0.2,0.53,0.72,2.01
43,Greg Mauldin,LW,BRI,27.267,77,25,15,14,40,54,238,10.5,0.32,0.19,0.18,0.52,0.7,3.09
44,Jason Jaffray,LW,ABB,28.211,72,25,16,13,41,54,209,11.96,0.35,0.22,0.18,0.57,0.75,2.9
45,Mark Cullen,C,RFD,30.884,62,21,18,14,39,53,119,17.65,0.34,0.29,0.23,0.63,0.85,1.92
46,Logan Couture,C,WOR,20.469,42,20,13,20,33,53,130,15.38,0.48,0.31,0.48,0.79,1.26,3.1
47,P.K. Subban,D,HAM,20.343,77,18,19,16,37,53,188,9.57,0.23,0.25,0.21,0.48,0.69,2.44
48,Dan DaSilva,RW,WOR,24.378,72,21,19,13,40,53,196,10.71,0.29,0.26,0.18,0.56,0.74,2.72
49,Johnny Pohl,C,CHI,30.216,66,20,16,17,36,53,124,16.13,0.3,0.24,0.26,0.55,0.8,1.88
50,Joey Crabb,RW,CHI,26.454,79,24,27,2,51,53,133,18.05,0.3,0.34,0.03,0.65,0.67,1.68
51,Kyle Wilson,C,HER,24.751,77,24,18,11,42,53,158,15.19,0.31,0.23,0.14,0.55,0.69,2.05
52,Michal Repik,RW,RCH,20.707,60,22,16,15,38,53,151,14.57,0.37,0.27,0.25,0.63,0.88,2.52
53,Travis Morin,C,TEX,25.684,80,21,20,11,41,52,140,15.0,0.26,0.25,0.14,0.51,0.65,1.75
54,Maxim Noreau,D,HOU,22.314,76,18,20,14,38,52,226,7.96,0.24,0.26,0.18,0.5,0.68,2.97
55,Jon DiSalvatore,RW,HOU,28.463,79,21,16,15,37,52,163,12.88,0.27,0.2,0.19,0.47,0.66,2.06
56,Francois Bouchard,RW,HER,21.389,77,21,14,17,35,52,149,14.09,0.27,0.18,0.22,0.45,0.68,1.94
57,Dane Byers,LW,HFD,23.565,74,25,15,12,40,52,176,14.2,0.34,0.2,0.16,0.54,0.7,2.38
58,Brendan Bell,D,PEO/SYR,26.462,71,14,18,20,32,52,180,7.78,0.2,0.25,0.28,0.45,0.73,2.54
59,Bracken Kearns,C,RFD,28.346,80,15,26,10,41,51,133,11.28,0.19,0.33,0.12,0.51,0.64,1.66
60,Kris Newbury,C,HFD/GR,27.571,70,15,21,15,36,51,130,11.54,0.21,0.3,0.21,0.51,0.73,1.86
61,Denis Hamel,LW,BNG,32.351,73,22,21,8,43,51,249,8.84,0.3,0.29,0.11,0.59,0.7,3.41
62,Derek Smith,D,BNG,24.923,74,14,18,19,32,51,211,6.64,0.19,0.24,0.26,0.43,0.69,2.85
63,Dale Weise,RW,HFD,21.112,73,28,9,13,37,50,177,15.82,0.38,0.12,0.18,0.51,0.68,2.42
64,Mathieu Perreault,C,HER,21.695,56,16,16,18,32,50,94,17.02,0.29,0.29,0.32,0.57,0.89,1.68
65,Benn Ferriero,RW,WOR,22.382,58,19,18,13,37,50,164,11.59,0.33,0.31,0.22,0.64,0.86,2.83
66,Alexandre Picard,LW,SA/SYR,23.935,58,26,16,8,42,50,173,15.03,0.45,0.28,0.14,0.72,0.86,2.98
67,Chad Kolarik,C,SA/SYR,23.636,76,26,14,10,40,50,213,12.21,0.34,0.18,0.13,0.53,0.66,2.8
68,Mikko Lehtonen,RW,PRO,22.459,78,23,14,13,37,50,257,8.95,0.29,0.18,0.17,0.47,0.64,3.29
69,Matt Taormina,D,LOW,22.905,75,10,25,15,35,50,190,5.26,0.13,0.33,0.2,0.47,0.67,2.53
70,Jack Skille,RW,RFD,22.328,63,23,18,8,41,49,243,9.47,0.37,0.29,0.13,0.65,0.78,3.86
71,Spencer Machacek,RW,CHI,20.92,79,20,18,11,38,49,207,9.66,0.25,0.23,0.14,0.48,0.62,2.62
72,Sean Sullivan,D,SA,25.465,77,12,23,14,35,49,175,6.86,0.16,0.3,0.18,0.45,0.64,2.27
73,Wyatt Smith,C,WBS,32.587,76,13,17,18,30,48,120,10.83,0.17,0.22,0.24,0.39,0.63,1.58
74,Jesse Joensuu,RW,BRI,21.947,70,14,26,8,40,48,139,10.07,0.2,0.37,0.11,0.57,0.69,1.99
75,Trevor Smith,C,BRI,24.6,77,21,14,12,35,47,199,10.55,0.27,0.18,0.16,0.45,0.61,2.58
76,Derek MacKenzie,C,SYR,28.263,47,17,14,16,31,47,140,12.14,0.36,0.3,0.34,0.66,1.0,2.98
77,Perttu Lindgren,C,TEX,22.057,74,14,20,13,34,47,98,14.29,0.19,0.27,0.18,0.46,0.64,1.32
78,Luca Caputi,LW,WBS,20.956,54,23,13,11,36,47,174,13.22,0.43,0.24,0.2,0.67,0.87,3.22
79,Chris Terry,LW,ALB,20.441,80,17,18,12,35,47,132,12.88,0.21,0.23,0.15,0.44,0.59,1.65
80,Patrick Rissmiller,LW,HFD/GR,30.889,69,20,18,9,38,47,130,15.38,0.29,0.26,0.13,0.55,0.68,1.88
81,Bud Holloway,C,MCH,21.542,75,19,21,7,40,47,173,10.98,0.25,0.28,0.09,0.53,0.63,2.31
82,Kaspars Daugavins,LW,BNG,21.328,72,21,15,10,36,46,193,10.88,0.29,0.21,0.14,0.5,0.64,2.68
83,Andrew Desjardins,C,WOR,23.138,80,19,12,15,31,46,162,11.73,0.24,0.15,0.19,0.39,0.57,2.02
84,David Laliberte,RW,ADK,23.499,66,18,17,11,35,46,192,9.38,0.27,0.26,0.17,0.53,0.7,2.91
85,Jared Ross,C,ADK,26.993,73,12,23,11,35,46,151,7.95,0.16,0.32,0.15,0.48,0.63,2.07
86,Ryan Craig,LW,NOR,27.691,73,23,11,11,34,45,222,10.36,0.32,0.15,0.15,0.47,0.62,3.04
87,Pierre-Alexandre Parenteau,RW,HFD,26.481,35,20,14,11,34,45,133,15.04,0.57,0.4,0.31,0.97,1.29,3.8
88,Sean Bentivoglio,LW,BRI,23.916,80,19,12,14,31,45,148,12.84,0.24,0.15,0.17,0.39,0.56,1.85
89,Matt Anderson,RW,CHI,26.875,63,16,13,16,29,45,102,15.69,0.25,0.21,0.25,0.46,0.71,1.62
90,Sergei Shirokov,RW,MTB,23.519,76,22,15,8,37,45,158,13.92,0.29,0.2,0.11,0.49,0.59,2.08
91,Kyle Greentree,LW,RFD,25.835,64,25,12,8,37,45,182,13.74,0.39,0.19,0.12,0.58,0.7,2.84
92,Patrick Maroon,LW,ADK,21.397,67,11,14,19,25,44,160,6.88,0.16,0.21,0.28,0.37,0.66,2.39
93,Ben Maxwell,C,HAM,21.462,57,16,13,15,29,44,134,11.94,0.28,0.23,0.26,0.51,0.77,2.35
94,Jonas Junland,D,PEO,21.835,74,14,17,13,31,44,175,8.0,0.19,0.23,0.18,0.42,0.59,2.36
95,Greg Rallo,LW,TEX,28.055,69,19,12,13,31,44,151,12.58,0.28,0.17,0.19,0.45,0.64,2.19
96,Zach Hamill,C,PRO,20.978,75,14,17,13,31,44,146,9.59,0.19,0.23,0.17,0.41,0.59,1.95
97,Cory Murphy,D,LOW,31.587,64,6,13,25,19,44,142,4.23,0.09,0.2,0.39,0.3,0.69,2.22
98,Boyd Kane,LW,HER,31.412,76,24,11,9,35,44,122,19.67,0.32,0.14,0.12,0.46,0.58,1.61
99,Mathieu Beaudoin,RW,TEX,25.443,72,19,14,11,33,44,157,12.1,0.26,0.19,0.15,0.46,0.61,2.18
100,T.J. Trevelyan,LW,WOR,25.528,63,28,8,8,36,44,225,12.44,0.44,0.13,0.13,0.57,0.7,3.57
101,Corey Elkins,C,MCH,24.559,73,21,14,8,35,43,144,14.58,0.29,0.19,0.11,0.48,0.59,1.97
102,Nick Johnson,RW,WBS,23.727,61,16,12,15,28,43,148,10.81,0.26,0.2,0.25,0.46,0.7,2.43
103,Robert Dietrich,D,MIL,23.144,79,6,14,23,20,43,123,4.88,0.08,0.18,0.29,0.25,0.54,1.56
104,Trent Whitfield,C,PRO,32.247,52,17,15,11,32,43,135,12.59,0.33,0.29,0.21,0.62,0.83,2.6
105,Marc-Andre Gragnani,D,POR,22.517,66,12,14,17,26,43,92,13.04,0.18,0.21,0.26,0.39,0.65,1.39
106,Andy Wozniewski,D,PRO,29.309,68,10,19,14,29,43,169,5.92,0.15,0.28,0.21,0.43,0.63,2.49
107,John McCarthy,LW,WOR,23.102,74,15,14,13,29,42,138,10.87,0.2,0.19,0.18,0.39,0.57,1.86
108,Mattias Ritola,C,GR,22.508,73,19,13,10,32,42,178,10.67,0.26,0.18,0.14,0.44,0.58,2.44
109,Dan Fritsche,C,SYR,24.176,67,13,18,11,31,42,161,8.07,0.19,0.27,0.16,0.46,0.63,2.4
110,Peter MacArthur,LW,RFD,24.239,71,8,19,15,27,42,134,5.97,0.11,0.27,0.21,0.38,0.59,1.89
111,Hugh Jessiman,RW,MIL,25.468,78,20,11,11,31,42,169,11.83,0.26,0.14,0.14,0.4,0.54,2.17
