,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Norfolk Admirals,76,52,60.27,270,178,92,54.78,2445,2018,427,10.68,0.914,102.04
1,Toronto Marlies,76,41,55.56,215,172,43,50.81,2193,2123,70,9.27,0.922,101.47
2,Oklahoma City Barons,76,40,54.88,208,171,37,50.83,2204,2132,72,8.98,0.922,101.22
3,Chicago Wolves,76,40,52.62,211,190,21,47.95,2200,2388,-188,8.85,0.924,101.2
4,St. John's IceCaps,76,39,52.56,236,213,23,53.7,2463,2124,339,9.32,0.904,99.72
5,Wilkes-Barre/Scranton Penguins,76,37,52.05,228,210,18,53.52,2275,1976,299,9.5,0.895,99.01
6,Bridgeport Sound Tigers,76,37,51.81,229,213,16,49.51,2364,2411,-47,9.5,0.914,100.93
7,Abbotsford Heat,76,36,49.74,194,196,-2,50.91,2257,2176,81,8.31,0.912,99.47
8,Milwaukee Admirals,76,36,52.69,206,185,21,50.94,2227,2145,82,8.92,0.918,100.73
9,San Antonio Rampage,76,36,48.73,192,202,-10,48.48,2222,2361,-139,8.52,0.919,100.39
10,Adirondack Phantoms,76,34,48.32,201,215,-14,49.04,2303,2393,-90,8.53,0.914,99.96
11,Peoria Rivermen,76,34,50.84,212,205,7,48.13,2341,2523,-182,8.59,0.922,100.83
12,Manchester Monarchs,76,33,49.51,201,205,-4,47.98,2239,2428,-189,8.81,0.919,100.75
13,Charlotte Checkers,76,32,49.39,203,208,-5,51.21,2434,2319,115,8.11,0.914,99.5
14,Hamilton Bulldogs,76,32,45.3,183,221,-38,48.36,2221,2372,-151,7.91,0.912,99.09
15,Lake Erie Monsters,76,32,47.55,184,203,-19,47.04,2111,2377,-266,8.5,0.917,100.23
16,Portland Pirates,76,31,46.68,218,249,-31,48.57,2223,2354,-131,9.48,0.897,99.17
17,Hershey Bears,76,31,52.2,237,217,20,50.89,2298,2218,80,10.2,0.905,100.66
18,Springfield Falcons,76,31,48.18,212,228,-16,49.73,2214,2238,-24,9.45,0.901,99.55
19,Rochester Americans,76,30,50.11,218,217,1,47.51,2216,2448,-232,9.63,0.912,100.84
20,Houston Aeros,76,30,50.26,197,195,2,48.16,2096,2256,-160,9.05,0.918,100.81
21,Albany Devils,76,29,45.97,188,221,-33,50.79,2340,2267,73,7.6,0.906,98.17
22,Grand Rapids Griffins,76,29,49.59,241,245,-4,52.6,2586,2330,256,9.11,0.898,98.9
23,Worcester Sharks,76,29,48.4,197,210,-13,52.74,2525,2263,262,7.51,0.911,98.59
24,Syracuse Crunch,76,29,50.11,230,229,1,49.82,2490,2508,-18,9.05,0.911,100.11
25,Connecticut Whale,76,29,50.25,203,201,2,49.96,2349,2353,-4,8.37,0.917,100.02
26,Rockford IceHogs,76,28,47.51,200,221,-21,52.38,2518,2289,229,7.69,0.908,98.47
27,Texas Stars,76,28,47.02,221,249,-28,51.7,2430,2270,160,8.83,0.893,98.1
28,Providence Bruins,76,28,46.97,186,210,-24,47.74,2257,2471,-214,7.91,0.918,99.75
29,Binghamton Senators,76,27,45.23,199,241,-42,44.87,2230,2740,-510,8.6,0.914,100.0
