,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Daniel Carr,LW,CHI,26.873,45,27,17,17,44,61,135,20.0,0.6,0.38,0.38,0.98,1.36,3.0
1,Jeremy Bracco,RW,TOR,21.498,52,15,28,10,43,53,92,16.3,0.29,0.54,0.19,0.83,1.02,1.77
2,Chris Mueller,C,TOR,32.529,47,24,15,12,39,51,114,21.05,0.51,0.32,0.26,0.83,1.09,2.43
3,Andrew Agozzino,LW,COL,27.699,48,22,17,11,39,50,147,14.97,0.46,0.35,0.23,0.81,1.04,3.06
4,Peter Holland,C,HFD,27.669,52,20,23,6,43,49,154,12.99,0.38,0.44,0.12,0.83,0.94,2.96
5,Reid Boucher,LW,UTI,25.019,42,24,15,10,39,49,178,13.48,0.57,0.36,0.24,0.93,1.17,4.24
6,Greg Carey,LW,LV,28.447,52,23,16,10,39,49,137,16.79,0.44,0.31,0.19,0.75,0.94,2.63
7,Chris Terry,LW,GR,29.441,48,24,17,7,41,48,148,16.22,0.5,0.35,0.15,0.85,1.0,3.08
8,Sam Carrick,C,SD,26.612,44,25,15,5,40,45,122,20.49,0.57,0.34,0.11,0.91,1.02,2.77
9,Mike Sgarbossa,C,HER,26.142,52,23,16,5,39,44,120,19.17,0.44,0.31,0.1,0.75,0.85,2.31
