,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,London Knights,884,528,58.412,3425,2657,768,52.668,30329,29489,840,10.708,0.916,102.262
1,Kitchener Rangers,884,504,54.156,3206,2650,556,51.579,32779,29155,3624,8.958,0.92,100.956
2,Plymouth Whalers,884,502,57.495,3226,2580,646,53.007,29618,29177,441,10.805,0.911,101.826
3,Barrie Colts,884,459,53.875,3045,2755,290,49.14,30655,30276,379,10.169,0.914,101.55
4,Guelph Storm,884,455,52.333,2994,2751,243,51.238,29560,28308,1252,9.939,0.906,100.474
5,Windsor Spitfires,884,445,47.169,3253,3038,215,49.24,31689,29455,2234,9.389,0.898,99.107
6,Ottawa 67's,878,435,47.151,3216,2944,272,46.089,30765,30463,302,10.454,0.899,100.399
7,Brampton Battalion,884,429,50.983,2816,2698,118,55.962,30267,27300,2967,8.136,0.902,98.267
8,Belleville Bulls,878,426,51.574,2838,2809,29,49.836,28751,30268,-1517,9.024,0.916,100.554
9,Owen Sound Attack,884,403,55.003,2977,3003,-26,51.732,32100,29640,2460,9.448,0.915,100.947
10,Sault Ste. Marie Greyhounds,884,398,48.664,2851,3033,-182,49.54,28898,29311,-413,10.379,0.892,99.475
11,Peterborough Petes,882,378,43.451,2806,3172,-366,48.274,29069,31925,-2856,8.552,0.899,98.386
12,Sarnia Sting,884,371,48.261,2926,3191,-265,47.502,29519,30545,-1026,10.895,0.894,100.331
13,Erie Otters,884,349,40.954,2848,3398,-550,45.161,29338,31208,-1870,9.434,0.888,98.204
14,Oshawa Generals,880,342,52.164,2945,3332,-387,53.403,29928,30198,-270,9.314,0.902,99.466
15,Kingston Frontenacs,884,340,43.476,2890,3417,-527,47.882,30003,32536,-2533,9.063,0.894,98.367
16,Sudbury Wolves,884,334,47.583,2678,3112,-434,47.466,27934,30734,-2800,9.835,0.901,99.953
17,Saginaw Spirit,748,311,50.016,2437,2612,-175,48.896,24477,26266,-1789,10.479,0.9,100.432
18,Toronto St. Michael's Majors,474,239,44.69,1510,1568,-58,46.083,15848,16479,-631,9.954,0.895,99.444
19,Niagara IceDogs,408,198,52.734,1449,1313,136,52.58,14296,13167,1129,9.966,0.902,100.102
20,Mississauga IceDogs,476,188,50.747,1518,1853,-335,52.606,16335,17119,-784,10.13,0.892,99.287
21,Mississauga St. Michael's Majors,272,127,50.076,837,832,5,49.318,8846,8629,217,9.358,0.908,100.195
22,North Bay Centennials,136,55,47.075,417,467,-50,49.9,4811,4836,-25,8.455,0.906,98.99
23,Mississauga St. Michaels Majors,68,49,62.75,283,168,115,58.69,2543,1790,753,10.78,0.908,101.6
24,Mississauga Steelheads,68,22,45.1,175,213,-38,49.01,2079,2163,-84,8.15,0.906,98.72
