,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Plymouth Whalers,68,44,63.36,294,170,124,51.08,2429,2326,103,11.85,0.928,104.62
1,Kitchener Rangers,68,44,58.47,259,184,75,58.54,2728,1932,796,9.36,0.907,100.07
2,Barrie Colts,68,41,58.08,266,192,74,50.02,2310,2308,2,11.28,0.918,103.13
3,Mississauga IceDogs,68,41,56.74,324,247,77,55.05,2678,2187,491,11.9,0.889,100.77
4,Saginaw Spirit,68,40,57.29,287,214,73,54.03,2552,2171,381,11.18,0.903,101.49
5,London Knights,68,40,56.9,301,228,73,47.93,2364,2568,-204,12.47,0.913,103.77
6,Belleville Bulls,68,35,53.56,256,222,34,46.94,2263,2558,-295,11.12,0.914,102.54
7,Sarnia Sting,68,32,53.17,268,236,32,50.5,2308,2262,46,11.46,0.897,101.18
8,Guelph Storm,68,32,52.84,214,191,23,49.57,2030,2065,-35,10.05,0.908,100.89
9,Owen Sound Attack,68,29,49.71,254,257,-3,57.15,2840,2129,711,8.88,0.881,97.02
10,Sault Ste. Marie Greyhounds,68,29,50.81,219,212,7,51.87,2161,2005,156,9.97,0.896,99.62
11,Ottawa 67's,68,27,47.99,239,259,-20,49.6,2332,2370,-38,10.06,0.892,99.28
12,Brampton Battalion,68,26,43.83,213,273,-60,51.79,2232,2078,154,9.34,0.872,96.54
13,Sudbury Wolves,68,25,48.46,221,235,-14,50.84,2197,2124,73,9.85,0.892,99.08
14,Kingston Frontenacs,68,25,48.26,263,282,-19,50.17,2412,2396,16,10.79,0.885,99.28
15,Oshawa Generals,68,24,47.5,285,315,-30,52.81,2671,2387,284,10.44,0.868,97.28
16,Peterborough Petes,68,21,41.94,195,270,-75,40.1,1870,2793,-923,10.33,0.904,100.76
17,Toronto St. Michael's Majors,68,17,40.81,222,322,-100,43.32,2118,2771,-653,10.35,0.886,98.93
18,Windsor Spitfires,68,17,40.47,208,306,-98,46.84,2178,2472,-294,9.34,0.879,97.21
19,Erie Otters,68,9,35.06,203,376,-173,41.92,2001,2772,-771,10.06,0.867,96.77
