,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Tyler Seguin,C,PLY,17.624,63,48,40,18,88,106,0.76,0.63,0.29,1.4,1.68
1,Taylor Hall,LW,WSR,17.837,57,40,42,24,82,106,0.7,0.74,0.42,1.44,1.86
2,Luke Pither,C,BAR,20.389,67,36,38,20,74,94,0.54,0.57,0.3,1.1,1.4
3,Taylor Beck,RW,GUE,18.344,61,39,38,16,77,93,0.64,0.62,0.26,1.26,1.52
4,Nazem Kadri,C,LDN,18.944,56,35,36,22,71,93,0.62,0.64,0.39,1.27,1.66
5,Zack Torquato,C,ER,20.271,68,31,37,25,68,93,0.46,0.54,0.37,1.0,1.37
6,Jeff  Skinner,C,KIT,17.334,64,50,28,12,78,90,0.78,0.44,0.19,1.22,1.41
7,Chris MacKinnon,LW,KIT,20.192,64,29,36,25,65,90,0.45,0.56,0.39,1.02,1.41
8,Jordan Skellett,C,SAG,19.814,66,26,38,24,64,88,0.39,0.58,0.36,0.97,1.33
9,Mike Cazzola,C,ER,18.525,68,36,27,23,63,86,0.53,0.4,0.34,0.93,1.26
10,Greg McKegg,C,ER,17.246,67,37,30,18,67,85,0.55,0.45,0.27,1.0,1.27
11,Jeremy Morin,LW,KIT,18.418,58,47,25,11,72,83,0.81,0.43,0.19,1.24,1.43
12,Cody Lindsay,C,OTT,19.3,68,39,29,14,68,82,0.57,0.43,0.21,1.0,1.21
13,Alex Hutchings,RW,BAR,18.856,68,47,20,14,67,81,0.69,0.29,0.21,0.99,1.19
14,Peter Holland,C,GUE,18.67,59,30,27,23,57,80,0.51,0.46,0.39,0.97,1.36
15,Jason Akeson,RW,KIT,19.286,65,24,34,22,58,80,0.37,0.52,0.34,0.89,1.23
16,Tyler  Toffoli,RW,OTT,17.394,65,37,26,16,63,79,0.57,0.4,0.25,0.97,1.22
17,Justin Shugg,RW,WSR,17.728,67,39,24,16,63,79,0.58,0.36,0.24,0.94,1.18
18,Bryan Cameron,RW,BAR,20.553,62,53,19,6,72,78,0.85,0.31,0.1,1.16,1.26
19,Adam Henrique,C,WSR,19.606,54,38,22,17,60,77,0.7,0.41,0.31,1.11,1.43
20,Pat Daley,RW,PBO,20.438,64,28,28,17,56,73,0.44,0.44,0.27,0.88,1.14
21,Michael Latta,C,GUE,18.311,58,33,23,17,56,73,0.57,0.4,0.29,0.97,1.26
