,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Connor Brown,RW/LW,ER/OTT/SAG,19.501,470,156,132,67,288,355,0.338,0.226,0.142,0.565,0.706
1,Max Domi,LW,LDN,18.666,244,126,134,71,260,331,0.539,0.661,0.341,1.202,1.543
2,Michael Dal Colle,LW,OSH/KGN,18.362,246,131,128,57,259,316,0.58,0.534,0.24,1.114,1.352
3,Mitchell Marner,RW,LDN,17.614,184,96,136,69,232,301,0.565,0.78,0.4,1.35,1.75
4,Josh Ho-Sang,RW,WSR/NIAG,18.772,256,82,144,66,226,292,0.302,0.6,0.3,0.903,1.204
5,Connor McDavid,C,ER,16.921,166,97,122,66,219,285,0.695,0.84,0.445,1.535,1.98
6,Dylan Strome,C,ER,17.776,184,92,111,76,203,279,0.538,0.655,0.435,1.192,1.628
7,Kerby Rychel,LW,MISS/WSR/GUE,18.066,256,122,86,64,208,272,0.531,0.411,0.33,0.943,1.274
8,Kevin  Labanc,RW,BAR,19.01,198,81,126,62,207,269,0.458,0.712,0.34,1.168,1.502
9,Hunter Garlent,C,GUE/PBO,19.674,292,107,99,63,206,269,0.459,0.358,0.238,0.816,1.054
10,Ryan Strome,C,NIAG,18.431,164,97,112,59,209,268,0.61,0.74,0.315,1.352,1.662
11,Andrew Mangiapane,LW,BAR,18.698,195,118,91,52,209,261,0.675,0.515,0.272,1.198,1.47
12,Dante Salituro,RW,OTT,17.956,265,111,83,66,194,260,0.492,0.334,0.28,0.827,1.114
13,Nick Cousins,C,SSM,18.406,197,91,98,70,189,259,0.452,0.528,0.408,0.985,1.392
14,Vincent Trocheck,C,SAG/PLY,18.431,196,105,97,54,202,256,0.602,0.513,0.305,1.115,1.42
15,Eric Locke,C,WSR/BAR/SAG,18.942,233,116,83,52,199,251,0.53,0.392,0.259,0.922,1.182
16,Mathew Campagna,C,SBY/PLY,19.584,301,80,94,75,174,249,0.324,0.3,0.245,0.618,0.871
17,Spencer Watson,RW,KGN,18.516,233,119,88,41,207,248,0.568,0.429,0.202,1.0,1.204
18,Scott Kosmachuk,RW,GUE,18.766,271,120,75,51,195,246,0.555,0.346,0.225,0.904,1.134
19,Joseph Blandisi,C,OS/OTT/BAR,19.287,246,108,76,60,184,244,0.569,0.371,0.302,0.945,1.249
20,Christian  Dvorak,C,LDN,18.868,158,99,73,72,172,244,0.64,0.46,0.442,1.1,1.542
21,Anthony DeAngelo,D,SAR/SSM,18.02,236,55,111,75,166,241,0.328,0.588,0.397,0.92,1.318
22,Travis Konecny,RW,OTT/SAR,17.764,183,85,96,58,181,239,0.473,0.578,0.35,1.05,1.4
23,Sergey Tolchinsky,RW,SSM,18.864,189,87,102,48,189,237,0.468,0.578,0.28,1.05,1.33
24,Brendan Gaunce,C,BELV/ER,18.602,258,103,87,46,190,236,0.45,0.351,0.198,0.801,0.999
25,Charles Sarault,C,KGN/SAR,19.819,203,55,103,75,158,233,0.28,0.568,0.402,0.855,1.258
26,Zack Mitchell,RW,GUE,19.813,263,99,78,56,177,233,0.398,0.351,0.256,0.751,1.004
27,Matt  Rupert,LW,LDN,19.351,240,105,75,52,180,232,0.484,0.359,0.261,0.843,1.103
28,Jason Dickinson,C,GUE,18.327,253,84,86,61,170,231,0.395,0.399,0.285,0.794,1.081
29,Stephen Harper,C,ER/BELV/NIAG/HAM,19.54,324,96,77,55,173,228,0.316,0.312,0.206,0.623,0.83
30,Nicholas Baptiste,RW,SBY/ER,18.242,248,106,80,42,186,228,0.528,0.35,0.209,0.878,1.091
31,Seth Griffith,RW,LDN,18.946,190,100,66,62,166,228,0.55,0.36,0.38,0.912,1.29
32,Mike Amadio,C,BRA/NB,18.466,263,92,93,41,185,226,0.494,0.422,0.178,0.916,1.091
33,Matt Mistele,LW,PLY/OSH/SAR,18.976,272,125,57,42,182,224,0.504,0.231,0.158,0.736,0.892
34,Carter Verhaeghe,C,NIAG,18.214,262,83,85,56,168,224,0.394,0.379,0.26,0.772,1.035
35,Daniel Catenacci,C,SSM/OS,18.77,201,97,75,50,172,222,0.505,0.385,0.232,0.893,1.122
36,Zach Hall,LW,BAR,19.506,215,67,96,59,163,222,0.308,0.515,0.298,0.818,1.115
37,Andreas Athanasiou,LW,LDN/BAR,18.236,252,111,67,43,178,221,0.548,0.324,0.221,0.872,1.098
38,Scott Laughton,C,OSH,18.422,230,96,78,45,174,219,0.552,0.435,0.252,0.988,1.24
39,Dane Fox,LW,LDN/ER,19.048,217,117,48,54,165,219,0.681,0.216,0.309,0.891,1.205
40,Nathan Pancel,LW,SBY/PBO,19.818,258,113,58,46,171,217,0.431,0.179,0.205,0.615,0.818
41,Mark Scheifele,C,BAR,18.754,158,84,80,53,164,217,0.64,0.53,0.328,1.168,1.5
42,Eric  Cornel,RW,PBO,18.554,265,70,96,47,166,213,0.306,0.426,0.222,0.731,0.952
43,Stefan Noesen,LW,PLY,18.839,182,96,65,51,161,212,0.518,0.338,0.27,0.852,1.128
44,Nick  Ritchie,LW,PBO/SSM,17.904,212,102,68,40,170,210,0.548,0.364,0.224,0.911,1.132
45,Barclay Goodrow,RW,BRA/NB,19.676,250,121,64,25,185,210,0.512,0.291,0.116,0.804,0.924
46,Tyler  Toffoli,RW,OTT,18.893,133,109,63,36,172,208,0.82,0.475,0.27,1.295,1.565
47,Cole Cassels,C,OSH,18.493,243,72,80,56,152,208,0.413,0.424,0.316,0.836,1.155
48,Alex DeBrincat,RW,ER,17.242,128,102,53,50,155,205,0.8,0.42,0.39,1.22,1.605
49,Cameron Brace,C,OS/BELV,19.563,250,106,64,33,170,203,0.489,0.309,0.126,0.801,0.928
50,Sean Monahan,C,OTT,17.177,185,84,77,42,161,203,0.475,0.455,0.238,0.933,1.165
51,Andrew Fritsch,RW,OS/NIAG/SSM,19.604,212,92,72,39,164,203,0.422,0.325,0.188,0.742,0.932
52,Gemel Smith,LW,OS/LDN,18.542,264,89,67,47,156,203,0.419,0.264,0.219,0.682,0.898
53,Brady Vail,C,WSR,18.64,264,77,68,55,145,200,0.359,0.315,0.265,0.674,0.938
54,Boone Jenner,C,OSH,18.502,162,92,65,40,157,197,0.628,0.408,0.242,1.032,1.277
55,Ryan Rupert,C,LDN,18.414,224,58,84,52,142,194,0.268,0.412,0.25,0.679,0.929
56,Alexander Khokhlachev,C,WSR,18.267,152,81,68,44,149,193,0.62,0.505,0.298,1.12,1.42
57,Kristoff Kontos,C,SBY/MISS/SAG,18.901,269,67,77,48,144,192,0.295,0.335,0.212,0.625,0.844
58,Chris Tierney,C,LDN,18.334,247,72,73,46,145,191,0.394,0.356,0.216,0.753,0.968
59,Jordan Maletta,C,WSR/NIAG,19.441,314,82,68,41,150,191,0.375,0.255,0.118,0.63,0.752
60,Tobias  Rieder,RW,KIT,18.929,177,92,52,46,144,190,0.522,0.282,0.275,0.805,1.082
61,Alan Quine,C,PBO/KGN/BELV,18.804,188,79,66,45,145,190,0.425,0.38,0.277,0.802,1.082
62,Brendan Lemieux,LW,BAR/WSR,18.628,209,106,48,35,154,189,0.605,0.268,0.221,0.872,1.096
63,Jimmy Lodge,RW,SAG/MISS,18.657,226,83,68,37,151,188,0.397,0.331,0.171,0.728,0.905
64,Dylan Sadowy,LW,SAG/BAR,18.578,258,116,47,25,163,188,0.566,0.216,0.13,0.788,0.913
65,Brendan  Perlini,LW,BAR/NIAG,18.51,217,93,53,42,146,188,0.461,0.251,0.214,0.71,0.922
66,Jared McCann,C,SSM,17.542,184,82,61,44,143,187,0.492,0.385,0.262,0.872,1.14
67,Zach Nastasiuk,RW,OS,18.589,256,90,65,32,155,187,0.432,0.322,0.169,0.755,0.921
68,Josh Sterk,C,KIT/OSH/LDN/OS,19.723,305,62,76,48,138,186,0.204,0.293,0.172,0.5,0.675
69,Riley Brace,LW,MISS,19.775,189,69,77,40,146,186,0.353,0.43,0.22,0.782,1.002
70,Erik Bradford,C,BAR/OTT/OS,18.97,264,76,72,38,148,186,0.338,0.362,0.16,0.7,0.862
71,Steven Beyers,RW,BAR,19.51,188,55,74,56,129,185,0.28,0.397,0.32,0.675,0.998
72,Ryan Kujawinski,C,SAR/KGN/NB,18.589,231,90,52,42,142,184,0.474,0.222,0.184,0.692,0.88
73,Michael Sgarbossa,C,SBY/SAG,18.641,129,83,64,37,147,184,0.64,0.495,0.285,1.135,1.425
74,Blake Speers,RW,SSM,17.95,187,69,67,45,136,181,0.372,0.372,0.258,0.745,1.002
75,Ryan Murphy,D,KIT,18.71,166,47,72,62,119,181,0.252,0.438,0.348,0.685,1.032
76,Ryan MacInnis,C,KIT,18.835,192,79,55,46,134,180,0.473,0.308,0.275,0.78,1.058
