,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,London Knights,68,51,63.8,319,181,138,53.27,2256,1979,277,13.57,0.911,104.7,59.67,279.44,188.85,90.59,12.47,0.904,102.9,24.557,0.329,13.854,0.211,91,45,46,66.91,354,219,135,61.78,25.28,0.798,58,36,22,61.7,363,255,108,58.74,15.98,0.859,170,100,70,62.96,1539,1505,34,50.56,10.29,0.937
1,Erie Otters,68,45,58.88,262,183,79,55.63,2318,1849,469,10.8,0.904,101.25,56.22,239.8,186.72,53.09,10.4,0.899,100.27,9.196,0.12,10.718,0.175,64,52,12,55.17,281,225,56,55.53,22.22,0.776,57,31,26,64.77,332,254,78,56.66,16.67,0.878,141,100,41,58.51,1705,1370,335,55.45,7.78,0.93
2,Kitchener Rangers,68,43,56.67,255,195,60,53.95,2308,1970,338,10.78,0.906,101.34,57.72,258.62,189.4,69.22,11.24,0.903,101.58,-10.616,-0.138,4.401,0.067,65,52,13,55.56,316,217,99,59.29,20.32,0.764,53,39,14,57.61,372,241,131,60.69,14.25,0.849,137,104,33,56.85,1620,1512,108,51.72,8.12,0.935
3,Kingston Frontenacs,68,41,56.91,247,187,60,54.48,2493,2083,410,9.47,0.914,100.89,56.65,266.78,204.17,62.61,10.75,0.902,100.91,-31.782,-0.384,26.171,0.379,67,34,33,66.34,343,246,97,58.23,19.06,0.865,55,67,-12,45.08,333,367,-34,47.57,16.52,0.817,125,86,39,59.24,1817,1470,347,55.28,6.36,0.947
4,Barrie Colts,68,41,58.95,293,204,89,49.91,2319,2327,-8,12.14,0.914,103.53,52.27,258.0,235.56,22.44,11.19,0.899,101.05,21.996,0.286,35.565,0.459,77,55,22,58.33,322,294,28,52.27,22.96,0.813,83,45,38,64.84,372,293,79,55.94,21.89,0.846,133,104,29,56.12,1625,1740,-115,48.29,7.79,0.942
5,Sarnia Sting,68,40,57.01,252,190,62,54.24,2230,1881,349,11.1,0.901,101.24,54.68,231.75,192.08,39.67,10.42,0.898,100.18,15.247,0.206,7.081,0.113,52,52,0,50.0,262,229,33,53.36,19.85,0.773,47,51,-4,47.96,292,281,11,50.96,15.52,0.819,153,87,66,63.75,1676,1371,305,55.0,8.97,0.94
6,Windsor Spitfires,68,39,55.88,252,199,53,52.76,2188,1959,229,11.11,0.903,101.46,54.75,230.65,190.62,40.03,10.59,0.902,100.8,11.351,0.156,2.617,0.04,61,30,31,67.03,280,174,106,61.67,21.22,0.828,44,47,-3,48.35,300,261,39,53.48,14.67,0.826,147,122,25,54.65,1608,1524,84,51.34,8.69,0.925
7,Niagara IceDogs,68,35,52.21,213,195,18,53.04,2219,1965,254,9.31,0.903,99.62,52.47,217.6,197.11,20.5,9.84,0.899,99.78,-11.604,-0.157,7.107,0.109,58,51,7,53.21,261,234,27,52.73,21.62,0.785,42,49,-7,46.15,262,258,4,50.38,16.03,0.813,113,95,18,54.33,1696,1473,223,53.52,6.39,0.937
8,North Bay Battalion,68,34,51.73,239,223,16,50.67,2084,2029,55,11.13,0.894,100.53,49.42,207.49,212.36,-4.87,9.99,0.895,99.48,23.508,0.34,-1.638,-0.024,60,59,1,50.42,260,239,21,52.1,22.18,0.756,48,43,5,52.75,254,298,-44,46.01,18.9,0.859,131,121,10,51.98,1570,1492,78,51.27,8.05,0.923
9,Ottawa 67's,68,34,51.56,232,218,14,51.14,2042,1951,91,10.93,0.894,100.3,51.55,216.62,203.58,13.04,10.66,0.895,100.16,5.38,0.079,-2.42,-0.037,51,51,0,50.0,242,248,-6,49.39,20.42,0.798,51,46,5,52.58,308,272,36,53.1,16.29,0.831,130,121,9,51.79,1492,1431,61,51.04,8.28,0.923
10,Mississauga Steelheads,68,31,48.52,213,226,-13,46.91,1931,2185,-254,10.75,0.9,100.78,45.77,191.38,226.73,-35.35,9.94,0.896,99.52,15.615,0.243,9.732,0.134,55,58,-3,48.67,245,304,-59,44.63,22.13,0.815,64,49,15,56.64,278,284,-6,49.47,23.02,0.827,94,119,-25,44.13,1408,1597,-189,46.86,6.34,0.93
11,Peterborough Petes,68,31,48.37,238,254,-16,48.66,2221,2343,-122,10.39,0.895,99.86,47.89,216.93,236.05,-19.12,9.8,0.899,99.69,13.069,0.177,-9.949,-0.128,45,61,-16,42.45,254,316,-62,44.56,17.72,0.807,62,54,8,53.45,290,260,30,52.73,21.38,0.795,131,139,-8,48.52,1677,1767,-90,48.69,7.37,0.925
12,Sault Ste. Marie Greyhounds,68,30,50.85,240,232,8,48.8,2130,2235,-105,10.89,0.901,100.95,49.62,215.73,219.02,-3.29,10.17,0.902,100.32,15.269,0.216,-1.984,-0.027,58,61,-3,48.74,263,295,-32,47.13,21.46,0.804,62,36,26,63.27,254,262,-8,49.22,24.41,0.866,120,135,-15,47.06,1613,1678,-65,49.01,7.04,0.923
13,Owen Sound Attack,68,30,48.59,207,219,-12,53.61,2388,2066,322,8.44,0.896,98.01,50.14,222.47,221.19,1.28,9.34,0.893,98.61,-21.47,-0.27,6.187,0.09,37,63,-26,37.0,216,313,-97,40.83,17.13,0.801,47,60,-13,43.93,301,344,-43,46.67,15.33,0.826,123,96,27,56.16,1871,1409,462,57.04,6.32,0.934
14,Hamilton Bulldogs,68,25,43.11,197,260,-63,45.86,1955,2308,-353,9.8,0.891,98.88,44.6,186.46,231.61,-45.15,9.57,0.899,99.49,4.536,0.07,-19.39,-0.253,34,80,-46,29.82,230,287,-57,44.49,14.78,0.729,55,56,-1,49.55,268,282,-14,48.73,20.22,0.804,108,124,-16,46.55,1457,1739,-282,45.59,7.09,0.931
15,Oshawa Generals,68,24,45.65,194,231,-37,50.11,2044,2035,9,9.14,0.893,98.44,48.33,193.27,206.66,-13.4,9.49,0.898,99.26,-7.27,-0.107,-9.335,-0.139,48,49,-1,49.48,219,264,-45,45.34,21.56,0.821,44,56,-12,44.0,269,292,-23,47.95,16.36,0.811,102,126,-24,44.74,1556,1479,77,51.27,6.13,0.922
16,Saginaw Spirit,68,22,42.59,207,279,-72,47.59,2104,2317,-213,9.32,0.883,97.58,46.64,201.18,230.21,-29.03,9.62,0.9,99.65,-6.181,-0.089,-40.793,-0.53,52,65,-13,44.44,227,269,-42,45.77,22.57,0.761,41,55,-14,42.71,288,282,6,50.53,13.33,0.805,114,159,-45,41.76,1589,1766,-177,47.36,6.7,0.914
17,Flint Firebirds,68,18,39.65,182,277,-95,44.93,1955,2396,-441,9.03,0.887,97.73,41.83,174.34,242.48,-68.14,8.94,0.899,98.8,1.662,0.026,-27.524,-0.346,42,54,-12,43.75,207,258,-51,44.52,19.9,0.791,45,57,-12,44.12,232,317,-85,42.26,19.4,0.823,95,166,-71,36.4,1516,1821,-305,45.43,5.96,0.912
18,Sudbury Wolves,68,13,35.5,180,327,-147,43.91,2081,2658,-577,8.43,0.881,96.52,40.26,195.46,290.0,-94.54,9.42,0.89,98.46,-20.459,-0.296,-25.0,-0.283,58,80,-22,42.03,286,348,-62,45.11,20.0,0.779,31,89,-58,25.83,260,431,-171,37.63,11.92,0.794,91,158,-67,36.55,1535,1879,-344,44.96,5.68,0.92
19,Guelph Storm,68,10,34.15,153,295,-142,41.92,1894,2624,-730,7.74,0.892,96.9,38.51,166.88,266.47,-99.6,8.84,0.898,98.64,-20.878,-0.332,-16.525,-0.19,46,69,-23,40.0,208,297,-89,41.19,22.12,0.773,36,59,-23,37.89,250,344,-94,42.09,14.4,0.828,71,167,-96,29.83,1436,1983,-547,42.0,4.48,0.92
