,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.591,185,98,114,62,212,274,561,16.99,0.588,0.69,0.35,1.278,1.63,3.423,23.845,0.418,25,70,34.215,13,67,14.695,60,424,14.078,1747,3389,51.205
1,Nick Suzuki,C,OS/GUE,18.35,178,116,89,63,205,268,777,14.218,0.633,0.498,0.368,1.13,1.495,4.502,32.562,0.572,20,99,16.185,27,115,21.58,69,563,12.122,1132,2140,53.558
2,Jason Robertson,RW,KGN/NIAG,18.402,188,125,84,56,209,265,861,15.15,0.71,0.515,0.322,1.228,1.553,4.665,37.463,0.628,24,104,23.172,28,164,15.668,73,593,13.595,6,24,25.0
3,Kevin Hancock,LW/C,OS/LDN,19.79,181,101,99,48,200,248,758,13.942,0.612,0.552,0.252,1.168,1.422,4.382,27.425,0.458,19,72,29.798,24,110,22.128,58,576,10.718,1468,2658,55.64
4,Akil Thomas,RW/C,NIAG,17.954,182,73,74,67,147,214,516,15.093,0.45,0.452,0.395,0.9,1.295,2.95,20.352,0.352,19,72,28.078,14,83,16.46,40,361,11.78,1115,2087,52.422
5,Ben Jones,C,NIAG,18.802,189,78,90,45,168,213,535,15.055,0.462,0.53,0.222,0.99,1.212,2.968,24.092,0.395,31,123,24.158,20,74,27.38,27,338,8.715,1978,3760,52.508
6,Owen Tippett,RW,MISS/SAG,18.83,155,110,59,41,169,210,794,13.53,0.7,0.373,0.288,1.072,1.36,5.2,29.565,0.597,25,78,29.248,22,116,19.702,63,600,10.358,64,148,40.468
7,Kyle Maksimovich,LW,ER/OTT,19.769,187,82,75,51,157,208,508,17.108,0.482,0.402,0.29,0.89,1.175,2.768,20.412,0.332,9,60,15.072,27,89,30.995,46,359,13.79,128,322,38.358
8,Lucas Chiodo,LW,BAR/OTT,19.125,194,78,77,50,155,205,393,19.782,0.415,0.425,0.272,0.842,1.115,2.112,18.42,0.295,20,66,33.78,16,72,19.615,42,255,16.37,9,30,25.398
9,Justin Brazeau,RW,NB,19.867,193,111,65,29,176,205,695,16.462,0.655,0.375,0.182,1.032,1.212,3.87,31.07,0.5,32,125,24.553,26,132,21.202,53,438,12.84,44,125,32.795
10,Matthew Strome,LW,HAM,18.941,191,98,61,45,159,204,541,17.41,0.498,0.348,0.272,0.845,1.112,2.858,27.042,0.432,44,133,31.422,20,101,19.758,34,307,10.755,299,650,46.22
11,Brandon Saigeon,C,HAM/OSH,19.505,190,92,66,46,158,204,639,14.44,0.52,0.385,0.27,0.905,1.175,3.56,23.535,0.382,17,67,27.285,22,87,28.43,53,485,11.022,1578,3052,50.44
12,Jordan Kyrou,RW,SAR,18.865,122,69,75,59,144,203,389,18.47,0.575,0.62,0.49,1.195,1.685,3.17,28.975,0.475,20,66,30.425,13,69,19.68,36,254,15.375,198,395,49.725
13,Tye Felhaber,LW/RW,OTT/SAG,19.364,173,99,61,35,160,195,649,16.37,0.648,0.38,0.21,1.032,1.245,3.858,26.03,0.452,19,69,29.208,23,103,23.69,57,477,13.182,89,178,49.258
14,Anthony Salinitri,LW,SAR/OSH,19.782,192,95,58,41,153,194,616,15.745,0.545,0.32,0.23,0.868,1.098,3.42,28.268,0.455,27,103,24.67,24,114,21.46,44,399,11.712,720,1439,50.305
15,Taylor Raddysh,RW,ER/SSM,19.074,116,75,70,47,145,192,430,17.42,0.645,0.605,0.405,1.25,1.655,3.71,32.66,0.565,19,80,23.86,11,67,16.4,45,283,15.82,72,133,52.165
16,Isaac Ratcliffe,LW,GUE,18.832,189,112,43,35,155,190,684,17.158,0.648,0.232,0.19,0.888,1.075,3.75,30.798,0.51,26,117,23.248,35,135,26.678,51,432,11.982,38,112,28.482
17,Austen Keating,C,OTT,18.778,190,66,72,51,138,189,453,15.028,0.348,0.43,0.302,0.78,1.082,2.343,22.022,0.358,23,106,21.877,19,94,20.955,24,253,9.982,552,1113,50.258
18,Jack Studnicka,C,OSH/NIAG,18.824,180,67,77,45,144,189,534,13.603,0.422,0.418,0.285,0.84,1.125,3.08,20.492,0.363,22,80,28.742,18,99,17.945,27,355,8.595,1742,3266,53.358
19,Kirill Maksimov,RW,SAG/NIAG,18.542,183,89,58,41,147,188,593,15.275,0.528,0.33,0.25,0.852,1.102,3.395,22.803,0.39,16,68,21.975,21,80,27.84,52,445,12.1,14,45,37.48
20,Joseph Garreffa,RW,KIT,18.352,194,59,59,70,118,188,418,13.675,0.328,0.305,0.372,0.632,1.005,2.458,15.268,0.248,15,57,25.755,11,55,21.86,33,306,10.505,300,601,48.692
21,Adam Mascherin,LW,KIT,18.778,132,75,71,40,146,186,534,14.125,0.57,0.54,0.305,1.105,1.41,4.05,33.535,0.51,13,57,22.725,10,77,12.915,52,400,13.26,27,81,35.18
22,Ryan Merkley,D,GUE/PBO,17.338,178,36,95,54,131,185,417,8.852,0.205,0.538,0.34,0.74,1.082,2.312,9.968,0.172,0,18,0.0,3,25,7.292,33,374,9.13,1,2,50.0
