,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Sault Ste. Marie Greyhounds,194,136,58.668,854,584,270,53.162,6681,5786,895,12.172,0.901,102.22,55.752,227.593,178.508,49.085,10.538,0.906,101.115,33.41,0.491,-9.493,-0.159,211,138,73,57.66,851,710,141,54.035,22.582,0.802,160,126,34,55.218,847,671,176,55.03,18.715,0.814,483,320,163,60.245,4983,4405,578,52.712,9.308,0.93
1,London Knights,194,118,57.865,775,575,200,51.355,6342,6182,160,11.645,0.91,102.588,53.552,219.14,190.045,29.1,10.462,0.905,100.93,24.858,0.355,9.794,0.142,198,143,55,58.398,852,654,198,55.97,23.238,0.791,168,136,32,55.325,866,818,48,51.608,18.728,0.833,409,296,113,59.242,4624,4710,-86,50.64,8.185,0.942
2,Owen Sound Attack,194,108,52.455,770,635,135,55.898,7252,5473,1779,9.74,0.886,98.33,56.15,223.85,170.752,53.098,9.56,0.906,100.142,4.401,0.054,-36.25,-0.6,152,143,9,49.92,711,624,87,49.892,21.308,0.78,181,138,43,52.502,926,726,200,55.18,18.042,0.801,437,354,83,53.46,5615,4123,1492,56.755,7.095,0.916
3,Oshawa Generals,195,104,53.548,718,648,70,50.088,6296,6406,-110,11.198,0.902,101.41,53.135,206.5,184.795,21.7,10.062,0.911,101.155,22.501,0.341,-16.703,-0.266,199,165,34,56.325,784,623,161,57.328,24.54,0.744,163,136,27,55.835,861,786,75,53.725,18.67,0.828,356,347,9,51.0,4651,4997,-346,48.355,7.392,0.932
4,Kitchener Rangers,194,103,49.045,686,691,-5,48.882,5989,6290,-301,11.138,0.891,100.258,49.282,196.568,200.522,-3.955,10.045,0.902,100.188,19.682,0.328,-18.478,-0.306,165,181,-16,46.608,764,783,-19,48.86,21.228,0.768,166,154,12,51.752,917,774,143,53.918,18.792,0.8,355,356,-1,48.912,4308,4733,-425,47.922,7.748,0.927
5,Ottawa 67's,193,95,53.665,697,685,12,51.19,5999,6010,-11,11.765,0.894,101.068,51.515,198.022,192.335,5.688,10.075,0.901,100.112,30.729,0.506,-12.666,-0.22,158,152,6,54.665,744,682,62,54.695,21.575,0.786,157,144,13,55.88,917,995,-78,48.375,17.22,0.867,382,389,-7,52.508,4338,4333,5,51.27,9.04,0.914
6,Windsor Spitfires,196,94,49.875,637,619,18,49.207,5844,6028,-184,10.6,0.901,100.72,48.692,192.098,202.44,-10.343,9.962,0.898,99.738,11.652,0.19,7.692,0.106,164,150,14,51.83,756,788,-32,48.948,21.12,0.821,137,142,-5,48.25,828,926,-98,47.412,15.965,0.848,336,327,9,49.825,4260,4314,-54,49.755,7.658,0.928
7,Hamilton Bulldogs,196,94,49.95,700,672,28,52.372,6551,5823,728,10.508,0.884,98.915,54.028,220.892,186.365,34.528,10.36,0.903,100.67,1.608,0.043,-35.886,-0.568,207,174,33,51.585,912,678,234,56.21,21.712,0.737,154,146,8,49.67,942,756,186,54.05,16.545,0.804,339,352,-13,49.07,4697,4389,308,51.365,7.192,0.922
8,Sarnia Sting,196,91,50.57,786,745,41,49.073,6366,6772,-406,12.072,0.886,100.675,49.888,217.22,216.75,0.475,10.365,0.9,100.385,34.529,0.512,-26.502,-0.425,208,182,26,48.912,829,781,48,49.985,23.303,0.762,163,167,-4,48.102,953,921,32,49.63,17.37,0.816,415,396,19,51.945,4584,5070,-486,48.872,8.995,0.92
9,Mississauga Steelheads,194,89,50.748,693,666,27,52.988,6757,6064,693,9.808,0.893,99.098,52.118,217.308,199.485,17.828,9.805,0.899,99.665,-0.31,0.0,-10.265,-0.17,183,178,5,52.888,792,812,-20,50.738,22.342,0.796,137,152,-15,44.798,902,863,39,50.177,14.33,0.824,373,336,37,52.155,5063,4389,674,53.862,6.992,0.925
10,Niagara IceDogs,194,88,53.45,710,680,30,49.85,6570,6961,-391,10.823,0.906,101.412,49.46,206.6,216.318,-9.715,9.52,0.903,99.842,27.9,0.39,7.813,0.082,177,184,-7,51.808,728,854,-126,47.418,23.648,0.798,156,157,-1,54.16,820,937,-117,48.242,18.968,0.848,377,339,38,54.19,5022,5170,-148,50.512,7.565,0.934
11,Saginaw Spirit,194,88,50.845,643,673,-30,51.27,6325,6150,175,10.288,0.896,99.778,50.21,201.028,202.05,-1.02,9.678,0.899,99.562,11.724,0.184,-7.199,-0.121,140,171,-31,48.71,742,754,-12,50.662,18.922,0.789,156,154,2,53.48,897,838,59,52.835,18.022,0.826,347,348,-1,50.772,4686,4558,128,51.075,7.345,0.925
12,Erie Otters,194,85,48.92,726,698,28,51.353,6206,5649,557,11.183,0.876,98.865,51.543,203.73,187.295,16.438,10.112,0.9,100.122,20.769,0.322,-43.954,-0.7,173,163,10,50.752,780,658,122,53.2,22.058,0.76,158,167,-9,47.095,911,926,-15,49.858,17.05,0.808,395,368,27,48.975,4515,4065,450,51.348,8.075,0.911
13,Peterborough Petes,194,83,47.055,648,723,-75,47.287,6154,6921,-767,10.11,0.897,99.818,44.215,181.485,227.275,-45.787,9.018,0.899,98.852,20.265,0.327,-0.974,-0.037,140,200,-60,39.64,615,924,-309,38.475,21.645,0.789,128,173,-45,44.892,779,992,-213,44.735,17.182,0.834,380,350,30,51.42,4760,5005,-245,49.16,7.542,0.93
14,Guelph Storm,194,81,49.95,679,749,-70,49.155,6319,6782,-463,10.97,0.894,100.34,50.268,211.325,214.842,-3.525,10.202,0.902,100.4,14.928,0.23,-15.906,-0.249,160,165,-5,51.478,799,866,-67,50.13,19.102,0.816,156,133,23,57.0,877,822,55,53.025,18.528,0.847,363,451,-88,46.742,4643,5094,-451,48.218,8.032,0.915
15,Barrie Colts,195,79,48.342,674,717,-43,48.125,6133,6466,-333,10.54,0.897,100.18,47.165,191.265,213.415,-22.148,9.645,0.899,99.588,17.234,0.268,-6.587,-0.09,157,167,-10,49.532,724,814,-90,47.5,21.725,0.799,139,166,-27,46.222,777,901,-124,46.61,17.355,0.822,378,384,-6,48.61,4632,4751,-119,48.528,7.625,0.926
16,Kingston Frontenacs,195,77,42.195,547,655,-108,46.868,5862,6254,-392,8.708,0.894,98.095,46.835,174.72,191.805,-17.085,9.265,0.908,100.02,-11.219,-0.168,-27.948,-0.411,127,173,-46,37.81,590,657,-67,43.775,20.115,0.744,127,119,8,46.257,817,840,-23,47.842,14.205,0.849,293,363,-70,42.395,4455,4757,-302,47.055,6.268,0.922
17,Sudbury Wolves,194,74,48.112,610,732,-122,47.992,5883,6700,-817,10.308,0.898,100.142,47.825,185.388,207.03,-21.64,9.558,0.904,99.915,13.611,0.225,-10.473,-0.158,166,162,4,51.772,732,710,22,51.238,22.505,0.784,148,172,-24,49.365,824,914,-90,49.912,18.032,0.812,296,398,-102,45.73,4327,5076,-749,47.138,6.832,0.929
18,North Bay Battalion,194,73,45.252,590,720,-130,47.293,6085,6533,-448,9.852,0.895,99.303,45.61,178.648,211.89,-33.248,9.102,0.902,99.318,12.356,0.226,-16.608,-0.23,145,164,-19,48.065,667,737,-70,47.84,21.81,0.786,136,158,-22,46.612,798,861,-63,46.392,17.55,0.826,309,398,-89,43.555,4620,4935,-315,47.338,6.772,0.923
19,Flint Firebirds,196,58,39.65,598,872,-274,47.228,6352,6699,-347,9.388,0.872,96.612,42.872,186.635,245.588,-58.952,9.15,0.891,98.188,1.866,0.071,-41.915,-0.544,129,205,-76,38.915,657,932,-275,41.605,19.772,0.778,161,211,-50,40.982,862,1038,-176,44.293,17.632,0.794,308,456,-148,39.295,4833,4729,104,48.75,6.422,0.907
