,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Aaron Luchuk,C,WSR/BAR,20.447,68,50,36,29,86,115,281,17.79,0.74,0.53,0.43,1.26,1.69,4.13,39.39,0.58,18,60,30.0,11,42,26.19,21,179,11.73,939,1676,56.03
1,Morgan Frost,C,SSM,18.341,67,42,45,25,87,112,200,21.0,0.63,0.67,0.37,1.3,1.67,2.99,25.26,0.38,11,26,42.31,8,27,29.63,23,147,15.65,702,1346,52.15
2,Jordan Kyrou,RW,SAR,19.365,56,39,40,30,79,109,166,23.49,0.7,0.71,0.54,1.41,1.95,2.96,27.1,0.48,9,34,26.47,6,26,23.08,24,106,22.64,29,59,49.15
3,Nick Suzuki,C,OS,18.1,64,42,34,24,76,100,281,14.95,0.66,0.53,0.38,1.19,1.56,4.39,37.16,0.58,9,39,23.08,15,42,35.71,18,200,9.0,354,673,52.6
4,Dmitry Sokolov,RW,BAR/SBY,19.423,64,50,25,21,75,96,268,18.66,0.78,0.39,0.33,1.17,1.5,4.19,44.71,0.7,9,22,40.91,15,48,31.25,26,198,13.13,4,10,40.0
5,Sam Miletic,LW,NIAG/LDN,20.367,63,36,32,24,68,92,245,14.69,0.57,0.51,0.38,1.08,1.46,3.89,32.35,0.51,6,35,17.14,7,31,22.58,23,179,12.85,25,51,49.02
6,Evan Bouchard,D,LDN,17.906,67,25,35,27,60,87,297,8.42,0.37,0.52,0.4,0.9,1.3,4.43,22.8,0.34,3,13,23.08,3,13,23.08,19,271,7.01,0,0,0.0
7,Jason Robertson,RW,KGN,18.152,68,41,26,20,67,87,308,13.31,0.6,0.38,0.29,0.99,1.28,4.53,43.23,0.64,8,34,23.53,13,61,21.31,20,213,9.39,3,12,25.0
8,Adam Mascherin,LW,KIT,19.278,67,40,34,12,74,86,254,15.75,0.6,0.51,0.18,1.1,1.28,3.79,32.51,0.49,5,28,17.86,6,45,13.33,29,181,16.02,10,25,40.0
9,Boris Katchouk,LW,SSM,19.245,58,42,29,14,71,85,195,21.54,0.72,0.5,0.24,1.22,1.47,3.36,33.06,0.57,12,36,33.33,6,34,17.65,24,125,19.2,30,63,47.62
10,Linus Nyman,LW,KGN,18.182,67,39,26,20,65,85,195,20.0,0.58,0.39,0.3,0.97,1.27,2.91,28.53,0.43,7,28,25.0,12,39,30.77,20,128,15.62,27,53,50.94
