,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,19.341,49,34,41,20,75,95,211,16.11,0.69,0.84,0.41,1.53,1.94,4.31,25.63,0.52,7,27,25.93,1,16,6.25,26,168,15.48,556,1109,50.14
1,Tye Felhaber,RW,OTT,20.113,56,51,28,15,79,94,236,21.61,0.91,0.5,0.27,1.41,1.68,4.21,27.22,0.49,8,28,28.57,11,33,33.33,32,175,18.29,25,50,50.0
2,Jason Robertson,RW,KGN/NIAG,19.152,50,42,33,17,75,92,248,16.94,0.84,0.66,0.34,1.5,1.84,4.96,32.31,0.65,8,32,25.0,5,45,11.11,29,171,16.96,2,8,25.0
3,Kevin Hancock,C,LDN/OS,20.54,58,45,33,13,78,91,277,16.25,0.78,0.57,0.22,1.34,1.57,4.78,25.58,0.44,10,23,43.48,8,38,21.05,27,216,12.5,608,1065,57.09
4,Arthur Kaliyev,RW,HAM,17.221,57,47,23,21,70,91,270,17.41,0.82,0.4,0.37,1.23,1.6,4.74,38.42,0.67,12,36,33.33,6,38,15.79,29,196,14.8,0,3,0.0
5,Justin Brazeau,RW,NB,20.616,56,48,27,15,75,90,247,19.43,0.86,0.48,0.27,1.34,1.61,4.41,31.99,0.57,13,52,25.0,12,43,27.91,23,152,15.13,34,73,46.58
6,Brandon Saigeon,C,HAM/OSH,20.255,58,36,29,20,65,85,237,15.19,0.62,0.5,0.34,1.12,1.47,4.09,24.41,0.42,6,18,33.33,8,22,36.36,22,197,11.17,522,1085,48.11
7,Ben Jones,C,NIAG,19.551,56,35,36,11,71,82,190,18.42,0.62,0.64,0.2,1.27,1.46,3.39,27.1,0.48,14,54,25.93,9,28,32.14,12,108,11.11,583,1106,52.71
8,Akil Thomas,C,NIAG,18.703,51,29,30,23,59,82,161,18.01,0.57,0.59,0.45,1.16,1.61,3.16,20.4,0.4,10,29,34.48,6,27,22.22,13,105,12.38,413,764,54.06
9,Anthony Salinitri,LW,OSH/SAR,20.532,58,40,20,16,60,76,231,17.32,0.69,0.34,0.28,1.03,1.31,3.98,29.17,0.5,7,33,21.21,11,47,23.4,22,151,14.57,191,376,50.8
