,Name,Pos,League,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Joachim Blichfeld,LW,WHL,POR,20.165,58,51,26,25,77,102,0.88,0.45,0.43,1.33,1.76
1,Morgan Frost,C,OHL,SSM,19.341,49,34,41,20,75,95,0.69,0.84,0.41,1.53,1.94
2,Tye Felhaber,RW,OHL,OTT,20.113,56,51,28,15,79,94,0.91,0.5,0.27,1.41,1.68
3,Jason Robertson,RW,OHL,KGN/NIAG,19.152,50,42,33,17,75,92,0.84,0.66,0.34,1.5,1.84
4,Kevin Hancock,C,OHL,LDN/OS,20.54,58,45,33,13,78,91,0.78,0.57,0.22,1.34,1.57
5,Arthur Kaliyev,RW,OHL,HAM,17.221,57,47,23,21,70,91,0.82,0.4,0.37,1.23,1.6
6,Alexis Lafreniere,LW,QMJHL,RIM,16.928,51,32,37,22,69,91,0.63,0.73,0.43,1.35,1.78
7,Ivan Chekhovich,LW,QMJHL,BAC,19.697,54,37,32,21,69,90,0.69,0.59,0.39,1.28,1.67
8,Justin Brazeau,RW,OHL,NB,20.616,56,48,27,15,75,90,0.86,0.48,0.27,1.34,1.61
9,Joseph Veleno,C,QMJHL,DRU,18.673,47,38,31,20,69,89,0.81,0.66,0.43,1.47,1.89
10,Peter Abbandonato,C,QMJHL,ROU,20.477,57,26,37,26,63,89,0.46,0.65,0.46,1.11,1.56
11,Trey Fix-Wolansky,RW,WHL,EDM,19.308,55,29,37,21,66,87,0.53,0.67,0.38,1.2,1.58
12,Tristin Langan,LW,WHL,MJ,19.751,54,41,31,15,72,87,0.76,0.57,0.28,1.33,1.61
13,Brandon Saigeon,C,OHL,HAM/OSH,20.255,58,36,29,20,65,85,0.62,0.5,0.34,1.12,1.47
14,Brandon Hagel,LW,WHL,RD,20.052,55,33,36,15,69,84,0.6,0.65,0.27,1.25,1.53
15,Stelio Mattheos,C,WHL,BDN,19.256,53,37,27,19,64,83,0.7,0.51,0.36,1.21,1.57
16,Akil Thomas,C,OHL,NIAG,18.703,51,29,30,23,59,82,0.57,0.59,0.45,1.16,1.61
17,Ben Jones,C,OHL,NIAG,19.551,56,35,36,11,71,82,0.62,0.64,0.2,1.27,1.46
18,Jeremy McKenna,RW,QMJHL,MON,19.406,57,38,28,16,66,82,0.67,0.49,0.28,1.16,1.44
19,Brett Leason,RW,WHL,PA,19.379,45,33,34,11,67,78,0.73,0.76,0.24,1.49,1.73
20,Gregor MacLeod,C,QMJHL,DRU,20.274,54,32,29,17,61,78,0.59,0.54,0.31,1.13,1.44
21,Samuel Asselin,C,QMJHL,BAT/HAL,20.208,58,44,20,14,64,78,0.76,0.34,0.24,1.1,1.34
22,Jimmy Huntington,C,QMJHL,RIM,19.825,56,36,30,12,66,78,0.64,0.54,0.21,1.18,1.39
23,Nicolas Guay,RW,QMJHL,DRU,19.245,52,35,28,14,63,77,0.67,0.54,0.27,1.21,1.48
24,Anthony Salinitri,LW,OHL,OSH/SAR,20.532,58,40,20,16,60,76,0.69,0.34,0.28,1.03,1.31
25,Noah Gregor,C,WHL,PA,20.135,53,35,27,14,62,76,0.66,0.51,0.26,1.17,1.43
26,Nick Henry,RW,WHL,LET/REG,19.201,58,22,35,19,57,76,0.38,0.6,0.33,0.98,1.31
27,Luka Burzan,C,WHL,BDN,18.689,56,35,22,9,57,66,0.62,0.39,0.16,1.02,1.18
28,Daniel Hardie,LW,QMJHL,CHA,20.263,56,33,26,7,59,66,0.59,0.46,0.12,1.05,1.18
29,Mark Kastelic,C,WHL,CGY,19.516,56,42,18,6,60,66,0.75,0.32,0.11,1.07,1.18
30,Daniel Carr,LW,AHL,CHI,26.873,45,27,17,17,44,61,0.6,0.38,0.38,0.98,1.36
31,Nick Abruzzese,F,USHL,CHI,19.283,43,19,23,15,42,57,0.44,0.53,0.35,0.98,1.33
32,Hank Crone,F,USHL,FGO,20.57,44,15,21,17,36,53,0.34,0.48,0.39,0.82,1.2
33,Matias Maccelli,LW,USHL,DBQ,17.92,44,22,16,15,38,53,0.5,0.36,0.34,0.86,1.2
34,Ben Meyers,F,USHL,FGO,19.833,41,27,20,6,47,53,0.66,0.49,0.15,1.15,1.29
35,Jeremy Bracco,RW,AHL,TOR,21.498,52,15,28,10,43,53,0.29,0.54,0.19,0.83,1.02
