,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%,Cluster
0,Ryan Merkley,D,GUE,16.088,62,12,30,13,42,55,155,7.74,0.19,0.48,0.21,0.68,0.89,2.5,11.75,0.19,0,7,0,1,8,12.5,11,140,7.86,0,1,0,0
1,Arthur Kaliyev,RW,HAM,16.222,68,31,4,13,35,48,207,14.98,0.46,0.06,0.19,0.51,0.71,3.04,27.26,0.4,7,32,21.88,13,58,22.41,11,117,9.4,2,7,28.57,0
2,Akil Thomas,RW,NIAG,16.704,61,21,13,14,34,48,146,14.38,0.34,0.21,0.23,0.56,0.79,2.39,14.6,0.24,6,17,35.29,7,26,26.92,8,103,7.77,70,149,46.98,0
3,Blake Murray,C,SBY,16.197,57,21,12,11,33,44,102,20.59,0.37,0.21,0.19,0.58,0.77,1.79,12.32,0.22,3,13,23.08,6,25,24,12,64,18.75,302,591,51.1,0
4,Allan McShane,C,ER/OSH,16.586,62,17,12,15,29,44,116,14.66,0.27,0.19,0.24,0.47,0.71,1.87,11.48,0.19,4,15,26.67,5,19,26.32,8,82,9.76,366,694,52.74,0
5,Evan Bouchard,D,LDN,16.907,68,11,17,16,28,44,135,8.15,0.16,0.25,0.24,0.41,0.65,1.99,6.98,0.1,2,3,66.67,0,6,0,9,126,7.14,0,0,0,0
6,Ryan Suzuki,C,BAR,16.301,64,14,20,10,34,44,85,16.47,0.22,0.31,0.16,0.53,0.69,1.33,10.69,0.17,4,12,33.33,4,20,20,6,53,11.32,117,251,46.61,0
7,Ryan McLeod,C,MISS,16.986,68,9,23,10,32,42,111,8.11,0.13,0.34,0.15,0.47,0.62,1.63,12.99,0.19,0,12,0,3,26,11.54,6,73,8.22,492,1032,47.67,0
8,Ivan Lodnia,RW,ER,16.041,62,16,14,9,30,39,110,14.55,0.26,0.23,0.15,0.48,0.63,1.77,11.17,0.18,3,15,20,4,15,26.67,9,80,11.25,22,58,37.93,0
9,Matthew Strome,LW,HAM,16.69,61,16,14,8,30,38,110,14.55,0.26,0.23,0.13,0.49,0.62,1.8,15.18,0.25,10,30,33.33,2,21,9.52,4,59,6.78,18,60,30,0
