,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Rimouski Oceanic,72,52,57.45,370,274,96,53.76,2861,2461,400,12.75,0.889,101.69
1,Moncton Wildcats,72,48,58.05,292,211,81,57.62,2753,2025,728,10.35,0.897,100.06
2,Quebec Remparts,72,46,57.57,289,213,76,52.84,2557,2282,275,11.06,0.908,101.88
3,Hull Olympiques,72,46,56.97,339,256,83,50.25,2475,2450,25,13.42,0.896,103.04
4,Halifax Mooseheads,72,43,54.96,316,259,57,52.02,2696,2487,209,11.56,0.899,101.43
5,Shawinigan Cataractes,72,40,53.44,295,257,38,51.66,2531,2368,163,11.62,0.893,100.92
6,Sherbrooke Castors,72,40,51.15,267,255,12,50.73,2391,2322,69,11.02,0.892,100.23
7,Drummondville Voltigeurs,72,39,52.3,307,280,27,53.23,2525,2219,306,12.02,0.877,99.68
8,Rouyn-Noranda Huskies,72,34,48.57,272,288,-16,52.05,2294,2113,181,11.7,0.867,98.4
9,Montreal Rocket,72,33,46.86,276,313,-37,49.0,2418,2517,-99,11.19,0.876,98.79
10,Baie-Comeau Drakkar,72,32,47.42,257,285,-28,46.29,2171,2519,-348,11.72,0.888,100.47
11,Victoriaville Tigres,72,29,47.51,286,316,-30,48.15,2680,2886,-206,10.6,0.893,99.9
12,Cape Breton Screaming Eagles,72,26,43.23,230,302,-72,44.07,2185,2773,-588,10.32,0.893,99.62
13,Acadie-Bathurst Titan,72,23,42.19,227,311,-84,48.57,2370,2510,-140,9.43,0.877,97.1
14,Chicoutimi Sagueneens,72,23,41.39,226,320,-94,44.33,2105,2643,-538,10.61,0.881,98.73
15,Val-d'Or Foreurs,72,20,39.93,244,367,-123,45.02,2188,2672,-484,10.99,0.864,97.38
