,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Quebec Remparts,974,534,56.019,3666,3124,542,49.098,31566,30083,1483,12.006,0.908,102.807
1,Moncton Wildcats,974,502,51.154,3379,3083,296,50.272,31299,30650,649,10.426,0.901,100.477
2,Shawinigan Cataractes,974,480,42.6,3409,3176,233,45.991,30126,29895,231,9.014,0.897,98.703
3,Drummondville Voltigeurs,974,474,54.014,3374,3266,108,54.706,31344,28920,2424,10.666,0.892,99.82
4,Halifax Mooseheads,974,472,59.087,3429,3293,136,55.552,31572,29364,2208,11.792,0.897,101.518
5,Cape Breton Screaming Eagles,974,467,44.592,3278,3290,-12,49.657,31177,30268,909,10.1,0.876,97.637
6,Victoriaville Tigres,974,457,52.172,3505,3455,50,49.559,31349,32096,-747,10.935,0.902,101.119
7,Rouyn-Noranda Huskies,974,456,49.314,3562,3634,-72,51.764,30545,30026,519,11.644,0.872,98.9
8,Baie-Comeau Drakkar,974,444,55.591,3357,3475,-118,54.99,30192,30678,-486,10.157,0.901,100.168
9,Chicoutimi Sagueneens,974,435,44.538,3216,3339,-123,48.26,29598,30598,-1000,9.207,0.894,98.561
10,Val-d'Or Foreurs,974,430,53.702,3363,3511,-148,52.53,30248,30486,-238,11.728,0.889,100.609
11,Acadie-Bathurst Titan,974,416,41.784,3232,3487,-255,47.023,30776,31475,-699,8.791,0.894,98.13
12,Rimouski Oceanic,974,410,54.556,3466,3770,-304,50.79,30703,32295,-1592,11.582,0.899,101.452
13,Gatineau Olympiques,758,386,50.482,2711,2482,229,51.14,22613,21929,684,11.579,0.88,99.575
14,PEI Rocket,690,294,48.761,2299,2493,-194,48.278,20769,23031,-2262,10.833,0.89,99.903
15,Saint John Sea Dogs,618,273,44.602,2098,2167,-69,45.371,19181,20340,-1159,9.571,0.902,99.807
16,Lewiston MAINEiacs,554,263,49.223,1841,1824,17,50.043,17927,16891,1036,10.894,0.889,99.788
17,Hull Olympiques,216,112,51.748,784,759,25,49.998,6329,6535,-206,12.088,0.887,100.782
18,Blainville-Boisbriand Armada,204,112,56.43,763,584,179,52.573,6170,5462,708,12.132,0.896,101.732
19,Sherbrooke Castors,216,94,49.29,713,772,-59,49.145,6760,7170,-410,10.362,0.897,100.038
20,Montreal Rocket,216,87,47.12,703,814,-111,49.57,6866,6959,-93,10.41,0.886,98.965
21,St. John's Fog Devils,210,82,46.228,656,809,-153,47.59,6472,7175,-703,9.915,0.894,99.328
22,Montreal Junior,136,62,50.79,423,410,13,49.45,4190,4286,-96,9.71,0.907,100.375
23,Montreal Juniors,68,41,58.9,258,180,78,56.53,2315,1780,535,10.8,0.899,100.74
24,Sherbrooke Phoenix,136,30,38.75,361,571,-210,41.97,3567,4931,-1364,9.92,0.887,98.535
25,Charlottetown Islanders,68,15,41.76,180,251,-71,46.66,2189,2502,-313,8.1,0.906,98.72
