,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Sidney Crosby,C,RIM,16.107,59,54,53,28,107,135,280,19.29,0.92,0.9,0.47,1.81,2.29,4.75
1,Dany Roussin,LW,RIM,18.681,66,59,33,25,92,117,274,21.53,0.89,0.5,0.38,1.39,1.77,4.15
2,Maxime Talbot,C,GAT,19.592,51,25,45,28,70,98,184,13.59,0.49,0.88,0.55,1.37,1.92,3.61
3,Jean-Michel Daoust,RW,GAT,19.809,60,31,27,38,58,96,176,17.61,0.52,0.45,0.63,0.97,1.6,2.93
4,Benoit Mondou,C,SHA,18.369,68,34,40,21,74,95,229,14.85,0.5,0.59,0.31,1.09,1.4,3.37
5,Pascal Pelletier,C,SHA,20.25,64,39,28,24,67,91,221,17.65,0.61,0.44,0.38,1.05,1.42,3.45
6,Yannick Tifu,C,ROU,18.924,70,42,30,18,72,90,269,15.61,0.6,0.43,0.26,1.03,1.29,3.84
7,Guillaume Fournier,RW,GAT/VIC,20.638,65,40,33,15,73,88,312,12.82,0.62,0.51,0.23,1.12,1.35,4.8
8,Francois-Pierre Guenette,C,CAP,19.658,69,34,29,22,63,85,187,18.18,0.49,0.42,0.32,0.91,1.23,2.71
9,Michael Lambert,C,PEI,19.516,67,42,26,16,68,84,340,12.35,0.63,0.39,0.24,1.01,1.25,5.07
10,Karl Gagne,C,MON,19.201,68,24,39,21,63,84,188,12.77,0.35,0.57,0.31,0.93,1.24,2.76
11,Josh Hennessy,C,QUE,18.601,59,40,30,12,70,82,268,14.93,0.68,0.51,0.2,1.19,1.39,4.54
12,Steve Bernier,RW,MON,18.459,66,36,28,18,64,82,245,14.69,0.55,0.42,0.27,0.97,1.24,3.71
13,Alexandre Picard,LW,LEW,17.933,69,39,26,15,65,80,252,15.48,0.57,0.38,0.22,0.94,1.16,3.65
14,Cory Urquhart,C,PEI,18.955,67,35,24,20,59,79,253,13.83,0.52,0.36,0.3,0.88,1.18,3.78
15,Louis-Philippe Martin,RW,DRU,18.952,65,27,34,18,61,79,228,11.84,0.42,0.52,0.28,0.94,1.22,3.51
16,Jean-Francois Cyr,RW,CAP,20.384,60,31,29,14,60,74,209,14.83,0.52,0.48,0.23,1.0,1.23,3.48
17,Mathieu Betournay,LW,MON,20.291,69,33,25,16,58,74,248,13.31,0.48,0.36,0.23,0.84,1.07,3.59
18,Stephen Dixon,C,CAP,18.021,55,22,31,19,53,72,173,12.72,0.4,0.56,0.35,0.96,1.31,3.15
19,Gabriel Balasescu,RW,LEW,19.888,65,37,17,17,54,71,205,18.05,0.57,0.26,0.26,0.83,1.09,3.15
20,Dominic Deblois,RW,ROU,19.398,51,32,20,18,52,70,231,13.85,0.63,0.39,0.35,1.02,1.37,4.53
21,Robin Leblanc,RW,BAC,20.677,60,24,27,19,51,70,224,10.71,0.4,0.45,0.32,0.85,1.17,3.73
22,Daniel Sparre,LW,VIC/HAL,18.913,71,35,21,12,56,68,212,16.51,0.49,0.3,0.17,0.79,0.96,2.99
23,Danny Stewart,C,RIM,18.396,69,25,29,13,54,67,195,12.82,0.36,0.42,0.19,0.78,0.97,2.83
24,Mario Jr Scalzo,D,VIC,18.842,67,16,21,30,37,67,286,5.59,0.24,0.31,0.45,0.55,1.0,4.27
25,Alexei Shkotov,LW,MON/QUE,19.231,43,27,25,15,52,67,151,17.88,0.63,0.58,0.35,1.21,1.56,3.51
26,Michael Tessier,LW,CAP,19.086,68,31,18,17,49,66,189,16.4,0.46,0.26,0.25,0.72,0.97,2.78
27,Francis Lemieux,RW,CHI,19.562,70,22,32,12,54,66,219,10.05,0.31,0.46,0.17,0.77,0.94,3.13
28,Brent Aubin,RW,ROU,17.243,70,29,19,17,48,65,238,12.18,0.41,0.27,0.24,0.69,0.93,3.4
29,Jonathan Paiement,D,LEW,18.525,68,13,26,26,39,65,247,5.26,0.19,0.38,0.38,0.57,0.96,3.63
30,Olivier Latendresse,D,VDO,17.588,53,19,24,22,43,65,131,14.5,0.36,0.45,0.42,0.81,1.23,2.47
31,Yannick Riendeau,C,DRU,18.889,69,25,23,15,48,63,225,11.11,0.36,0.33,0.22,0.7,0.91,3.26
