,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Brandon Hynes,RW,VIC,18.252,195,116,65,47,181,228,896,13.255,0.62,0.345,0.268,0.968,1.235,4.67
1,Yanni Gourde,LW,VIC,19.002,195,74,85,61,159,220,446,17.042,0.412,0.508,0.36,0.92,1.278,2.37
2,Zack Phillips,C,SNB,18.132,192,84,87,48,171,219,590,13.775,0.455,0.485,0.25,0.94,1.19,3.245
3,Jonathan Huberdeau,LW,SNB,17.532,165,88,76,48,164,212,411,21.877,0.628,0.57,0.308,1.198,1.51,2.765
4,Philip-Michael Devos,C,VIC/GAT,19.89,136,82,72,53,154,207,354,23.04,0.6,0.53,0.39,1.13,1.525,2.6
5,Marek Hrivik,LW,MON,19.3,179,93,62,49,155,204,666,13.542,0.528,0.402,0.26,0.93,1.192,3.94
6,Guillaume Asselin,RW,MTL/CHI,18.266,200,87,69,43,156,199,425,20.945,0.45,0.342,0.232,0.788,1.02,2.115
7,Benjamin Casavant,LW,PEI/SHA/VDO,19.9,185,97,50,51,147,198,551,18.502,0.548,0.288,0.27,0.835,1.105,2.958
8,Alex Belzile,RW,RIM,19.292,158,59,68,66,127,193,364,15.838,0.36,0.465,0.44,0.828,1.268,2.375
9,Sean Couturier,C,DRU,17.272,126,77,81,34,158,192,485,15.895,0.61,0.645,0.28,1.255,1.535,3.845
10,Sebastien Trudeau,RW,BAT/LEW,19.397,200,73,68,49,141,190,505,13.852,0.388,0.39,0.283,0.775,1.062,2.675
11,Ben Duffy,C,PEI,18.786,204,82,66,42,148,190,484,16.308,0.425,0.365,0.208,0.792,1.002,2.512
12,Gabriel Levesque,C,ROU/BAT,19.816,135,61,90,38,151,189,284,21.235,0.45,0.665,0.28,1.12,1.395,2.1
13,Alex Saulnier,C,MON,18.29,179,64,63,59,127,186,335,19.11,0.395,0.377,0.348,0.775,1.122,2.008
14,Jonathan Brunelle,C,DRU/CAP,19.196,204,69,63,53,132,185,657,11.045,0.365,0.34,0.29,0.702,0.992,3.338
15,Michael Bournival,C,SHA,18.542,155,82,53,47,135,182,602,14.892,0.592,0.34,0.298,0.935,1.238,3.96
16,Michael Chaput,C,LEW/SHA,18.684,187,74,55,48,129,177,519,13.698,0.388,0.33,0.277,0.718,0.995,2.875
17,Jerome Gauthier-Leduc,D,ROU/RIM,18.377,191,66,71,39,137,176,553,12.072,0.372,0.402,0.218,0.78,0.995,3.255
