,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Alex Barre-Boulet,C,DRU/BLB,19.446,263,140,124,73,264,337,876,16.225,0.632,0.51,0.33,1.135,1.468,3.832,2453,4808,52.036
1,Conor Garland,RW,MON,18.638,206,104,149,75,253,328,826,12.438,0.532,0.798,0.395,1.33,1.726,4.38,47,108,40.255
2,Vitalii Abramov,RW,GAT/VIC,18.607,185,129,124,48,253,301,681,19.458,0.725,0.72,0.245,1.442,1.695,3.725,606,1058,54.4
3,Nicolas Roy,C,CHI/SHE,18.212,367,124,104,57,228,285,889,7.255,0.201,0.186,0.099,0.391,0.492,1.928,3502,6498,51.514
4,Angelo Miceli,C,VIC,19.668,250,118,95,65,213,278,753,16.156,0.511,0.462,0.267,0.976,1.241,3.151,1984,3915,51.168
5,Maxime Fortier,D/RW,RIM/QUE/VIC/HAL,18.876,330,104,108,63,212,275,935,11.264,0.444,0.448,0.221,0.898,1.118,3.746,214,577,32.555
6,Adam Erne,LW,QUE,18.532,240,118,91,66,209,275,884,13.855,0.556,0.396,0.325,0.952,1.277,3.988,953,1742,53.018
7,Christopher Clapperton,LW,BLB/RIM,19.687,237,113,84,73,197,270,670,16.446,0.511,0.356,0.311,0.868,1.184,3.155,77,176,37.228
8,Daniel Sprong,RW,CHA,18.624,199,117,106,38,223,261,815,17.435,0.762,0.556,0.266,1.32,1.585,4.339,52,127,43.261
9,Anthony Mantha,RW,VDO,18.248,187,129,85,46,214,260,741,18.005,0.775,0.548,0.268,1.322,1.59,4.232,140,343,39.9
10,Nikolas Brouillard,D,DRU/QUE/ROU,19.666,312,62,99,98,161,259,756,8.21,0.262,0.39,0.318,0.652,0.968,3.15,4,8,18.75
11,Alexandre Goulet,C,CHA/VIC,19.572,262,133,75,50,208,258,735,17.822,0.532,0.322,0.242,0.861,1.101,3.034,887,1730,48.604
12,Francis Perron,LW,ROU,18.534,251,93,103,61,196,257,707,13.69,0.488,0.536,0.281,1.027,1.309,3.435,381,871,42.346
13,Louick Marcotte,LW,PEI/VDO/GAT,19.813,257,117,78,57,195,252,704,16.75,0.52,0.38,0.225,0.898,1.128,3.042,324,763,41.422
14,Anthony Duclair,LW,QUE,18.181,203,116,90,43,206,249,530,21.039,0.609,0.469,0.241,1.076,1.32,2.865,46,120,28.255
15,Matthew Highmore,C,SNB,19.613,289,90,88,69,178,247,838,12.476,0.398,0.395,0.305,0.796,1.096,3.088,2820,5513,52.346
16,Guillaume Gauthier,LW,RIM/DRU/CAP/QUE/SHE,19.072,314,107,79,59,186,245,748,14.948,0.447,0.344,0.222,0.785,1.008,2.963,561,1219,48.312
17,Nicolas Aube-Kubel,RW,VDO,18.474,251,108,79,57,187,244,688,16.171,0.528,0.391,0.254,0.918,1.172,3.16,122,322,34.804
18,Jonathan Drouin,C,HAL,17.72,128,77,94,71,171,242,468,14.855,0.578,0.77,0.58,1.35,1.93,3.83,512,1000,43.55
19,Alexis D'Aoust,RW,SHA,19.514,299,113,78,50,191,241,827,14.58,0.516,0.344,0.24,0.861,1.1,3.42,35,103,31.668
20,Anthony Richard,C,VDO,17.86,232,111,80,47,191,238,704,16.067,0.548,0.444,0.226,0.991,1.218,3.488,414,954,42.478
21,Daniel Audette,C,SHE,18.486,234,82,103,52,185,237,727,11.843,0.392,0.411,0.272,0.809,1.078,3.291,1603,3737,44.52
22,Michael Joly,RW,RIM/CAP,19.49,219,128,71,37,199,236,659,18.83,0.649,0.366,0.182,1.015,1.203,3.382,74,148,45.416
23,Ivan Barbashev,C,MON,18.005,173,88,80,57,168,225,583,16.337,0.59,0.465,0.358,1.058,1.418,3.51,1294,2643,49.342
24,Giovanni Fiore,LW,BAT/DRU/SHA/CAP,19.152,281,114,63,47,177,224,887,13.013,0.588,0.301,0.2,0.895,1.094,4.258,52,118,39.47
25,Luca Ciampini,LW,HAL/BAC,19.649,266,84,69,71,153,224,625,13.628,0.37,0.26,0.298,0.626,0.922,2.619,29,74,33.282
