,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Anthony Mantha,RW,VDO,18.998,57,57,45,18,102,120,285,20.0,1.0,0.79,0.32,1.79,2.11,5.0,50.47,0.89,1379.44,24.2,2.48,1.96,0.78,4.44,5.22,12.4,2.2,21.67,18.39,61.8,50.3,14.64,68.18,150,70,26,54,48.15,9,36,25.0,22,195,11.28,87,210,41.43
1,Marcus Power,RW,ROU,20.173,67,31,49,29,80,109,230,13.48,0.46,0.73,0.43,1.19,1.63,3.43,27.89,0.42,1406.46,20.99,1.32,2.09,1.24,3.41,4.65,9.81,1.19,18.45,18.73,53.45,52.34,22.25,64.04,130,73,9,35,25.71,10,36,27.78,12,159,7.55,8,20,40.0
2,Jonathan Drouin,C,HAL,18.47,46,29,44,35,73,108,216,13.43,0.63,0.96,0.76,1.59,2.35,4.7,26.55,0.58,1126.43,24.49,1.54,2.34,1.86,3.89,5.75,11.51,1.41,19.78,18.29,66.93,47.94,13.1,72.0,126,49,5,21,23.81,4,27,14.81,20,168,11.9,453,850,53.29
3,Nikolaj Ehlers,LW,HAL,17.586,63,49,30,25,79,104,287,17.07,0.78,0.48,0.4,1.25,1.65,4.56,33.12,0.53,1350.53,21.44,2.18,1.33,1.11,3.51,4.62,12.75,1.47,20.05,18.41,65.84,47.63,29.65,79.44,143,37,11,39,28.21,9,56,16.07,29,192,15.1,2,9,22.22
4,Louick Marcotte,LW,VDO,19.688,67,42,30,28,72,100,235,17.87,0.63,0.45,0.42,1.07,1.49,3.51,43.52,0.65,1459.93,21.79,1.73,1.23,1.15,2.96,4.11,9.66,1.79,22.08,18.34,61.3,50.13,18.18,68.94,162,73,16,46,34.78,11,60,18.33,15,129,11.63,235,526,44.68
5,Anthony Duclair,LW,QUE,18.056,59,50,34,15,84,99,208,24.04,0.85,0.58,0.25,1.42,1.68,3.53,36.64,0.62,1317.04,22.32,2.28,1.55,0.68,3.83,4.51,9.48,1.67,19.0,18.36,55.76,52.19,16.83,63.43,111,64,11,48,22.92,15,35,42.86,24,125,19.2,25,67,37.31
6,Guillaume Gelinas,D,VDO,20.255,67,23,40,29,63,92,284,8.1,0.34,0.6,0.43,0.94,1.37,4.24,16.89,0.25,1814.48,27.08,0.76,1.32,0.96,2.08,3.04,9.39,0.56,19.77,18.31,61.4,51.62,9.07,62.95,158,93,2,7,28.57,2,5,40.0,19,272,6.99,0,0,0.0
7,Emile Poirier,LW,GAT,18.755,63,43,29,15,72,87,210,20.48,0.68,0.46,0.24,1.14,1.38,3.33,32.96,0.52,1330.28,21.12,1.94,1.31,0.68,3.25,3.92,9.47,1.49,19.01,18.54,54.84,52.94,15.39,60.77,110,71,16,42,38.1,11,35,31.43,16,133,12.03,9,29,31.03
8,Cameron Darcy,C,CAP,19.54,65,35,30,17,65,82,210,16.67,0.54,0.46,0.26,1.0,1.26,3.23,30.06,0.46,1306.26,20.1,1.61,1.38,0.78,2.99,3.77,9.65,1.38,18.77,18.1,53.75,50.12,18.72,60.62,117,76,6,27,22.22,9,43,20.93,20,140,14.29,635,1193,53.23
9,Darcy Ashley,RW,HAL,20.57,48,30,31,19,61,80,149,20.13,0.62,0.65,0.4,1.27,1.67,3.1,20.25,0.42,1001.35,20.86,1.8,1.86,1.14,3.66,4.79,8.93,1.21,20.38,18.17,67.31,48.05,5.52,68.42,104,48,4,17,23.53,8,28,28.57,18,104,17.31,292,594,49.16
10,Anthony DeLuca,LW,RIM,18.593,67,35,26,17,61,78,307,11.4,0.52,0.39,0.25,0.91,1.16,4.58,33.31,0.5,1342.96,20.04,1.56,1.16,0.76,2.73,3.48,13.72,1.49,18.6,17.98,58.33,48.76,20.22,69.13,103,46,8,24,33.33,5,40,12.5,22,243,9.05,23,42,54.76
11,Angelo Miceli,C,VIC,19.543,68,35,28,14,63,77,221,15.84,0.51,0.41,0.21,0.93,1.13,3.25,33.21,0.49,1277.87,18.79,1.64,1.31,0.66,2.96,3.62,10.38,1.56,17.89,17.83,52.23,48.02,23.9,67.11,100,49,9,35,25.71,9,38,23.68,17,148,11.49,590,1121,52.63
12,Daniel Audette,C,SHE,17.361,68,21,44,11,65,76,224,9.38,0.31,0.65,0.16,0.96,1.12,3.29,21.4,0.31,1438.07,21.15,0.88,1.84,0.46,2.71,3.17,9.35,0.89,18.49,18.13,43.07,52.6,19.43,48.95,93,97,4,12,33.33,5,32,15.62,12,180,6.67,614,1545,39.74
13,Sebastien Sylvestre,C,CHI/RIM,19.94,64,30,25,21,55,76,262,11.45,0.47,0.39,0.33,0.86,1.19,4.09,36.19,0.57,1288.3,20.13,1.4,1.16,0.98,2.56,3.54,12.2,1.69,19.0,18.1,52.72,51.73,15.69,63.19,91,53,10,37,27.03,5,46,10.87,15,179,8.38,34,85,40.0
14,Charles Hudon,LW,BAC/CHI,19.231,57,26,28,22,54,76,289,9.0,0.46,0.49,0.39,0.95,1.33,5.07,25.1,0.44,1220.07,21.4,1.28,1.38,1.08,2.66,3.74,14.21,1.23,18.26,18.48,55.44,51.08,24.57,67.36,97,47,4,18,22.22,4,17,23.53,18,254,7.09,12,37,32.43
15,Jean-Sebastien Dea,C,ROU,19.601,65,49,18,8,67,75,248,19.76,0.75,0.28,0.12,1.03,1.15,3.82,45.99,0.71,1368.93,21.06,2.15,0.79,0.35,2.94,3.29,10.87,2.02,18.49,18.77,54.55,52.84,9.28,56.99,110,83,15,55,27.27,9,42,21.43,25,151,16.56,967,1694,57.08
16,Jean-Francois Plante,RW,VIC/SHE,20.214,69,52,10,13,62,75,247,21.05,0.75,0.14,0.19,0.9,1.09,3.58,37.28,0.54,1430.62,20.73,2.18,0.42,0.55,2.6,3.15,10.36,1.56,19.09,18.21,47.86,51.67,15.86,56.15,105,82,12,43,27.91,11,36,30.56,29,168,17.26,544,1187,45.83
17,Randy Gazzola,D,VDO,20.006,68,16,27,31,43,74,181,8.84,0.24,0.4,0.46,0.63,1.09,2.66,12.55,0.18,1711.83,25.17,0.56,0.95,1.09,1.51,2.59,6.34,0.44,19.22,17.98,60.03,50.31,12.86,65.57,160,84,4,8,50.0,1,7,14.29,11,166,6.63,0,0,0.0
