,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Halifax Mooseheads,68,45,61.83,290,179,111,57.14,2416,1812,604,11.45,0.903,101.77,58.4,263.2,187.46,75.74,10.96,0.896,100.59,11.801,0.147,12.456,0.207,69,51,18,57.5,317,242,75,56.71,21.27,0.793,71,38,33,65.14,380,275,105,58.02,18.68,0.862,150,90,60,62.5,1719,1295,424,57.03,8.03,0.933
1,Val-d'Or Foreurs,68,45,58.99,305,212,93,55.81,2421,1917,504,12.27,0.892,101.49,60.47,286.53,187.3,99.23,11.88,0.902,102.08,9.469,0.118,-18.701,-0.294,121,50,71,70.76,351,189,162,65.0,33.91,0.739,57,65,-8,46.72,320,248,72,56.34,17.55,0.738,127,97,30,56.7,1750,1480,270,54.18,6.99,0.938
2,Baie-Comeau Drakkar,68,43,60.05,251,167,84,56.41,2465,1905,560,10.0,0.914,101.38,61.09,262.53,167.21,95.32,10.67,0.912,101.88,-16.531,-0.202,3.21,0.051,69,38,31,64.49,292,187,105,60.96,23.63,0.797,59,33,26,64.13,321,176,145,64.59,18.12,0.812,123,96,27,56.16,1852,1542,310,54.57,6.44,0.94
3,Drummondville Voltigeurs,68,41,56.76,231,176,55,55.84,2146,1697,449,10.64,0.9,100.64,57.87,243.1,177.01,66.09,11.34,0.895,100.87,-15.097,-0.211,8.01,0.142,59,54,5,52.21,321,195,126,62.21,18.12,0.731,52,36,16,59.09,271,207,64,56.69,19.19,0.83,120,86,34,58.25,1554,1295,259,54.55,7.6,0.936
4,Blainville-Boisbriand Armada,68,38,55.68,240,191,49,51.14,1857,1774,83,12.36,0.896,101.94,53.01,215.97,191.48,24.49,11.71,0.892,100.87,12.03,0.196,7.479,0.127,60,56,4,51.72,196,215,-19,47.69,30.26,0.746,61,45,16,57.55,278,245,33,53.15,21.94,0.82,119,90,29,56.94,1383,1314,69,51.28,7.87,0.934
5,Rimouski Oceanic,68,37,56.82,250,190,60,51.87,2155,2000,155,11.27,0.906,101.86,50.29,220.66,218.14,2.52,10.28,0.891,99.36,21.337,0.298,30.14,0.453,55,61,-6,47.41,216,297,-81,42.11,25.12,0.795,47,47,0,50.0,206,215,-9,48.93,22.82,0.785,148,82,66,64.35,1733,1488,245,53.8,8.17,0.946
6,Quebec Remparts,68,36,55.51,252,202,50,46.77,1945,2214,-269,12.42,0.91,103.46,52.89,218.64,194.73,23.91,11.31,0.912,102.5,21.357,0.331,-3.27,-0.044,79,46,33,63.2,281,197,84,58.79,27.34,0.766,63,25,38,71.59,265,194,71,57.73,23.19,0.871,110,131,-21,45.64,1399,1823,-424,43.42,7.4,0.93
7,Gatineau Olympiques,68,36,53.66,249,215,34,54.71,2139,1771,368,11.23,0.88,99.23,54.83,235.06,193.66,41.4,11.04,0.89,100.09,3.94,0.056,-18.337,-0.311,91,72,19,55.83,295,245,50,54.63,30.61,0.706,55,46,9,54.46,276,240,36,53.49,19.34,0.808,103,97,6,51.5,1568,1286,282,54.94,6.15,0.927
8,Cape Breton Screaming Eagles,68,35,50.1,258,257,1,53.57,2296,1990,306,10.81,0.875,98.33,51.26,251.95,239.58,12.37,11.03,0.879,98.93,-4.946,-0.065,-7.423,-0.112,59,87,-28,40.41,256,319,-63,44.52,22.75,0.73,50,49,1,50.51,270,305,-35,46.96,18.52,0.839,149,121,28,55.19,1770,1366,404,56.44,7.9,0.917
9,Rouyn-Noranda Huskies,68,33,51.12,252,241,11,54.74,2234,1847,387,11.0,0.874,98.43,55.02,249.51,203.99,45.52,11.2,0.889,100.1,-4.505,-0.061,-27.012,-0.441,75,72,3,51.02,309,211,98,59.42,24.27,0.662,61,60,1,50.41,284,229,55,55.36,20.92,0.744,116,109,7,51.56,1641,1407,234,53.84,6.78,0.927
