,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,272,161,57.91,1051,775,276,52.988,8691,7463,1228,11.251,0.906,101.863,54.76,235.031,193.734,41.298,10.826,0.9,100.77,8.971,0.127,14.108,0.201,255,210,45,55.396,895,807,88,52.118,26.619,0.76,261,184,77,58.872,1154,919,235,54.3,21.635,0.819,535,381,154,58.931,6642,5737,905,52.891,7.421,0.94
1,Blainville-Boisbriand Armada,272,149,57.178,904,727,177,53.63,7791,6894,897,11.616,0.899,101.466,53.506,205.738,178.221,27.516,10.35,0.897,99.984,25.762,0.379,3.846,0.067,206,199,7,52.896,833,722,111,55.622,24.418,0.719,180,178,2,51.691,960,978,-18,50.371,18.534,0.82,518,350,168,61.466,5998,5194,804,53.891,8.64,0.937
2,Charlottetown Islanders,272,142,50.996,954,902,52,51.868,9096,8714,382,9.774,0.9,99.752,52.211,247.156,226.19,20.966,10.816,0.893,100.145,-22.908,-0.314,13.941,0.197,277,284,-7,49.963,1124,1064,60,52.812,22.996,0.738,236,184,52,56.738,1311,1104,207,55.702,16.596,0.843,441,434,7,48.851,6661,6546,115,50.984,6.091,0.936
3,Rimouski Oceanic,272,141,54.04,936,822,114,53.524,8707,7726,981,10.19,0.898,99.986,51.189,214.872,205.079,9.79,9.836,0.892,99.054,8.004,0.108,9.955,0.172,206,247,-41,48.185,904,1034,-130,49.196,21.269,0.772,226,181,45,57.349,1068,904,164,54.078,21.242,0.812,504,394,110,55.462,6735,5788,947,54.116,6.953,0.932
4,Cape Breton Screaming Eagles,272,134,50.555,1043,964,79,51.835,8717,8095,622,11.124,0.884,99.439,52.213,263.529,240.804,22.731,12.135,0.881,100.19,-22.03,-0.303,5.427,0.08,278,268,10,49.082,1180,1074,106,51.654,21.971,0.76,233,253,-20,45.198,1155,1103,52,50.625,18.516,0.77,532,443,89,53.889,6382,5918,464,52.092,7.801,0.928
5,Gatineau Olympiques,272,133,50.543,922,872,50,48.74,7989,7924,65,11.042,0.896,100.6,47.935,213.0,228.558,-15.551,11.018,0.887,99.709,-0.753,0.007,16.556,0.26,235,268,-33,42.706,926,1022,-96,41.338,29.199,0.733,228,179,49,58.959,1209,1076,133,50.79,18.206,0.861,459,425,34,51.942,5854,5826,28,49.315,7.39,0.931
6,Shawinigan Cataractes,272,132,47.43,972,910,62,48.091,8300,8391,-91,10.662,0.89,99.601,47.988,213.148,230.625,-17.478,10.663,0.893,99.976,0.476,-0.001,-9.502,-0.11,270,251,19,46.822,995,914,81,48.312,25.346,0.732,225,205,20,47.707,1089,1036,53,49.225,19.402,0.792,477,454,23,47.659,6216,6441,-225,47.885,6.892,0.93
7,Victoriaville Tigres,272,131,53.73,988,938,50,49.462,8022,8503,-481,12.074,0.899,101.984,51.101,222.438,213.419,9.02,10.875,0.898,100.658,24.438,0.359,2.793,0.038,216,270,-54,47.32,816,1022,-206,47.221,25.931,0.738,236,210,26,55.506,1012,1041,-29,50.124,22.366,0.818,536,458,78,56.031,6194,6440,-246,49.713,8.625,0.936
8,Quebec Remparts,272,127,49.672,874,920,-46,49.975,8001,8492,-491,10.255,0.898,99.998,53.244,205.649,180.956,24.688,10.105,0.911,101.246,2.852,0.046,-27.668,-0.42,249,195,54,58.391,932,763,169,56.831,24.772,0.772,198,169,29,55.488,1015,823,192,57.918,19.23,0.788,427,556,-129,43.691,6054,6906,-852,47.933,6.45,0.924
9,Saint John Sea Dogs,272,126,47.008,953,935,18,48.209,8708,8635,73,10.328,0.893,99.62,44.988,219.68,272.42,-52.74,10.452,0.88,98.498,-2.305,-0.038,28.296,0.375,260,251,9,44.864,1105,1220,-115,43.01,22.285,0.796,233,197,36,52.256,1107,1057,50,49.255,20.159,0.821,460,487,-27,45.76,6496,6358,138,48.962,6.771,0.924
10,Val-d'Or Foreurs,272,123,42.844,950,1026,-76,42.581,7872,9145,-1273,10.921,0.892,100.058,43.202,190.335,249.321,-58.991,10.399,0.899,100.278,10.418,0.156,-18.179,-0.222,282,218,64,50.952,959,895,64,46.846,28.171,0.762,231,279,-48,40.631,1009,1213,-204,41.748,21.848,0.772,437,529,-92,39.814,5904,7037,-1133,42.104,6.321,0.928
11,Acadie-Bathurst Titan,272,121,53.895,931,941,-10,53.26,8756,8405,351,10.615,0.896,100.18,52.895,261.659,231.381,30.278,11.354,0.885,99.856,-16.533,-0.222,20.252,0.319,279,291,-12,53.125,1091,1133,-42,50.645,25.105,0.767,219,212,7,55.494,1178,1054,124,55.001,18.943,0.816,433,438,-5,53.552,6487,6218,269,53.448,6.601,0.933
12,Halifax Mooseheads,272,116,50.274,912,994,-82,50.125,8375,8586,-211,10.915,0.89,99.925,51.518,259.272,243.606,15.664,12.11,0.886,100.68,-25.396,-0.359,9.605,0.132,279,272,7,52.765,1125,1079,46,53.125,24.151,0.75,210,243,-33,47.921,1119,1238,-119,48.424,18.168,0.815,423,479,-56,49.55,6131,6269,-138,49.884,7.099,0.928
13,Drummondville Voltigeurs,272,115,51.224,865,966,-101,52.87,8141,7968,173,10.74,0.887,99.376,51.87,222.351,206.42,15.929,10.389,0.892,99.556,8.65,0.105,-10.828,-0.16,225,246,-21,49.835,932,933,-1,51.268,24.868,0.742,217,229,-12,53.798,1092,1130,-38,52.306,20.282,0.811,423,491,-68,50.634,6117,5905,212,53.192,6.836,0.925
14,Sherbrooke Phoenix,272,112,47.811,869,975,-106,51.791,8583,8498,85,9.695,0.888,98.439,49.828,225.23,226.601,-1.369,10.13,0.89,99.15,-10.228,-0.131,-5.526,-0.082,238,237,1,51.654,963,960,3,52.36,23.898,0.756,163,221,-58,43.685,1081,1282,-201,47.349,13.766,0.84,468,517,-49,47.528,6539,6256,283,52.566,6.918,0.917
15,Moncton Wildcats,272,111,44.098,946,1111,-165,47.871,8251,8798,-547,10.721,0.876,98.244,46.582,237.534,273.04,-35.511,11.615,0.878,99.355,-17.03,-0.268,-5.96,-0.064,264,312,-48,44.969,1061,1213,-152,47.882,23.664,0.738,218,290,-72,39.951,1095,1442,-347,41.779,18.786,0.798,464,509,-45,45.712,6095,6143,-48,49.112,7.085,0.918
16,Chicoutimi Sagueneens,272,110,47.482,816,881,-65,49.074,7913,8291,-378,9.81,0.897,99.48,49.677,204.79,207.542,-2.752,10.378,0.899,100.234,-11.292,-0.171,-3.955,-0.057,237,226,11,51.02,884,789,95,53.539,25.911,0.718,186,234,-48,43.425,966,1089,-123,47.645,18.34,0.781,393,421,-28,47.595,6063,6413,-350,48.734,6.135,0.938
17,Baie-Comeau Drakkar,272,90,44.96,786,1015,-229,45.4,7798,9202,-1404,10.085,0.899,99.991,45.952,194.704,229.088,-34.384,9.845,0.903,100.169,5.172,0.072,-9.54,-0.124,228,242,-14,49.814,866,956,-90,47.324,26.955,0.762,179,230,-51,44.499,938,1067,-129,46.218,19.75,0.79,379,543,-164,42.592,5994,7179,-1185,45.022,6.188,0.934
