,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alexis Lafreniere,LW,RIM,16.928,51,32,37,22,69,91,171,18.71,0.63,0.73,0.43,1.35,1.78,3.35,22.24,0.44,1029.94,20.19,1.86,2.16,1.28,4.02,5.3,9.96,1.3,19.57,18.17,65.57,46.62,36.86,83.46,111,22,8,35,22.86,7,26,26.92,17,110,15.45,17,42,40.48
1,Ivan Chekhovich,LW,BAC,19.697,54,37,32,21,69,90,239,15.48,0.69,0.59,0.39,1.28,1.67,4.43,25.33,0.47,1080.15,20.0,2.06,1.78,1.17,3.83,5.0,13.28,1.41,18.38,17.58,64.3,46.51,17.9,73.97,108,38,12,40,30.0,11,47,23.4,14,152,9.21,1,4,25.0
2,Joseph Veleno,C,DRU,18.673,47,38,31,20,69,89,204,18.63,0.81,0.66,0.43,1.47,1.89,4.34,18.34,0.39,969.99,20.64,2.35,1.92,1.24,4.27,5.51,12.62,1.13,18.41,17.94,65.87,48.24,9.89,73.79,107,38,11,35,31.43,11,31,35.48,16,138,11.59,413,790,52.28
3,Peter Abbandonato,C,ROU,20.477,57,26,37,26,63,89,194,13.4,0.46,0.65,0.46,1.11,1.56,3.4,21.25,0.37,1208.67,21.2,1.29,1.84,1.29,3.13,4.42,9.63,1.05,18.76,17.91,69.42,49.04,11.92,75.46,123,40,6,29,20.69,11,35,31.43,9,130,6.92,564,1065,52.96
4,Jeremy McKenna,RW,MON,19.406,57,38,28,16,66,82,320,11.88,0.67,0.49,0.28,1.16,1.44,5.61,35.57,0.62,1288.05,22.6,1.77,1.3,0.75,3.07,3.82,14.91,1.66,19.46,18.04,58.48,48.66,18.97,64.71,110,60,9,39,23.08,8,48,16.67,21,233,9.01,76,142,53.52
5,Jimmy Huntington,C,RIM,19.825,56,36,30,12,66,78,159,22.64,0.64,0.54,0.21,1.18,1.39,2.84,20.91,0.37,1141.09,20.38,1.89,1.58,0.63,3.47,4.1,8.36,1.1,19.68,18.16,66.8,48.66,16.95,72.0,108,42,12,41,29.27,9,33,27.27,15,85,17.65,733,1313,55.83
6,Samuel Asselin,C,BAT/HAL,20.208,58,44,20,14,64,78,170,25.88,0.76,0.34,0.24,1.1,1.34,2.93,24.86,0.43,1190.02,20.52,2.22,1.01,0.71,3.23,3.93,8.57,1.25,18.04,17.65,65.95,48.8,13.49,72.56,119,45,26,68,38.24,9,32,28.12,9,70,12.86,583,1072,54.38
7,Gregor MacLeod,C,DRU,20.274,54,32,29,17,61,78,189,16.93,0.59,0.54,0.31,1.13,1.44,3.5,17.53,0.32,992.92,18.39,1.93,1.75,1.03,3.69,4.71,11.42,1.06,18.27,17.69,65.64,47.28,10.6,73.76,104,37,10,24,41.67,9,37,24.32,13,128,10.16,10,20,50.0
8,Nicolas Guay,RW,DRU,19.245,52,35,28,14,63,77,193,18.13,0.67,0.54,0.27,1.21,1.48,3.71,24.33,0.47,984.9,18.94,2.13,1.71,0.85,3.84,4.69,11.76,1.48,18.07,17.81,66.83,48.59,4.9,69.86,102,44,11,38,28.95,11,47,23.4,13,108,12.04,306,558,54.84
9,Daniel Hardie,LW,CHA,20.263,56,33,26,7,59,66,177,18.64,0.59,0.46,0.12,1.05,1.18,3.16,23.0,0.41,1049.76,18.75,1.89,1.49,0.4,3.37,3.77,10.12,1.31,18.15,17.91,56.12,47.0,20.98,65.62,84,44,13,35,37.14,10,42,23.81,10,100,10.0,6,20,30.0
