,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,River City Lancers,117,69,55.77,370,293,77,55.675,3875,3096,779,9.235,0.909,100.115
1,Tri-City Storm,116,62,55.17,390,317,73,53.675,3592,3098,494,10.525,0.902,100.695
2,Waterloo Black Hawks,114,59,54.745,375,308,67,53.24,3843,3378,465,9.575,0.912,100.705
3,Sioux City Musketeers,106,56,55.005,351,287,64,50.93,3540,3388,152,9.585,0.917,101.225
4,Lincoln Stars,118,53,52.605,366,332,34,50.085,3621,3635,-14,9.93,0.915,101.345
5,Cedar Rapids RoughRiders,119,53,49.47,356,360,-4,50.865,3673,3547,126,9.345,0.9,99.355
6,Chicago Steel,118,48,49.345,352,363,-11,50.855,3744,3622,122,9.16,0.902,99.365
7,Des Moines Buccaneers,117,45,48.94,385,402,-17,47.65,4012,4403,-391,9.3,0.91,100.32
8,Green Bay Gamblers,118,39,44.595,304,377,-73,48.945,3613,3753,-140,8.325,0.904,98.67
9,Sioux Falls Stampede,116,36,41.445,318,452,-134,42.575,3218,4339,-1121,9.5,0.898,99.27
10,Danville Wings,58,26,49.24,161,166,-5,50.33,1656,1634,22,9.56,0.901,99.62
11,Topeka Scarecrows,47,24,53.5,153,133,20,55.43,1496,1203,293,10.17,0.89,99.19
12,St. Louis Heartland Eagles,56,13,36.58,124,215,-91,39.31,1447,2234,-787,8.06,0.907,98.76
