,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Tri-City Storm,59,41,62.32,220,133,87,58.16,1953,1405,548,10.9,0.907,101.63
1,River City Lancers,59,35,56.41,198,153,45,53.73,1958,1686,272,9.74,0.914,101.1
2,Sioux City Musketeers,58,31,55.9,180,142,38,53.7,1973,1701,272,8.66,0.919,100.53
3,Cedar Rapids RoughRiders,60,31,52.31,204,186,18,50.97,1947,1873,74,10.2,0.903,100.51
4,Chicago Steel,60,29,53.31,185,162,23,49.87,1885,1895,-10,9.48,0.917,101.17
5,Waterloo Black Hawks,57,26,52.19,167,153,14,53.8,1874,1609,265,8.72,0.908,99.49
6,Danville Wings,58,26,49.24,161,166,-5,50.33,1656,1634,22,9.56,0.901,99.62
7,Des Moines Buccaneers,59,25,50.26,195,193,2,49.45,2113,2160,-47,8.93,0.913,100.2
8,Green Bay Gamblers,60,25,49.13,169,175,-6,51.55,1975,1856,119,8.46,0.909,99.33
9,Lincoln Stars,60,21,46.8,168,191,-23,47.87,1879,2046,-167,8.7,0.915,100.17
10,Sioux Falls Stampede,60,15,37.19,148,250,-102,42.81,1670,2231,-561,8.48,0.89,97.43
11,St. Louis Heartland Eagles,56,13,36.58,124,215,-91,39.31,1447,2234,-787,8.06,0.907,98.76
