,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Andrew Miller,F,CHI/DM,19.806,222,75,71,31,146,177,512,14.14,0.326,0.239,0.115,0.565,0.682,2.188
1,Matt White,F,OMA/DM,18.856,258,68,62,42,130,172,598,11.849,0.396,0.341,0.222,0.738,0.958,3.114
2,Mike Seidel,F,CR,19.698,172,60,70,33,130,163,504,12.148,0.382,0.41,0.222,0.798,1.02,3.088
3,Daniil Tarasov,F,WAT/IND,19.49,119,84,39,40,123,163,503,12.598,0.552,0.26,0.252,0.812,1.065,3.802
4,Taylor Cammarata,F,WAT,16.844,119,65,62,35,127,162,312,20.85,0.545,0.52,0.295,1.07,1.365,2.625
5,Matt Leitner,F,OH/FGO,18.051,167,51,74,33,125,158,364,14.745,0.345,0.458,0.213,0.802,1.018,2.305
6,Shane Sooth,F,SC/DBQ,19.536,189,35,68,46,103,149,376,11.395,0.206,0.378,0.229,0.586,0.815,1.918
7,Brock Montpetit,F,WAT,18.702,169,53,51,38,104,142,383,13.908,0.365,0.355,0.227,0.718,0.945,2.535
8,Dominik Shine,F,LIN,18.536,188,64,45,25,109,134,482,14.214,0.409,0.259,0.167,0.668,0.835,2.824
9,John Kemp,F,IND,20.112,106,29,61,43,90,133,213,13.815,0.275,0.57,0.405,0.855,1.255,2.01
10,Kyle Novak,F,GB,19.173,126,44,66,18,110,128,269,12.45,0.282,0.42,0.115,0.702,0.815,1.777
11,Seth Ambroz,F,OMA,16.708,172,60,37,29,97,126,536,11.098,0.37,0.213,0.178,0.58,0.76,3.338
12,Vince Hinostroza,F,WAT,17.702,151,53,46,27,99,126,414,13.035,0.4,0.338,0.222,0.742,0.96,2.945
13,Austin Cangelosi,F,YNG,17.553,109,50,47,26,97,123,243,21.495,0.465,0.43,0.24,0.895,1.125,2.22
14,Mike Cichy,F,TC/IND,17.69,115,50,47,24,97,121,387,12.495,0.44,0.41,0.21,0.85,1.06,3.385
15,Blake Coleman,F,IND/TC,18.298,117,44,38,38,82,120,339,11.95,0.375,0.325,0.32,0.695,1.02,2.89
16,David Goodwin,F,GB/SC/CR,19.8,179,43,39,36,82,118,411,9.832,0.23,0.225,0.205,0.455,0.66,2.335
17,Craig Smith,F,WAT,18.277,157,49,38,30,87,117,432,11.615,0.36,0.31,0.235,0.67,0.905,2.972
18,Patrick Divjak,F,SF/WAT,19.79,171,47,38,31,85,116,400,11.778,0.298,0.222,0.19,0.522,0.712,2.53
19,J.T. Brown,F,WAT,18.706,96,48,36,29,84,113,305,17.125,0.48,0.37,0.29,0.85,1.14,2.935
20,Reed Seckel,F,GB,19.55,114,35,44,31,79,110,239,14.135,0.31,0.385,0.27,0.695,0.97,2.12
