,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Rem Pitlick,F,MUS,18.453,56,46,27,16,73,89,174,26.44,0.82,0.48,0.29,1.3,1.59,3.11
1,Cameron Morrison,C,YNG,17.052,60,34,24,8,58,66,117,29.06,0.57,0.4,0.13,0.97,1.1,1.95
2,Ross Colton,LW,CR,19.009,55,35,22,9,57,66,209,16.75,0.64,0.4,0.16,1.04,1.2,3.8
3,Tanner Laczynski,F,CHI/LIN,18.289,52,24,24,15,48,63,165,14.55,0.46,0.46,0.29,0.92,1.21,3.17
4,Collin Adams,LW,MUS,17.394,59,27,24,10,51,61,193,13.99,0.46,0.41,0.17,0.86,1.03,3.27
5,Denis Smirnov,F,FGO,18.092,60,29,19,13,48,61,245,11.84,0.48,0.32,0.22,0.8,1.02,4.08
6,Nathan Sucese,C,DBQ,19.176,60,26,21,12,47,59,187,13.9,0.43,0.35,0.2,0.78,0.98,3.12
7,Sam McCormick,F,WAT/MAD,18.566,61,32,16,9,48,57,190,16.84,0.52,0.26,0.15,0.79,0.93,3.11
8,Ryan Lohin,C,WAT/MAD,19.22,62,23,23,11,46,57,199,11.56,0.37,0.37,0.18,0.74,0.92,3.21
9,Ludvig Hoff,F,LIN,18.913,56,20,19,18,39,57,147,13.61,0.36,0.34,0.32,0.7,1.02,2.62
10,Parker Tuomie,RW,SF,19.874,59,30,16,8,46,54,208,14.42,0.51,0.27,0.14,0.78,0.92,3.53
11,Matej Paulovic,C,MUS,20.671,49,20,17,16,37,53,154,12.99,0.41,0.35,0.33,0.76,1.08,3.14
12,Grant Jozefek,F,LIN,17.889,56,21,19,13,40,53,141,14.89,0.38,0.34,0.23,0.71,0.95,2.52
13,Sam Saliba,F,GB,19.935,59,29,15,8,44,52,139,20.86,0.49,0.25,0.14,0.75,0.88,2.36
14,Hugh McGing,C,CR,17.18,60,23,17,11,40,51,171,13.45,0.38,0.28,0.18,0.67,0.85,2.85
15,Carson Meyer,RW,TC,18.076,56,32,14,5,46,51,172,18.6,0.57,0.25,0.09,0.82,0.91,3.07
16,Marc Michaelis,LW,GB,20.126,59,10,27,14,37,51,119,8.4,0.17,0.46,0.24,0.63,0.86,2.02
17,Nick Swaney,F,WAT,18.015,54,30,10,10,40,50,167,17.96,0.56,0.19,0.19,0.74,0.93,3.09
18,Chase Pearson,F,YNG,18.062,55,12,26,12,38,50,131,9.16,0.22,0.47,0.22,0.69,0.91,2.38
19,Tarek Baker,F,BLM,18.56,60,20,15,14,35,49,173,11.56,0.33,0.25,0.23,0.58,0.82,2.88
20,Ronnie Hein,F,WAT,18.645,57,14,22,13,36,49,160,8.75,0.25,0.39,0.23,0.63,0.86,2.81
21,Jeremy Davies,D,BLM,18.779,60,13,22,14,35,49,179,7.26,0.22,0.37,0.23,0.58,0.82,2.98
22,Jake Jaremko,C,CHI,19.059,60,20,13,15,33,48,127,15.75,0.33,0.22,0.25,0.55,0.8,2.12
23,Kenneth Hausinger,C,DM,20.154,60,16,24,8,40,48,114,14.04,0.27,0.4,0.13,0.67,0.8,1.9
24,Josh French,C,OMA,19.743,58,16,22,10,38,48,160,10.0,0.28,0.38,0.17,0.66,0.83,2.76
25,Logan Lambdin,LW,BLM,19.872,58,28,9,10,37,47,181,15.47,0.48,0.16,0.17,0.64,0.81,3.12
26,Wade Allison,F,TC,17.92,56,25,18,4,43,47,203,12.32,0.45,0.32,0.07,0.77,0.84,3.62
27,Yushiroh Hirano,RW,YNG,20.077,54,24,11,11,35,46,153,15.69,0.44,0.2,0.2,0.65,0.85,2.83
28,Blake Lizotte,C,FGO,17.755,54,12,21,13,33,46,97,12.37,0.22,0.39,0.24,0.61,0.85,1.8
29,Jake Wahlin,F,TC,18.848,55,15,19,11,34,45,149,10.07,0.27,0.35,0.2,0.62,0.82,2.71
30,Jack Ahcan,LD,CR,18.328,56,14,18,12,32,44,116,12.07,0.25,0.32,0.21,0.57,0.79,2.07
31,Liam Pecararo,F,WAT,19.442,45,14,20,10,34,44,129,10.85,0.31,0.44,0.22,0.76,0.98,2.87
32,Zach Jordan,F,DM,18.84,60,32,10,2,42,44,222,14.41,0.53,0.17,0.03,0.7,0.73,3.7
33,Nick Poehling,C,GB,19.045,58,15,12,16,27,43,142,10.56,0.26,0.21,0.28,0.47,0.74,2.45
34,Ty Pelton-Byce,F,DM,18.421,60,15,15,13,30,43,119,12.61,0.25,0.25,0.22,0.5,0.72,1.98
35,Patrick Grasso,F,DM,19.297,60,22,12,9,34,43,189,11.64,0.37,0.2,0.15,0.57,0.72,3.15
36,Dan Labosky,LW,TC,20.313,52,15,18,9,33,42,159,9.43,0.29,0.35,0.17,0.63,0.81,3.06
37,Jake Slaker,F,BLM,19.215,57,21,12,9,33,42,163,12.88,0.37,0.21,0.16,0.58,0.74,2.86
38,Brandon Duhaime,LW,TC/CHI,18.317,57,15,12,15,27,42,126,11.9,0.26,0.21,0.26,0.47,0.74,2.21
39,Hank Crone,LW,OMA/FGO,17.569,62,17,12,12,29,41,119,14.29,0.27,0.19,0.19,0.47,0.66,1.92
40,Nick Rivera,LW,OMA,19.368,48,23,10,8,33,41,162,14.2,0.48,0.21,0.17,0.69,0.85,3.38
41,Mattias Goransson,RD,TC,20.518,58,7,18,16,25,41,140,5.0,0.12,0.31,0.28,0.43,0.71,2.41
42,Mitchell Smith,F,DBQ,19.048,60,16,13,11,29,40,163,9.82,0.27,0.22,0.18,0.48,0.67,2.72
43,Mitchell Fossier,LW,SC,18.733,60,11,18,11,29,40,161,6.83,0.18,0.3,0.18,0.48,0.67,2.68
44,Jack Suter,C,SF,20.408,60,14,18,8,32,40,115,12.17,0.23,0.3,0.13,0.53,0.67,1.92
45,Yuri Terao,RW,WAT,20.381,45,18,14,8,32,40,120,15.0,0.4,0.31,0.18,0.71,0.89,2.67
46,Biagio Lerario,F,LIN,19.981,51,16,15,9,31,40,108,14.81,0.31,0.29,0.18,0.61,0.78,2.12
47,Nico Sturm,LW,TC,20.37,57,14,14,11,28,39,139,10.07,0.25,0.25,0.19,0.49,0.68,2.44
48,Gordon Green,RW,DBQ,18.555,60,12,15,12,27,39,116,10.34,0.2,0.25,0.2,0.45,0.65,1.93
49,Callahan Burke,C,CR,18.478,56,14,13,12,27,39,153,9.15,0.25,0.23,0.21,0.48,0.7,2.73
50,Brannon McManus,LW,OMA,16.197,58,17,13,9,30,39,121,14.05,0.29,0.22,0.16,0.52,0.67,2.09
