,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Kelowna Rockets,1224,705,55.384,4268,3335,933,52.268,38926,34377,4549,11.344,0.899,101.213
1,Brandon Wheat Kings,1224,654,52.271,4479,3878,601,48.016,39445,37614,1831,11.398,0.904,101.777
2,Medicine Hat Tigers,1224,653,52.248,4421,3819,602,54.397,40471,36837,3634,9.997,0.893,99.232
3,Calgary Hitmen,1224,635,46.946,4164,3620,544,50.379,38518,34478,4040,9.926,0.886,98.456
4,Tri-City Americans,1224,615,49.911,4000,3793,207,47.463,37557,38662,-1105,10.82,0.902,101.05
5,Spokane Chiefs,1224,597,51.217,3992,3675,317,53.034,39410,35805,3605,10.381,0.888,99.113
6,Red Deer Rebels,1224,565,48.138,3588,3574,14,48.336,37173,37146,27,9.69,0.902,99.89
7,Swift Current Broncos,1224,556,52.842,3738,3841,-103,48.542,37308,39233,-1925,10.67,0.91,101.639
8,Vancouver Giants,1224,555,44.284,3868,3934,-66,47.566,38392,35480,2912,9.291,0.893,98.554
9,Moose Jaw Warriors,1224,554,55.641,3948,4065,-117,51.053,38017,39449,-1432,11.516,0.905,101.951
10,Kamloops Blazers,1224,551,49.779,3785,3926,-141,50.176,37046,38566,-1520,9.052,0.908,99.859
11,Saskatoon Blades,1224,537,44.346,3819,4170,-351,48.118,37432,40175,-2743,9.566,0.889,98.476
12,Kootenay Ice,1008,535,50.636,3250,2845,405,49.658,31252,29108,2144,9.945,0.904,100.265
13,Seattle Thunderbirds,1224,534,50.957,3655,3837,-182,50.08,37774,38331,-557,10.248,0.902,100.409
14,Regina Pats,1224,527,53.624,3823,4061,-238,53.76,37792,38582,-790,9.838,0.902,99.974
15,Everett Silvertips,1080,520,57.19,3000,2854,146,52.854,31064,32300,-1236,9.36,0.922,101.548
16,Lethbridge Hurricanes,1224,499,49.431,3824,4296,-472,48.129,35920,39875,-3955,10.651,0.9,100.626
17,Prince Albert Raiders,1224,471,47.106,3620,4277,-657,49.507,37690,39814,-2124,9.716,0.896,99.202
18,Prince George Cougars,1224,453,46.958,3552,4401,-849,49.113,36899,40382,-3483,9.58,0.897,99.187
19,Portland Winterhawks,648,394,54.904,2615,1984,631,53.252,24235,21217,3018,9.706,0.908,100.504
20,Edmonton Oil Kings,792,335,42.146,2438,2562,-124,49.359,25589,23961,1628,9.099,0.878,96.886
21,Victoria Royals,504,250,53.402,1723,1607,116,47.989,15297,16128,-831,11.792,0.907,102.475
22,Portland Winter Hawks,576,206,36.033,1511,2060,-549,43.26,16635,18617,-1982,8.122,0.89,97.206
23,Chilliwack Bruins,360,119,45.386,953,1240,-287,45.052,9769,11701,-1932,10.138,0.901,100.157
24,Kootenay ICE,216,50,38.8,544,924,-380,44.988,6053,7826,-1773,9.045,0.884,97.485
