,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Jayden Halbgewachs,C,MJ,20.485,72,70,39,20,109,129,0.97,0.54,0.28,1.51,1.79
1,Glenn Gawdin,C,SC,20.477,67,56,37,32,93,125,0.84,0.55,0.48,1.39,1.87
2,Aleksi Heponiemi,C,SC,18.683,57,28,51,39,79,118,0.49,0.89,0.68,1.39,2.07
3,Brayden Burke,LW,MJ,20.704,61,31,47,35,78,113,0.51,0.77,0.57,1.28,1.85
4,Matthew Phillips,C,VIC,19.445,71,48,40,24,88,112,0.68,0.56,0.34,1.24,1.58
5,Tyler Steenbergen,C,SC,19.688,56,47,24,31,71,102,0.84,0.43,0.55,1.27,1.82
6,Cody Glass,C,POR,18.459,64,37,39,26,76,102,0.58,0.61,0.41,1.19,1.59
7,Ty Lewis,LW,BDN,19.532,70,44,33,23,77,100,0.63,0.47,0.33,1.1,1.43
8,Patrick Bajkov,RW,EVT,19.801,72,33,37,30,70,100,0.46,0.51,0.42,0.97,1.39
9,Justin  Almeida,C,MJ,18.607,72,43,35,20,78,98,0.6,0.49,0.28,1.08,1.36
10,Kole Lind,RW,KEL,18.916,58,39,45,11,84,95,0.67,0.78,0.19,1.45,1.64
11,Jordy Bellerive,C,LET,18.374,71,46,24,22,70,92,0.65,0.34,0.31,0.99,1.3
12,Tyler Soy,C,VIC,20.595,66,36,35,21,71,92,0.55,0.53,0.32,1.08,1.39
13,Jaret Anderson-Dolan,C,SPO,18.01,70,40,28,23,68,91,0.57,0.4,0.33,0.97,1.3
14,Jordy Stallard,C,PA,19.992,72,44,32,15,76,91,0.61,0.44,0.21,1.06,1.26
15,Cameron Hebig,C,REG/SAS,20.649,66,41,26,23,67,90,0.62,0.39,0.35,1.02,1.36
16,Stelio Mattheos,C,BDN,18.256,68,43,31,16,74,90,0.63,0.46,0.24,1.09,1.32
17,Trey Fix-Wolansky,RW,EDM,18.308,71,32,38,19,70,89,0.45,0.54,0.27,0.99,1.25
18,Matt Fonteyne,LW,EVT,19.792,72,35,26,27,61,88,0.49,0.36,0.38,0.85,1.22
19,Braylon Shmyr,LW,SAS,20.334,72,37,40,11,77,88,0.51,0.56,0.15,1.07,1.22
20,Skyler McKenzie,LW,POR,19.653,72,47,26,14,73,87,0.65,0.36,0.19,1.01,1.21
21,Giorgio Estephan,C,SC/LET,20.614,69,30,27,29,57,86,0.43,0.39,0.42,0.83,1.25
22,Hudson Elynuik,C,SPO,19.926,71,31,32,23,63,86,0.44,0.45,0.32,0.89,1.21
23,Dillon Dube,C,KEL,19.157,53,38,27,19,65,84,0.72,0.51,0.36,1.23,1.58
24,Morgan Geekie,C,TC,19.157,68,30,35,19,65,84,0.44,0.51,0.28,0.96,1.24
25,Ty Ronning,RW,VAN,19.905,70,61,15,8,76,84,0.87,0.21,0.11,1.09,1.2
26,Sam Steel,C,REG,19.614,54,33,36,14,69,83,0.61,0.67,0.26,1.28,1.54
27,Tanner Jeannot,LW,MJ,20.299,72,40,19,21,59,80,0.56,0.26,0.29,0.82,1.11
28,Jordan Topping,LW,TC,20.156,72,38,22,20,60,80,0.53,0.31,0.28,0.83,1.11
29,Garrett Pilon,C,KAM/EVT,19.425,69,34,29,17,63,80,0.49,0.42,0.25,0.91,1.16
