,Stat 1,Stat 2,Stat 3,Stat 4,Cluster,Slope,R-Squared
2072,G,A2,HD G,FOW,0,-0.638,0.755
2073,G,A2,HD G,FOW,1,-0.638,0.755
2074,G,A2,HD G,FOW,2,-0.638,0.755
2075,G,A2,HD G,FOW,3,-0.638,0.755
2112,G,A2,HD Sh,FOW,0,-0.638,0.755
2113,G,A2,HD Sh,FOW,1,-0.638,0.755
2114,G,A2,HD Sh,FOW,2,-0.638,0.755
2115,G,A2,HD Sh,FOW,3,-0.638,0.755
2180,G,A2,MD G,FOW,0,-0.638,0.755
2181,G,A2,MD G,FOW,1,-0.638,0.755
2182,G,A2,MD G,FOW,2,-0.638,0.755
2183,G,A2,MD G,FOW,3,-0.638,0.755
2208,G,A2,MD Sh,FOW,0,-0.638,0.755
2209,G,A2,MD Sh,FOW,1,-0.638,0.755
2210,G,A2,MD Sh,FOW,2,-0.638,0.755
2211,G,A2,MD Sh,FOW,3,-0.638,0.755
2252,G,A2,LD G,FOW,0,-0.638,0.755
2253,G,A2,LD G,FOW,1,-0.638,0.755
2254,G,A2,LD G,FOW,2,-0.638,0.755
2255,G,A2,LD G,FOW,3,-0.638,0.755
2268,G,A2,LD Sh,FOW,0,-0.638,0.755
2269,G,A2,LD Sh,FOW,1,-0.638,0.755
2270,G,A2,LD Sh,FOW,2,-0.638,0.755
2271,G,A2,LD Sh,FOW,3,-0.638,0.755
1712,G,A2,A2/GP,HD G,0,-0.446,0.658
1713,G,A2,A2/GP,HD G,1,-0.446,0.658
1714,G,A2,A2/GP,HD G,2,-0.446,0.658
1715,G,A2,A2/GP,HD G,3,-0.446,0.658
1716,G,A2,A2/GP,HD Sh,0,-0.446,0.658
1717,G,A2,A2/GP,HD Sh,1,-0.446,0.658
1718,G,A2,A2/GP,HD Sh,2,-0.446,0.658
1719,G,A2,A2/GP,HD Sh,3,-0.446,0.658
1724,G,A2,A2/GP,MD G,0,-0.446,0.658
1725,G,A2,A2/GP,MD G,1,-0.446,0.658
1726,G,A2,A2/GP,MD G,2,-0.446,0.658
1727,G,A2,A2/GP,MD G,3,-0.446,0.658
1728,G,A2,A2/GP,MD Sh,0,-0.446,0.658
1729,G,A2,A2/GP,MD Sh,1,-0.446,0.658
1730,G,A2,A2/GP,MD Sh,2,-0.446,0.658
1731,G,A2,A2/GP,MD Sh,3,-0.446,0.658
1736,G,A2,A2/GP,LD G,0,-0.446,0.658
1737,G,A2,A2/GP,LD G,1,-0.446,0.658
1738,G,A2,A2/GP,LD G,2,-0.446,0.658
1739,G,A2,A2/GP,LD G,3,-0.446,0.658
1740,G,A2,A2/GP,LD Sh,0,-0.446,0.658
1741,G,A2,A2/GP,LD Sh,1,-0.446,0.658
1742,G,A2,A2/GP,LD Sh,2,-0.446,0.658
1743,G,A2,A2/GP,LD Sh,3,-0.446,0.658
1620,G,A2,A1/GP,A2/GP,0,-0.457,0.648
1621,G,A2,A1/GP,A2/GP,1,-0.457,0.648
1622,G,A2,A1/GP,A2/GP,2,-0.457,0.648
1623,G,A2,A1/GP,A2/GP,3,-0.457,0.648
2068,G,A2,HD G,LD Sh%,0,-0.483,0.633
2069,G,A2,HD G,LD Sh%,1,-0.483,0.633
2070,G,A2,HD G,LD Sh%,2,-0.483,0.633
