"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Kenny Agostino","LW","CHI","24.378","65","24","32","27","56","83","166","14.46","0.37","0.49","0.42","0.86","1.28","2.55"
"","Chris Terry","LW","STJ","27.442","58","30","23","15","53","68","190","15.79","0.52","0.4","0.26","0.91","1.17","3.28"
"","Wade Megan","C","CHI","26.152","73","33","19","14","52","66","194","17.01","0.45","0.26","0.19","0.71","0.9","2.66"
"","Chris Mueller","C","TUC","30.53","68","19","31","17","50","67","119","15.97","0.28","0.46","0.25","0.74","0.99","1.75"
"","Cole Schneider","LW","RCH","26.057","71","24","26","13","50","63","176","13.64","0.34","0.37","0.18","0.7","0.89","2.48"
"","Daniel O'Regan","C","SJ","22.626","63","23","27","8","50","58","143","16.08","0.37","0.43","0.13","0.79","0.92","2.27"
"","Taylor Beck","RW","BAK/HFD","25.345","56","19","30","17","49","66","171","11.11","0.34","0.54","0.3","0.88","1.18","3.05"
"","Nicklas Jensen","LW","HFD","23.53","70","32","15","8","47","55","224","14.29","0.46","0.21","0.11","0.67","0.79","3.2"
"","Travis Morin","C","TEX","32.685","72","21","26","8","47","55","147","14.29","0.29","0.36","0.11","0.65","0.76","2.04"
"","Matt Lorito","LW","GR","26.205","61","22","24","10","46","56","139","15.83","0.36","0.39","0.16","0.75","0.92","2.28"
"","Chris Bourque","LW","HER","30.629","76","18","27","15","45","60","221","8.14","0.24","0.36","0.2","0.59","0.79","2.91"
"","Cory Conacher","RW","SYR","26.755","56","17","28","15","45","60","152","11.18","0.3","0.5","0.27","0.8","1.07","2.71"
"","Mark Jankowski","C","STK","22.007","64","27","18","11","45","56","156","17.31","0.42","0.28","0.17","0.7","0.88","2.44"
"","Ben Street","C","GR","29.589","62","25","20","10","45","55","199","12.56","0.4","0.32","0.16","0.73","0.89","3.21"
"","Anton Lander","C","BAK","25.397","42","25","20","10","45","55","108","23.15","0.6","0.48","0.24","1.07","1.31","2.57"
