"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO"
"","Toronto Marlies","76","52","60.0","252","168","84","52.6","2394","2157","237","9.85","0.929","102.71"
"","Manitoba Moose","76","41","56.5","252","194","58","50.06","2371","2365","6","9.98","0.92","102.01"
"","Syracuse Crunch","76","43","55.66","231","184","47","52.76","2287","2048","239","9.71","0.915","101.21"
"","Charlotte Checkers","76","46","55.63","262","209","53","52.57","2258","2037","221","10.89","0.904","101.3"
"","Tucson Roadrunners","68","41","55.32","213","172","41","53.41","2090","1823","267","9.8","0.91","100.77"
"","Providence Bruins","76","39","54.88","225","185","40","52.23","2413","2207","206","8.91","0.919","100.78"
"","Lehigh Valley Phantoms","76","44","54.68","257","213","44","48.56","2260","2394","-134","10.74","0.914","102.11"
"","Chicago Wolves","76","39","54.16","241","204","37","51.63","2355","2206","149","9.66","0.91","100.7"
"","Grand Rapids Griffins","76","36","53.23","231","203","28","52.0","2449","2261","188","9.14","0.913","100.4"
"","Wilkes-Barre/Scranton Penguins","76","41","52.99","248","220","28","50.5","2343","2297","46","9.97","0.907","100.71"
"","Rochester Americans","76","34","51.79","231","215","16","49.89","2318","2328","-10","9.54","0.911","100.65"
"","Stockton Heat","68","32","51.1","209","200","9","49.37","1998","2049","-51","9.6","0.908","100.37"
"","Ontario Reign","68","35","51.03","199","191","8","51.74","2214","2065","149","8.66","0.91","99.67"
"","Rockford IceHogs","76","34","50.32","233","230","3","53.57","2564","2222","342","8.52","0.902","98.73"
"","San Diego Gulls","68","32","50.25","198","196","2","45.49","1956","2344","-388","9.71","0.921","101.78"
"","Texas Stars","76","35","49.44","220","225","-5","49.0","2171","2260","-89","9.88","0.906","100.49"
"","Utica Comets","76","32","49.16","205","212","-7","48.62","2257","2385","-128","8.84","0.914","100.26"
"","Iowa Wild","76","32","49.04","231","240","-9","46.3","2076","2408","-332","10.74","0.906","101.34"
"","Bridgeport Sound Tigers","76","33","49.03","203","211","-8","53.68","2371","2046","325","8.25","0.902","98.42"
"","San Jose Barracuda","68","33","48.81","185","194","-9","50.27","2026","2004","22","8.82","0.908","99.59"
"","Bakersfield Condors","68","28","47.44","185","205","-20","49.04","2027","2106","-79","8.54","0.907","99.19"
"","Springfield Thunderbirds","76","30","47.38","208","231","-23","47.02","2127","2397","-270","9.4","0.908","100.21"
"","Milwaukee Admirals","76","27","46.8","205","233","-28","47.59","2165","2384","-219","8.92","0.908","99.68"
"","San Antonio Rampage","76","29","46.72","192","219","-27","50.07","2277","2271","6","8.03","0.908","98.86"
"","Hershey Bears","76","28","44.92","199","244","-45","48.81","2024","2123","-99","9.38","0.891","98.48"
"","Hartford Wolf Pack","76","25","44.42","199","249","-50","48.23","2278","2445","-167","8.45","0.902","98.68"
"","Binghamton Devils","76","23","44.01","191","243","-52","50.29","2180","2155","25","8.55","0.891","97.69"
"","Cleveland Monsters","76","23","42.44","188","255","-67","50.54","2236","2188","48","8.12","0.89","97.16"
"","Laval Rocket","76","23","42.44","205","278","-73","49.28","2222","2287","-65","8.86","0.886","97.48"
"","Belleville Senators","76","23","41.69","188","263","-75","45.13","2064","2509","-445","8.71","0.899","98.62"
