,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Charlotte Checkers,131,79,108.52000000000001,436,364,72,104.68,3901,3547,354,20.93,1.803,201.26
1,Toronto Marlies,129,78,110.97,436,345,91,105.74000000000001,4111,3671,440,20.15,1.814,201.49
2,Syracuse Crunch,126,70,113.03999999999999,406,314,92,103.56,3745,3460,285,20.98,1.827,203.73
3,Lehigh Valley Phantoms,129,68,106.02000000000001,429,376,53,96.23,3837,4125,-288,21.310000000000002,1.823,203.57999999999998
4,Chicago Wolves,127,67,108.82,417,350,67,102.59,3816,3612,204,21.34,1.811,202.51
5,Tucson Roadrunners,115,65,107.06,362,311,51,105.62,3564,3172,392,19.6,1.81,200.6
6,Providence Bruins,129,65,107.80000000000001,388,330,58,105.68,4000,3589,411,18.78,1.818,200.55
7,Manitoba Moose,128,64,102.71000000000001,386,350,36,95.03,3809,4125,-316,18.92,1.834,202.4
8,Grand Rapids Griffins,129,63,105.08,385,346,39,104.35,4085,3750,335,17.880000000000003,1.8209999999999997,199.91000000000003
9,Wilkes-Barre/Scranton Penguins,129,62,104.38,414,377,37,102.0,4064,3918,146,19.25,1.812,200.47
10,Rochester Americans,128,60,104.67,396,362,34,101.7,3991,3884,107,19.02,1.819,200.98000000000002
11,Utica Comets,130,60,98.46,381,393,-12,96.91999999999999,3832,4071,-239,19.45,1.812,200.66000000000003
12,San Jose Barracuda,114,59,104.53,336,314,22,102.41,3498,3355,143,18.59,1.8209999999999997,200.68
13,Bridgeport Sound Tigers,131,59,99.18,373,380,-7,103.03,3934,3650,284,18.84,1.799,198.75
14,Texas Stars,127,59,100.89,380,376,4,102.49000000000001,3782,3661,121,19.53,1.803,199.88
15,San Diego Gulls,117,57,102.33,373,357,16,95.75,3511,3883,-372,20.62,1.821,202.7
16,Rockford IceHogs,130,57,97.78,364,375,-11,100.33,4100,3971,129,16.45,1.824,198.84
17,Bakersfield Condors,117,57,103.88,356,337,19,103.53,3667,3476,191,18.47,1.811,199.55
18,Iowa Wild,128,55,102.37,399,387,12,96.47999999999999,3640,3961,-321,20.85,1.8159999999999998,202.45
19,Stockton Heat,118,52,98.14,384,397,-13,97.19,3481,3667,-186,21.16,1.793,200.47
20,Springfield Thunderbirds,130,52,97.66,385,406,-21,95.05000000000001,3759,4163,-404,19.75,1.8119999999999998,200.95999999999998
21,San Antonio Rampage,128,51,93.39,325,371,-46,99.31,3726,3765,-39,17.02,1.81,198.1
22,Hershey Bears,128,51,92.12,334,395,-61,97.94,3438,3587,-149,18.740000000000002,1.791,197.82999999999998
23,Ontario Reign,114,49,93.80000000000001,341,381,-40,98.98,3651,3670,-19,18.16,1.795,197.67000000000002
24,Belleville Senators,132,48,91.69,364,439,-75,92.59,3541,4144,-603,20.39,1.795,199.92000000000002
25,Milwaukee Admirals,130,46,94.9,344,383,-39,97.28,3704,3942,-238,17.6,1.8159999999999998,199.14
26,Hartford Wolf Pack,130,45,89.28999999999999,352,437,-85,95.72999999999999,3820,4149,-329,18.2,1.8,198.18
27,Binghamton Devils,131,45,88.09,340,432,-92,97.55,3647,3792,-145,18.28,1.783,196.57999999999998
28,Laval Rocket,129,43,89.88,344,432,-88,100.30000000000001,3646,3654,-8,18.369999999999997,1.7799999999999998,196.38
29,Cleveland Monsters,129,42,88.39,341,435,-94,103.81,4004,3739,265,16.46,1.779,194.36
30,Colorado Eagles,49,20,46.82,140,159,-19,47.65,1529,1680,-151,8.8,0.9079999999999999,99.55
