"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Alex DeBrincat","RW","ER","18.744","63","65","36","26","101","127","308","21.1","1.03","0.57","0.41","1.6","2.02","4.89","54.91","0.87","9","30","30.0","11","42","26.19","45","236","19.07","184","339","54.28"
"","Taylor Raddysh","RW","ER","18.574","58","42","37","30","79","109","218","19.27","0.72","0.64","0.52","1.36","1.88","3.76","31.85","0.55","11","39","28.21","5","31","16.13","26","148","17.57","3","6","50.0"
"","Petrus Palmu","RW","OS","19.168","62","40","38","20","78","98","278","14.39","0.65","0.61","0.32","1.26","1.58","4.48","29.87","0.48","6","18","33.33","5","22","22.73","29","238","12.18","24","41","58.54"
"","Nick Suzuki","C","OS","17.101","65","45","31","20","76","96","261","17.24","0.69","0.48","0.31","1.17","1.48","4.02","36.07","0.55","9","36","25.0","5","34","14.71","31","191","16.23","394","773","50.97"
"","Ryan Moore","LW","FLNT","19.436","68","39","36","15","75","90","268","14.55","0.57","0.53","0.22","1.1","1.32","3.94","34.02","0.5","3","24","12.5","13","42","30.95","23","202","11.39","679","1350","50.3"
"","Adam Mascherin","LW","KIT","18.278","65","35","37","28","72","100","280","12.5","0.54","0.57","0.43","1.11","1.54","4.31","34.56","0.53","8","29","27.59","4","32","12.5","23","219","10.5","17","56","30.36"
"","Artur Tyanulin","RW","OTT","19.653","67","24","45","16","69","85","177","13.56","0.36","0.67","0.24","1.03","1.27","2.64","25.97","0.39","6","31","19.35","8","35","22.86","10","111","9.01","1","8","12.5"
"","Jordan Kyrou","RW","SAR","18.366","66","30","35","29","65","94","223","13.45","0.45","0.53","0.44","0.98","1.42","3.38","30.85","0.47","11","32","34.38","7","43","16.28","12","148","8.11","169","336","50.3"
"","Jason Robertson","RW","KGN","17.153","68","42","23","16","65","81","301","13.95","0.62","0.34","0.24","0.96","1.19","4.43","41.14","0.61","9","40","22.5","9","55","16.36","24","206","11.65","1","4","25.0"
"","Dmitry Sokolov","RW","SBY","18.423","64","48","17","7","65","72","268","17.91","0.75","0.27","0.11","1.02","1.12","4.19","37.79","0.59","13","40","32.5","11","32","34.38","24","196","12.24","2","7","28.57"
"","Jeremy Bracco","RW","WSR/KIT","19.499","57","25","39","19","64","83","159","15.72","0.44","0.68","0.33","1.12","1.46","2.79","23.04","0.4","3","25","12.0","8","32","25.0","14","102","13.73","0","1","0.0"
"","Kevin Hancock","LW","OS","18.541","68","30","33","22","63","85","225","13.33","0.44","0.49","0.32","0.93","1.25","3.31","27.43","0.4","4","26","15.38","8","43","18.6","18","156","11.54","467","899","51.95"
"","Owen Tippett","RW","MISS","17.58","60","44","18","13","62","75","284","15.49","0.73","0.3","0.22","1.03","1.25","4.73","31.39","0.52","14","28","50.0","6","46","13.04","24","210","11.43","13","39","33.33"
"","Jonah Gadjovich","LW","OS","17.928","60","46","14","14","60","74","275","16.73","0.77","0.23","0.23","1.0","1.23","4.58","38.39","0.64","9","39","23.08","12","47","25.53","25","189","13.23","4","10","40.0"
"","Kole Sherwood","RW","FLNT","19.647","60","33","26","26","59","85","292","11.3","0.55","0.43","0.43","0.98","1.42","4.87","29.13","0.49","7","27","25.93","11","49","22.45","15","216","6.94","14","36","38.89"
"","Zachary Senyshyn","RW","SSM","19.464","59","42","16","7","58","65","261","16.09","0.71","0.27","0.12","0.98","1.1","4.42","40.74","0.69","17","67","25.37","11","38","28.95","14","156","8.97","3","12","25.0"
"","Cliff Pu","C","LDN","18.286","63","35","22","29","57","86","186","18.82","0.56","0.35","0.46","0.9","1.37","2.95","26.02","0.41","10","36","27.78","8","33","24.24","17","117","14.53","744","1231","60.44"
"","JJ Piccinich","RW","LDN","20.261","66","26","31","14","57","71","169","15.38","0.39","0.47","0.21","0.86","1.08","2.56","26.08","0.4","8","34","23.53","6","35","17.14","12","100","12.0","41","78","52.56"
"","Bobby MacIntyre","LW","SSM","20.02","63","28","28","24","56","80","199","14.07","0.44","0.44","0.38","0.89","1.27","3.16","22.89","0.36","5","25","20.0","9","27","33.33","14","147","9.52","26","79","32.91"
"","Dylan Strome","C","ER","19.527","35","22","34","19","56","75","143","15.38","0.63","0.97","0.54","1.6","2.14","4.09","21.11","0.6","5","23","21.74","5","29","17.24","12","91","13.19","380","637","59.65"
"","Hayden Hodgson","RW","SAG","20.54","67","38","18","11","56","67","237","16.03","0.57","0.27","0.16","0.84","1.0","3.54","29.04","0.43","7","39","17.95","13","42","30.95","18","156","11.54","49","93","52.69"
"","Michael McLeod","C","MISS","18.615","57","27","28","18","55","73","174","15.52","0.47","0.49","0.32","0.96","1.28","3.05","25.47","0.45","15","44","34.09","6","28","21.43","6","102","5.88","834","1362","61.23"
"","Steve Harland","RW","NB","20.351","68","27","28","10","55","65","163","16.56","0.4","0.41","0.15","0.81","0.96","2.4","21.84","0.32","11","26","42.31","6","28","21.43","10","109","9.17","3","14","21.43"
"","Nikita Korostelev","RW","PBO/SAR","19.601","55","29","25","10","54","64","193","15.03","0.53","0.45","0.18","0.98","1.16","3.51","24.38","0.44","10","26","38.46","2","22","9.09","17","145","11.72","5","12","41.67"
"","Boris Katchouk","RW","SSM","18.245","66","35","18","11","53","64","189","18.52","0.53","0.27","0.17","0.8","0.97","2.86","30.05","0.46","10","36","27.78","11","42","26.19","14","111","12.61","58","127","45.67"
"","Domenico Commisso","C","OSH","18.571","68","19","33","11","52","63","170","11.18","0.28","0.49","0.16","0.76","0.93","2.5","23.41","0.34","4","32","12.5","5","25","20.0","10","113","8.85","500","942","53.08"
"","Sam Miletic","LW","LDN","19.368","65","37","14","4","51","55","205","18.05","0.57","0.22","0.06","0.78","0.85","3.15","27.36","0.42","10","41","24.39","8","38","21.05","19","126","15.08","18","36","50.0"
"","Brett McKenzie","C","NB","19.513","67","29","21","17","50","67","286","10.14","0.43","0.31","0.25","0.75","1.0","4.27","33.53","0.5","2","21","9.52","11","57","19.3","16","208","7.69","602","1413","42.6"
"","Robert Thomas","C","LDN","17.208","66","16","34","16","50","66","127","12.6","0.24","0.52","0.24","0.76","1.0","1.92","16.48","0.25","4","21","19.05","2","31","6.45","10","75","13.33","632","1114","56.73"
"","Nicholas Caamano","RW","FLNT","18.024","67","35","15","14","50","64","259","13.51","0.52","0.22","0.21","0.75","0.96","3.87","39.36","0.59","9","54","16.67","13","53","24.53","13","152","8.55","13","32","40.62"
"","Matthew Strome","LW","HAM","17.692","66","34","16","12","50","62","181","18.78","0.52","0.24","0.18","0.76","0.94","2.74","25.82","0.39","14","38","36.84","9","37","24.32","11","106","10.38","66","159","41.51"
"","Johnny Corneil","LW","NIAG","19.083","67","31","19","12","50","62","151","20.53","0.46","0.28","0.18","0.75","0.93","2.25","21.47","0.32","11","22","50.0","8","31","25.81","12","98","12.24","15","35","42.86"
"","Warren Foegele","C","ER/KGN","20.458","61","27","22","14","49","63","228","11.84","0.44","0.36","0.23","0.8","1.03","3.74","29.42","0.48","10","52","19.23","3","27","11.11","14","149","9.4","529","880","60.11"
"","Drake Rymsha","C","SAR/OTT","18.111","65","35","14","13","49","62","194","18.04","0.54","0.22","0.2","0.75","0.95","2.98","26.01","0.4","12","34","35.29","9","48","18.75","14","112","12.5","778","1333","58.36"
