,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Jordan Kyrou,RW,SAR,37.730999999999995,122,69,75,59,144,203,389,36.94,1.15,1.24,0.98,2.3899999999999997,3.37,6.34,57.95,0.95,20,66,60.85,13,69,39.36,36,254,30.75,198,395,99.44999999999999
1,Nick Suzuki,C,OS,35.201,129,87,65,44,152,196,542,32.19,1.35,1.01,0.69,2.36,3.04,8.41,73.22999999999999,1.13,18,75,48.08,20,76,50.42,49,391,25.23,748,1446,103.57
2,Taylor Raddysh,RW,ER/SSM/ER,38.147000000000006,116,75,70,47,145,192,430,34.84,1.29,1.21,0.81,2.5,3.3099999999999996,7.42,65.32,1.13,19,80,47.72,11,67,32.8,45,283,31.64,72,133,104.33
3,Adam Mascherin,LW,KIT,37.556,132,75,71,40,146,186,534,28.25,1.1400000000000001,1.08,0.61,2.21,2.8200000000000003,8.1,67.07,1.02,13,57,45.45,10,77,25.83,52,400,26.52,27,81,70.36
4,Aaron Luchuk,C,WSR/WSR/BAR,39.894,136,78,57,39,135,174,464,33.09,1.15,0.8400000000000001,0.58,1.98,2.56,6.82,66.3,0.98,27,95,55.71,18,69,52.120000000000005,33,300,21.65,1533,2779,109.88
5,Morgan Frost,C,SSM,35.68299999999999,134,62,70,42,132,174,342,35.08,0.9299999999999999,1.04,0.62,1.9700000000000002,2.6,5.11,41.92,0.63,17,43,77.6,12,50,47.019999999999996,33,249,25.450000000000003,1163,2220,104.9
6,Cliff Pu,C,LDN/LDN/KGN,37.571999999999996,128,64,61,45,125,170,394,32.76,1.01,0.95,0.71,1.9500000000000002,2.66,6.15,58.760000000000005,0.9099999999999999,17,79,44.06,19,72,52.45,28,243,23.259999999999998,1327,2172,122.4
7,Jason Robertson,RW,KGN,35.305,136,83,49,36,132,168,609,27.259999999999998,1.22,0.72,0.53,1.95,2.4699999999999998,8.96,84.37,1.25,17,74,46.03,22,116,37.67,44,419,21.04,4,16,50.0
8,Dmitry Sokolov,RW,SBY/BAR/SBY,37.846,128,98,42,28,140,168,536,36.57,1.53,0.66,0.44,2.19,2.62,8.38,82.5,1.29,22,62,73.41,26,80,65.63,50,394,25.37,6,17,68.57
9,Kevin Hancock,LW,OS,38.081,121,54,66,34,120,154,470,23.130000000000003,0.89,1.1099999999999999,0.55,2.0100000000000002,2.55,7.93,55.620000000000005,0.93,9,47,39.19,16,73,45.27,29,350,17.21,844,1555,109.42
10,Owen Tippett,RW,MISS,36.159,111,80,44,26,124,150,559,28.58,1.44,0.81,0.47,2.25,2.7199999999999998,10.120000000000001,65.68,1.19,19,52,70.83,16,87,37.43,45,420,21.43,18,58,59.65
11,Ryan Moore,LW,FLNT/HAM/FLNT,39.872,131,57,57,36,114,150,444,24.78,0.8599999999999999,0.8600000000000001,0.55,1.7200000000000002,2.27,6.73,56.34,0.85,12,61,36.82,15,66,39.28,30,317,17.48,1187,2360,100.6
12,Boris Katchouk,RW/LW,SSM,37.49,124,77,47,25,124,149,384,40.06,1.25,0.77,0.41000000000000003,2.02,2.44,6.22,63.11,1.03,22,72,61.11,17,76,43.84,38,236,31.81,88,190,93.28999999999999
13,Sam Miletic,LW,LDN/NIAG/LDN,39.735,128,73,46,28,119,147,450,32.74,1.14,0.73,0.44,1.86,2.31,7.04,59.71,0.9299999999999999,16,76,41.53,15,69,43.629999999999995,42,305,27.93,43,87,99.02000000000001
14,Kole Sherwood,RW,FLNT/KIT,40.294,117,63,48,34,111,145,508,25.19,1.08,0.8200000000000001,0.5700000000000001,1.8900000000000001,2.4699999999999998,8.66,58.31,1.0,8,44,31.81,22,88,50.66,33,376,18.19,105,220,88.35
