,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Sault Ste. Marie Greyhounds,123,89,59.895,557,369,188,53.35,4190,3648,542,12.575,0.902,102.745,55.99,220.855,171.53,49.325,10.545,0.906,101.125,41.648,0.61,-6.472,-0.124,132,90,42,58.515,545,474,71,53.455,23.14,0.813,97,72,25,57.325,537,416,121,56.055,17.805,0.83,328,207,121,61.22,3108,2758,350,52.885,9.88,0.928
1,London Knights,124,73,56.055,483,380,103,50.645,4021,3940,81,11.375,0.907,102.075,53.09,206.815,183.08,23.735,10.36,0.906,101.015,20.188,0.305,0.58,0.015,127,89,38,58.49,546,419,127,56.765,21.845,0.798,112,104,8,51.99,572,539,33,51.475,18.9,0.812,244,187,57,57.185,2903,2982,-79,49.61,7.96,0.94
2,Ottawa 67's,124,70,54.19,475,412,63,52.11,3988,3693,295,11.585,0.893,100.8,52.725,199.87,182.195,17.675,10.015,0.903,100.26,27.13,0.471,-19.302,-0.308,107,79,28,58.025,483,351,132,58.025,21.655,0.783,93,98,-5,51.42,590,606,-16,49.185,15.795,0.845,275,235,40,54.01,2915,2736,179,51.815,9.12,0.916
3,Kitchener Rangers,124,68,50.34,438,429,9,49.85,3929,3939,-10,10.885,0.894,100.325,50.425,199.125,192.44,6.685,10.035,0.903,100.26,13.872,0.254,-13.058,-0.234,100,116,-16,46.235,479,495,-16,49.09,20.57,0.768,112,97,15,53.575,634,483,151,56.475,18.03,0.802,226,216,10,50.73,2816,2961,-145,48.705,7.64,0.93
4,Oshawa Generals,126,67,53.28,489,432,57,49.88,4052,4092,-40,11.605,0.899,101.455,53.76,208.15,181.495,26.655,10.32,0.912,101.48,25.35,0.386,-26.007,-0.393,145,98,47,59.87,535,388,147,58.15,26.575,0.754,121,94,27,56.68,588,497,91,54.495,20.03,0.817,223,240,-17,48.265,2929,3207,-278,47.81,7.205,0.928
5,Hamilton Bulldogs,126,65,51.085,461,441,20,53.31,4311,3752,559,10.475,0.885,98.99,55.095,227.615,182.875,44.74,10.505,0.902,100.74,-3.113,-0.009,-31.126,-0.513,135,124,11,51.795,623,458,165,57.25,21.17,0.733,100,94,6,51.295,626,484,142,55.795,16.225,0.807,226,223,3,50.36,3062,2810,252,52.07,7.135,0.924
6,Niagara IceDogs,124,65,54.76,490,408,82,51.0,4269,4120,149,11.04,0.904,101.44,51.18,209.965,203.365,6.6,9.875,0.902,100.06,24.036,0.349,5.862,0.064,120,111,9,52.1,516,548,-32,48.585,22.155,0.802,106,80,26,57.53,537,572,-35,48.755,19.445,0.864,264,217,47,55.0,3216,3000,216,51.815,7.855,0.93
7,Sarnia Sting,126,65,53.195,527,461,66,49.79,4191,4240,-49,12.325,0.892,101.455,51.385,224.075,208.415,15.655,10.595,0.901,100.735,34.426,0.52,-15.583,-0.303,131,120,11,50.705,549,505,44,51.51,22.97,0.768,116,105,11,52.17,633,583,50,51.705,18.27,0.821,280,236,44,54.27,3009,3152,-143,49.2,9.065,0.925
8,Barrie Colts,124,64,52.835,477,415,62,49.34,3999,4067,-68,11.34,0.902,101.49,49.165,202.325,206.33,-4.005,10.045,0.899,99.925,25.678,0.388,6.331,0.083,110,97,13,53.145,492,516,-24,48.815,22.145,0.814,97,88,9,51.8,522,527,-5,49.61,18.075,0.832,270,230,40,52.915,2985,3024,-39,49.415,8.365,0.928
9,Saginaw Spirit,124,62,50.615,430,421,9,50.98,4076,3940,136,10.155,0.897,99.835,49.005,191.99,204.01,-12.015,9.47,0.897,99.185,13.011,0.205,1.007,-0.009,94,96,-2,50.39,480,509,-29,48.895,18.89,0.816,102,97,5,50.985,568,548,20,51.165,17.53,0.828,234,228,6,50.625,3028,2883,145,51.29,7.34,0.925
10,Owen Sound Attack,125,61,50.325,471,455,16,55.825,4623,3626,997,9.64,0.878,97.445,56.27,222.85,168.995,53.855,9.555,0.906,100.215,2.154,0.025,-51.508,-0.856,102,97,5,50.425,436,404,32,50.61,22.63,0.764,109,91,18,53.385,594,453,141,56.52,17.815,0.802,260,267,-7,49.195,3593,2769,824,56.33,6.775,0.907
11,Guelph Storm,124,58,50.96,465,452,13,49.36,4094,4234,-140,11.18,0.896,100.72,50.71,210.925,210.8,0.125,10.325,0.902,100.49,16.074,0.255,-9.7,-0.188,112,111,1,51.085,569,578,-9,50.035,19.285,0.812,114,83,31,58.22,573,539,34,51.775,19.825,0.85,239,258,-19,48.16,2952,3117,-165,48.74,8.01,0.919
12,Mississauga Steelheads,125,57,50.175,452,449,3,53.045,4395,3897,498,9.99,0.89,98.895,52.36,218.005,198.015,19.99,9.905,0.898,99.73,1.493,0.024,-17.483,-0.274,116,103,13,53.45,543,517,26,51.37,21.235,0.808,91,103,-12,45.86,565,566,-1,49.76,15.62,0.82,245,243,2,50.205,3287,2814,473,53.92,7.125,0.918
13,Windsor Spitfires,126,54,48.28,401,429,-28,48.015,3680,3993,-313,10.695,0.899,100.55,45.845,178.46,212.9,-34.445,9.71,0.893,99.035,18.04,0.296,11.903,0.157,93,111,-18,45.815,491,586,-95,45.645,18.775,0.82,92,108,-16,45.915,542,668,-126,44.885,16.995,0.839,216,210,6,50.65,2647,2739,-92,49.19,7.915,0.93
14,North Bay Battalion,124,51,46.61,395,452,-57,47.83,3918,4237,-319,10.0,0.896,99.63,46.22,179.92,207.395,-27.475,9.15,0.902,99.345,13.581,0.254,-11.604,-0.169,95,97,-2,49.695,447,477,-30,48.405,21.265,0.8,92,99,-7,47.725,512,568,-56,46.6,17.985,0.827,208,256,-48,44.815,2959,3192,-233,47.905,6.92,0.923
15,Sudbury Wolves,124,48,47.265,399,462,-63,47.79,3779,4178,-399,10.4,0.895,99.92,47.74,179.49,200.845,-21.355,9.485,0.904,99.955,16.01,0.275,-20.654,-0.284,103,111,-8,48.645,454,450,4,50.535,22.31,0.764,94,112,-18,46.785,538,576,-38,49.04,17.215,0.809,202,239,-37,46.705,2787,3152,-365,47.155,7.14,0.93
16,Kingston Frontenacs,126,45,43.83,367,457,-90,46.43,3738,4257,-519,9.29,0.896,98.86,46.855,180.58,196.685,-16.105,9.48,0.908,100.215,-3.078,-0.056,-22.817,-0.351,73,119,-46,36.46,349,451,-102,42.495,20.16,0.744,92,87,5,48.3,535,554,-19,48.4,16.15,0.841,202,251,-49,45.215,2854,3252,-398,46.54,6.65,0.926
17,Peterborough Petes,124,44,45.225,410,499,-89,46.855,3849,4385,-536,10.36,0.891,99.4,42.56,170.3,230.855,-60.555,8.815,0.895,98.33,28.702,0.462,-8.644,-0.142,80,138,-58,36.665,354,607,-253,36.765,21.595,0.78,79,119,-40,40.94,457,643,-186,41.98,17.545,0.822,251,242,9,50.835,3038,3135,-97,49.315,7.99,0.926
18,Erie Otters,124,37,44.22,404,509,-105,48.76,3721,3910,-189,10.605,0.872,97.845,48.455,187.475,198.77,-11.295,10.025,0.899,99.895,9.024,0.176,-49.229,-0.789,104,117,-13,47.095,499,449,50,52.585,20.68,0.747,91,124,-33,42.355,572,661,-89,46.63,15.795,0.811,209,268,-59,43.79,2650,2800,-150,48.585,7.58,0.906
19,Flint Firebirds,127,28,37.1,370,627,-257,45.98,3963,4621,-658,9.225,0.868,96.03,40.93,178.95,256.3,-77.35,9.005,0.889,97.885,1.05,0.066,-47.199,-0.622,89,144,-55,38.24,438,644,-206,40.57,19.84,0.783,93,149,-56,38.465,518,730,-212,41.5,17.76,0.796,188,334,-146,36.01,3007,3247,-240,47.805,6.215,0.901
