"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Justin Brazeau","RW","NB","20.616","55","1","1","1","2","3","1","100.0","0.02","0.02","0.02","0.04","0.05","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","1","1","100.0"
"","Aidan Dudas","C","OS","18.251","56","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.04","0.04","0.05","0.43","0.01","0","1","0.0","0","0","0.0","1","2","50.0","11","22","50.0"
"","Serron Noel","RW","OSH","18.103","57","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.24","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Jack Quinn","RW","OTT","16.989","50","0","2","0","2","2","2","0.0","0.0","0.04","0.0","0.04","0.04","0.04","0.15","0.0","0","1","0.0","0","0","0.0","0","1","0.0","1","1","100.0"
"","Calvin Martin","LW","SAR","18.998","57","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.11","0.0","0","0","0.0","1","1","100.0","0","0","0.0","1","1","100.0"
"","Ben Jones","C","NIAG","19.551","55","2","0","0","2","2","4","50.0","0.04","0.0","0.0","0.04","0.04","0.07","0.75","0.01","1","1","100.0","1","1","100.0","0","2","0.0","8","11","72.73"
"","Kirill Maksimov","RW","NIAG","19.291","52","0","2","0","2","2","1","0.0","0.0","0.04","0.0","0.04","0.04","0.02","0.07","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Sasha Chmelevski","C","OTT","19.269","43","0","2","0","2","2","0","0.0","0.0","0.05","0.0","0.05","0.05","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","6","10","60.0"
"","Alex Formenton","LW","LDN","19.007","18","0","2","0","2","2","1","0.0","0.0","0.11","0.0","0.11","0.11","0.06","0.14","0.01","0","0","0.0","0","0","0.0","0","1","0.0","2","3","66.67"
"","Adam McMaster","C","NB/OS","18.558","57","1","0","2","1","3","1","100.0","0.02","0.0","0.04","0.02","0.05","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","3","0.0"
