"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tye Felhaber","RW","OTT","20.113","55","38","16","9","54","63","174","21.84","0.69","0.29","0.16","0.98","1.15","3.16","18.45","0.34","895.88","16.29","2.54","1.07","0.6","3.62","4.22","11.65","1.24","14.92","14.16","70.04","48.89","8.02","71.84","74","29","8","20","40.0","9","25","36.0","21","129","16.28","18","39","46.15"
"","Justin Brazeau","RW","NB","20.616","55","34","17","4","51","55","191","17.8","0.62","0.31","0.07","0.93","1.0","3.47","23.0","0.42","970.89","17.65","2.1","1.05","0.25","3.15","3.4","11.8","1.42","14.85","14.18","49.45","49.7","21.62","57.38","70","52","8","39","20.51","10","32","31.25","16","120","13.33","19","45","42.22"
"","Morgan Frost","C","SSM","19.341","48","21","25","10","46","56","119","17.65","0.44","0.52","0.21","0.96","1.17","2.48","12.93","0.27","712.81","14.85","1.77","2.1","0.84","3.87","4.71","10.02","1.09","14.79","14.19","56.08","52.42","5.98","58.24","53","38","4","14","28.57","1","14","7.14","16","91","17.58","382","722","52.91"
"","Kevin Hancock","C","LDN/OS","20.54","57","26","17","10","43","53","179","14.53","0.46","0.3","0.18","0.75","0.93","3.14","14.13","0.25","946.58","16.61","1.65","1.08","0.63","2.73","3.36","11.35","0.9","15.16","14.35","53.12","51.75","4.5","53.6","67","58","8","17","47.06","5","20","25.0","13","142","9.15","409","736","55.57"
"","Akil Thomas","C","NIAG","18.703","50","22","19","8","41","49","97","22.68","0.44","0.38","0.16","0.82","0.98","1.94","12.34","0.25","768.39","15.37","1.72","1.48","0.62","3.2","3.83","7.57","0.96","14.62","14.06","60.29","49.51","13.84","69.31","70","31","10","25","40.0","3","21","14.29","9","51","17.65","313","587","53.32"
"","Lucas Chiodo","LW","BAR/OTT","19.874","56","21","19","7","40","47","104","20.19","0.38","0.34","0.12","0.71","0.84","1.86","14.09","0.25","752.12","13.43","1.68","1.52","0.56","3.19","3.75","8.3","1.12","14.8","14.07","57.77","50.31","14.06","67.86","57","27","7","18","38.89","3","19","15.79","11","67","16.42","0","3","0.0"
"","Ben Jones","C","NIAG","19.551","55","16","24","7","40","47","118","13.56","0.29","0.44","0.13","0.73","0.85","2.15","12.6","0.23","725.45","13.19","1.32","1.98","0.58","3.31","3.89","9.76","1.04","14.8","14.34","59.79","49.13","7.36","66.25","53","27","5","22","22.73","2","16","12.5","9","80","11.25","381","740","51.49"
"","Austen Keating","C","OTT","19.527","55","14","25","17","39","56","87","16.09","0.25","0.45","0.31","0.71","1.02","1.58","11.34","0.21","793.64","14.43","1.06","1.89","1.29","2.95","4.23","6.58","0.86","15.39","14.19","70.02","48.97","13.91","75.79","72","23","4","19","21.05","4","19","21.05","6","49","12.24","93","185","50.27"
"","Alan Lyszczarczyk","LW","MISS/OS","20.575","52","21","18","9","39","48","175","12.0","0.4","0.35","0.17","0.75","0.92","3.37","18.33","0.35","901.92","17.34","1.4","1.2","0.6","2.59","3.19","11.64","1.22","15.28","13.94","49.08","49.45","17.27","54.31","63","53","3","31","9.68","3","26","11.54","15","118","12.71","6","11","54.55"
"","Arthur Kaliyev","RW","HAM","17.221","56","25","14","7","39","46","152","16.45","0.45","0.25","0.12","0.7","0.82","2.71","19.85","0.35","898.53","16.05","1.67","0.93","0.47","2.6","3.07","10.15","1.33","14.67","14.24","44.64","49.61","15.64","52.68","59","53","7","21","33.33","4","23","17.39","14","108","12.96","0","1","0.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","49","20","19","3","39","42","150","13.33","0.41","0.39","0.06","0.8","0.86","3.06","17.54","0.36","751.02","15.33","1.6","1.52","0.24","3.12","3.36","11.98","1.4","14.71","14.46","48.5","51.04","26.87","68.35","54","25","5","24","20.83","3","26","11.54","12","100","12.0","1","4","25.0"
"","Connor McMichael","C","LDN","17.665","54","20","18","2","38","40","126","15.87","0.37","0.33","0.04","0.7","0.74","2.33","14.0","0.26","762.02","14.11","1.57","1.42","0.16","2.99","3.15","9.92","1.1","14.41","13.91","60.9","46.69","4.62","63.44","59","34","11","26","42.31","3","23","13.04","6","77","7.79","230","419","54.89"
"","Anthony Salinitri","LW","OSH/SAR","20.532","57","27","10","8","37","45","158","17.09","0.47","0.18","0.14","0.65","0.79","2.77","19.52","0.34","815.31","14.3","1.99","0.74","0.59","2.72","3.31","11.63","1.44","14.51","14.21","51.66","49.26","2.62","52.38","55","50","5","29","17.24","8","33","24.24","14","96","14.58","96","189","50.79"
"","Ethan Keppen","LW","FLNT","17.49","58","20","17","3","37","40","140","14.29","0.34","0.29","0.05","0.64","0.69","2.41","13.73","0.24","838.61","14.46","1.43","1.22","0.21","2.65","2.86","10.02","0.98","14.64","14.08","42.55","51.29","11.85","48.62","53","56","6","25","24.0","4","19","21.05","10","96","10.42","0","3","0.0"
"","Nate Schnarr","RW","GUE","19.554","52","17","19","11","36","47","99","17.17","0.33","0.37","0.21","0.69","0.9","1.9","12.31","0.24","756.97","14.56","1.35","1.51","0.87","2.85","3.73","7.85","0.98","14.99","14.17","54.92","49.5","15.19","63.81","67","38","6","23","26.09","4","20","20.0","7","56","12.5","254","485","52.37"
"","Philip Tomasino","C","NIAG","17.134","54","23","13","9","36","45","130","17.69","0.43","0.24","0.17","0.67","0.83","2.41","13.47","0.25","753.8","13.96","1.83","1.03","0.72","2.87","3.58","10.35","1.07","14.58","14.12","58.58","49.56","9.2","67.44","58","28","8","25","32.0","6","30","20.0","9","75","12.0","128","248","51.61"
"","Kyle Maksimovich","LW","ER/OTT","20.518","56","20","15","16","35","51","110","18.18","0.36","0.27","0.29","0.62","0.91","1.96","12.69","0.23","851.82","15.21","1.41","1.06","1.13","2.47","3.59","7.75","0.89","14.85","14.17","50.98","50.51","5.95","58.41","66","47","3","17","17.65","8","23","34.78","9","70","12.86","16","61","26.23"
"","Liam Hawel","C","GUE","19.412","53","21","14","11","35","46","94","22.34","0.4","0.26","0.21","0.66","0.87","1.77","10.84","0.2","715.51","13.5","1.76","1.17","0.92","2.93","3.86","7.88","0.91","15.01","14.03","54.45","48.09","15.68","64.13","59","33","4","24","16.67","5","14","35.71","12","56","21.43","152","288","52.78"
"","Brett Neumann","C","KGN/OSH","19.582","57","24","11","6","35","41","172","13.95","0.42","0.19","0.11","0.61","0.72","3.02","15.85","0.28","879.79","15.43","1.64","0.75","0.41","2.39","2.8","11.73","1.08","14.32","14.18","42.01","50.44","16.97","52.53","52","47","6","15","40.0","5","32","15.62","13","125","10.4","417","741","56.28"
"","Ty Dellandrea","C","FLNT","18.152","50","17","18","5","35","40","100","17.0","0.34","0.36","0.1","0.7","0.8","2.0","11.41","0.23","813.12","16.26","1.25","1.33","0.37","2.58","2.95","7.38","0.84","14.89","14.39","41.89","51.98","5.43","45.31","58","70","7","14","50.0","4","19","21.05","6","67","8.96","479","836","57.3"
"","Keeghan Howdeshell","LW","SSM","20.556","55","25","10","4","35","39","141","17.73","0.45","0.18","0.07","0.64","0.71","2.56","15.53","0.28","783.12","14.24","1.92","0.77","0.31","2.68","2.99","10.8","1.19","14.82","14.29","55.94","52.6","10.59","61.96","57","35","3","21","14.29","7","25","28.0","15","95","15.79","16","40","40.0"
"","Hugo Leufvenius","LW","SAR","19.475","56","20","14","5","34","39","150","13.33","0.36","0.25","0.09","0.61","0.7","2.68","15.53","0.28","820.84","14.66","1.46","1.02","0.37","2.49","2.85","10.96","1.14","14.24","14.39","47.51","50.48","6.77","50.89","57","55","3","18","16.67","4","26","15.38","13","106","12.26","10","27","37.04"
"","Jake Durham","RW","FLNT","19.442","58","23","10","7","33","40","108","21.3","0.4","0.17","0.12","0.57","0.69","1.86","11.31","0.2","818.74","14.12","1.69","0.73","0.51","2.42","2.93","7.91","0.83","15.17","14.15","41.77","51.15","6.59","45.05","50","61","7","16","43.75","6","30","20.0","10","62","16.13","24","62","38.71"
"","Adam Ruzicka","C","SAR/SBY","19.349","52","22","11","5","33","38","132","16.67","0.42","0.21","0.1","0.63","0.73","2.54","13.68","0.26","757.9","14.58","1.74","0.87","0.4","2.61","3.01","10.45","1.08","13.91","14.13","50.95","49.28","0.1","52.73","58","52","6","16","37.5","4","28","14.29","12","88","13.64","443","758","58.44"
"","Matthew Struthers","C","NB","18.722","48","14","18","9","32","41","103","13.59","0.29","0.38","0.19","0.67","0.85","2.15","11.19","0.23","749.41","15.61","1.12","1.44","0.72","2.56","3.28","8.25","0.9","15.49","14.14","50.92","49.24","18.2","58.06","54","39","4","15","26.67","6","19","31.58","4","69","5.8","350","815","42.94"
