,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,37.681999999999995,115,47,57,27,104,131,256,36.629999999999995,0.8300000000000001,1.0,0.45999999999999996,1.83,2.29,4.52,29.169999999999998,0.51,1742.46,30.22,3.29,3.96,1.83,7.25,9.08,18.0,2.04,29.6,28.54,120.3,101.53999999999999,18.97,129.56,145,75,12,34,68.57,5,32,29.36,30,190,31.72,941,1774,106.05
1,Tye Felhaber,LW/RW/C,OTT,58.339,125,61,36,20,97,117,373,33.7,1.03,0.58,0.81,1.6099999999999999,2.4299999999999997,8.51,42.6,0.97,2020.6599999999999,49.10000000000001,3.8,2.17,2.94,5.98,8.92,31.27,3.55,48.879999999999995,41.43,176.68,152.66,4.66,172.58,145,98,14,46,64.0,17,65,56.0,30,262,23.26,64,132,138.65
2,Alexis Lafreniere,LW,RIM,8.214,111,58,41,15,99,114,285,10.11,0.258,0.188,0.072,0.445,0.518,1.29,8.682,0.155,425.442,7.662,1.012,0.735,0.28,1.748,2.027,5.042,0.607,7.328,6.89,31.695,23.825,9.905,36.94,137,49,16,60,13.402,17,49,16.623,25,176,7.102,21,41,27.745
3,Lucas Chiodo,LW,BAR/BAR/OTT,38.749,124,45,39,20,84,104,196,46.28,0.73,0.63,0.31,1.3599999999999999,1.68,3.21,27.46,0.45,1572.8,25.5,3.4299999999999997,2.98,1.51,6.41,7.92,15.030000000000001,2.1,28.950000000000003,28.21,115.48,98.77000000000001,23.060000000000002,132.86,122,62,10,32,60.32,10,40,49.12,25,124,40.980000000000004,3,10,42.86
4,Peter Abbandonato,C,ROU,9.988,125,33,49,21,82,103,250,6.592,0.135,0.198,0.088,0.332,0.42,1.015,6.598,0.108,468.078,7.542,0.528,0.785,0.338,1.315,1.652,4.01,0.422,7.002,6.863,31.472,24.178,1.257,32.608,136,71,8,35,11.268,9,44,8.565,16,171,4.712,917,1765,25.975
5,Justin Brazeau,RW,NB,40.233000000000004,123,56,39,7,95,102,379,29.5,0.94,0.63,0.11000000000000001,1.58,1.69,6.23,45.32,0.75,2089.52,34.099999999999994,3.2800000000000002,2.23,0.41000000000000003,5.51,5.92,21.880000000000003,2.62,30.11,28.43,100.09,100.75,29.04,109.69,138,114,15,63,49.68000000000001,15,67,45.54,26,249,21.08,19,58,42.22
6,Ivan Chekhovich,LW,BAC,9.598,119,43,37,21,80,101,341,6.203,0.188,0.162,0.092,0.348,0.438,1.46,8.752,0.152,437.13,7.408,0.74,0.635,0.36,1.372,1.732,5.852,0.602,7.115,6.79,28.43,24.14,3.895,30.968,124,75,12,51,10.268,17,65,13.008,14,225,3.117,2,4,25.0
7,Nick Suzuki,C,OS/GUE/OS,37.2,110,45,29,26,74,100,338,26.07,0.8,0.51,0.47,1.31,1.78,6.15,36.84,0.6599999999999999,1675.45,30.259999999999998,3.17,2.0,1.88,5.17,7.050000000000001,24.439999999999998,2.63,31.45,28.98,105.61,101.91999999999999,20.28,121.94,128,82,7,38,31.69,15,52,55.96,23,248,18.87,493,922,106.94
8,Jeremy McKenna,RW,MON,9.453,124,44,30,25,74,99,402,5.475,0.178,0.125,0.1,0.305,0.408,1.64,10.362,0.168,467.502,7.605,0.705,0.482,0.402,1.188,1.588,6.45,0.665,7.102,6.895,25.558,24.58,6.868,28.65,125,93,9,52,8.702,13,64,10.24,22,286,3.838,106,236,23.0
9,Kyle Maksimovich,LW,ER/ER/OTT,40.037000000000006,121,46,27,26,73,99,255,36.11,0.76,0.45,0.43999999999999995,1.2,1.65,4.1899999999999995,30.0,0.5,1830.5500000000002,30.270000000000003,3.0,1.8,1.7399999999999998,4.800000000000001,6.529999999999999,16.64,1.9500000000000002,30.049999999999997,28.78,98.78999999999999,101.97,14.96,109.24,127,106,7,39,35.83,19,57,67.13,20,159,25.22,60,166,68.13
