,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,75.36399999999999,230,48,59,27,107,134,261,69.96,0.8500000000000001,1.03,0.45999999999999996,1.88,2.3400000000000003,4.609999999999999,29.96,0.52,12,35,68.57,5,32,29.36,31,194,81.72,956,1812,199.64
1,Tye Felhaber,LW/RW/RW/C/C,OTT,116.678,250,64,36,21,100,121,383,100.37,1.08,0.58,0.8200000000000001,1.6600000000000001,2.49,8.68,44.44,1.0,15,48,114.0,17,65,56.0,32,270,89.93,68,141,267.21999999999997
2,Alexis Lafreniere,LW,RIM,8.214,222,58,41,15,99,114,289,5.055,0.129,0.094,0.036,0.222,0.259,0.654,4.442,0.079,16,60,6.701,17,50,8.311,25,179,3.551,21,42,13.872
3,Lucas Chiodo,LW,BAR/BAR/OTT/BAR/OTT,77.498,248,46,39,20,85,105,197,146.28,0.74,0.63,0.31,1.37,1.69,3.22,27.46,0.45,10,32,60.32,10,40,49.12,26,125,140.98000000000002,4,13,76.19
4,Justin Brazeau,RW,NB,80.46600000000001,246,57,40,8,97,105,385,129.5,0.96,0.65,0.13,1.62,1.74,6.319999999999999,46.44,0.76,15,63,49.68000000000001,15,68,45.54,27,254,121.08,21,61,192.22
5,Ivan Chekhovich,LW,BAC,9.598,238,46,38,21,84,105,348,14.56,0.1,0.084,0.046,0.182,0.228,0.745,4.534,0.079,13,52,17.634,18,67,12.754,15,229,14.059,2,4,12.5
6,Nick Suzuki,C,OS/GUE/OS/GUE/OS,74.4,220,46,31,26,77,103,342,126.07,0.8200000000000001,0.55,0.47,1.36,1.83,6.24,37.38,0.6699999999999999,7,38,31.69,15,53,55.96,24,251,118.87,514,959,219.18
7,Kevin Hancock,LW/C/C,OS/LDN/OS/LDN/OS,80.16,220,42,42,19,84,103,356,48.35,0.76,0.78,0.35,1.53,1.88,6.4799999999999995,32.589999999999996,0.5900000000000001,10,31,61.35,10,45,92.39,22,280,15.92,690,1204,252.28
8,Peter Abbandonato,C,ROU,9.988,250,33,49,21,82,103,254,3.296,0.068,0.099,0.044,0.166,0.21,0.516,3.354,0.054,8,35,5.634,9,45,4.282,16,174,2.356,932,1792,26.181
9,Jeremy McKenna,RW,MON,9.453,248,45,30,26,75,101,409,4.821,0.091,0.062,0.051,0.155,0.208,0.835,5.335,0.086,9,55,4.351,14,66,11.37,22,288,1.919,119,258,26.565
