"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Vitalii Abramov","RW","GAT","18.358","66","46","42","16","88","104","245","18.78","0.7","0.64","0.24","1.33","1.58","3.71","44.52","0.67","1448.4","21.95","1.91","1.74","0.66","3.65","4.31","10.15","1.84","18.73","17.92","51.17","49.76","25.98","62.56","127","76","14","54","25.93","11","55","20.0","21","136","15.44","49","82","59.76"
"","Tyler Boland","C","RIM","20.009","68","48","32","23","80","103","270","17.78","0.71","0.47","0.34","1.18","1.51","3.97","37.55","0.55","1536.99","22.6","1.87","1.25","0.9","3.12","4.02","10.54","1.47","18.93","18.29","51.4","50.56","22.43","59.38","133","91","11","33","33.33","18","43","41.86","19","194","9.79","782","1515","51.62"
"","Francois Beauchemin","C","CHA/VDO","20.641","69","45","34","18","79","97","214","21.03","0.65","0.49","0.26","1.14","1.41","3.1","32.29","0.47","1368.47","19.83","1.97","1.49","0.79","3.46","4.25","9.38","1.42","19.85","17.95","55.37","50.35","14.55","62.89","122","72","20","48","41.67","9","38","23.68","16","128","12.5","579","1269","45.63"
"","Giovanni Fiore","LW","CAP","20.091","61","52","24","14","76","90","350","14.86","0.85","0.39","0.23","1.25","1.48","5.74","51.23","0.84","1312.43","21.52","2.38","1.1","0.64","3.47","4.11","16.0","2.34","18.1","17.85","56.51","50.8","20.84","66.67","110","55","15","54","27.78","12","51","23.53","25","245","10.2","10","27","37.04"
"","Christophe Boivin","LW","BAT","20.589","68","43","29","18","72","90","293","14.68","0.63","0.43","0.26","1.06","1.32","4.31","40.25","0.59","1291.67","19.0","2.0","1.35","0.84","3.34","4.18","13.61","1.87","18.3","17.44","57.23","48.19","26.46","71.1","123","50","11","31","35.48","12","47","25.53","20","215","9.3","12","29","41.38"
"","Filip Chlapik","C","CHA","19.286","57","34","35","22","69","91","263","12.93","0.6","0.61","0.39","1.21","1.6","4.61","29.33","0.51","1160.01","20.35","1.76","1.81","1.14","3.57","4.71","13.6","1.52","19.17","17.52","60.1","48.41","11.37","65.88","112","58","10","28","35.71","6","42","14.29","18","193","9.33","400","761","52.56"
"","Nico Hischier","C","HAL","17.698","57","38","31","17","69","86","231","16.45","0.67","0.54","0.3","1.21","1.51","4.05","30.61","0.54","1252.74","21.98","1.82","1.48","0.81","3.3","4.12","11.06","1.47","18.52","18.27","51.88","51.99","16.59","58.86","103","72","10","37","27.03","10","37","27.03","18","157","11.46","501","1025","48.88"
"","Nicolas Roy","C","CHI","19.609","53","36","33","11","69","80","208","17.31","0.68","0.62","0.21","1.3","1.51","3.92","37.13","0.7","1181.06","22.28","1.83","1.68","0.56","3.51","4.06","10.57","1.89","19.39","18.28","56.5","49.76","34.89","72.99","100","37","16","46","34.78","7","37","18.92","13","125","10.4","765","1297","58.98"
"","Mathieu Joseph","RW","SNB","19.598","54","36","30","14","66","80","187","19.25","0.67","0.56","0.26","1.22","1.48","3.46","31.23","0.58","1121.38","20.77","1.93","1.61","0.75","3.53","4.28","10.01","1.67","19.81","18.27","65.85","49.9","21.43","76.16","115","36","7","28","25.0","6","41","14.63","23","118","19.49","15","42","35.71"
"","Antoine Waked","RW","ROU","20.332","67","39","27","14","66","80","225","17.33","0.58","0.4","0.21","0.99","1.19","3.36","32.36","0.48","1344.31","20.06","1.74","1.21","0.62","2.95","3.57","10.04","1.44","19.46","18.34","61.29","50.11","12.44","68.64","116","53","12","35","34.29","12","41","29.27","15","149","10.07","9","16","56.25"
"","Joey Ratelle","LW","CHI/DRU","20.471","62","41","25","11","66","77","217","18.89","0.66","0.4","0.18","1.06","1.24","3.5","35.16","0.57","1275.36","20.57","1.93","1.18","0.52","3.11","3.62","10.21","1.65","19.82","18.32","55.1","49.47","23.02","65.19","103","55","11","40","27.5","11","57","19.3","19","120","15.83","3","17","17.65"
"","Alexandre Goulet","C","VIC","20.447","68","39","26","24","65","89","235","16.6","0.57","0.38","0.35","0.96","1.31","3.46","32.35","0.48","1385.71","20.38","1.69","1.13","1.04","2.81","3.85","10.18","1.4","18.66","17.94","53.22","50.49","23.45","64.41","114","63","7","34","20.59","9","33","27.27","23","168","13.69","54","117","46.15"
"","Matthew Highmore","C","SNB","20.551","64","34","31","24","65","89","220","15.45","0.53","0.48","0.38","1.02","1.39","3.44","32.0","0.5","1303.06","20.36","1.57","1.43","1.11","2.99","4.1","10.13","1.47","19.36","18.29","65.06","50.23","18.62","73.99","128","45","14","43","32.56","7","36","19.44","13","141","9.22","750","1396","53.72"
"","Dennis Yan","LW","SHA","19.423","64","46","19","10","65","75","251","18.33","0.72","0.3","0.16","1.02","1.17","3.92","37.7","0.59","1305.08","20.39","2.11","0.87","0.46","2.99","3.45","11.54","1.73","19.49","18.31","61.08","50.66","18.62","69.43","109","48","11","31","35.48","12","38","31.58","23","182","12.64","6","22","27.27"
