"#","Name","GP","ROW","GF%","GF","GA","GD","SF%","SF","SA","SD","Sh%","Sv%","PDO","xGF%","xGF","xGA","xGD","xSh%","xSv%","xPDO","GFAX","GFAX/30","GSAX","GSAX/30","HD GF","HD GA","HD GD","HD GF%","HD SF","HD SA","HD SD","HD SF%","HD Sh%","HD Sv%","MD GF","MD GA","MD GD","MD GF%","MD SF","MD SA","MD SD","MD SF%","MD Sh%","MD Sv%","LD GF","LD GA","LD GD","LD GF%","LD SF","LD SA","LD SD","LD SF%","LD Sh%","LD Sv%"
"","Saint John Sea Dogs","68","47","61.51","286","179","107","58.27","2360","1690","670","11.74","0.899","101.63","58.63","272.41","192.19","80.22","11.59","0.886","100.16","3.59","0.046","22.195","0.396","82","56","26","59.42","298","230","68","56.44","27.27","0.757","59","32","27","64.84","310","209","101","59.73","18.51","0.851","145","91","54","61.44","1752","1251","501","58.34","7.91","0.933"
"","Rouyn-Noranda Huskies","68","42","60.63","271","176","95","55.12","2170","1767","403","12.16","0.903","102.46","57.21","247.18","184.9","62.28","11.43","0.895","100.94","15.822","0.22","13.897","0.237","67","59","8","53.17","250","210","40","54.35","26.8","0.719","67","43","24","60.91","281","231","50","54.88","23.84","0.817","137","74","63","64.93","1639","1326","313","55.28","7.91","0.947"
"","Charlottetown Islanders","68","43","58.37","300","214","86","54.19","2474","2091","383","11.7","0.901","101.76","53.89","264.49","226.29","38.2","10.74","0.891","99.88","23.506","0.286","19.291","0.278","66","69","-3","48.89","261","287","-26","47.63","24.71","0.762","79","41","38","65.83","376","267","109","58.48","20.59","0.85","155","104","51","59.85","1837","1537","300","54.45","8.04","0.935"
"","Shawinigan Cataractes","68","39","58.35","255","182","73","53.21","2121","1865","256","11.65","0.904","102.03","54.75","234.71","193.96","40.75","11.11","0.896","100.7","11.286","0.16","14.961","0.241","74","56","18","56.92","250","212","38","54.11","29.03","0.736","57","43","14","57.0","262","204","58","56.22","21.46","0.789","124","83","41","59.9","1609","1449","160","52.62","7.36","0.945"
"","Blainville-Boisbriand Armada","68","41","56.78","222","169","53","53.09","1959","1731","228","10.88","0.904","101.32","52.02","188.41","173.81","14.6","9.67","0.899","99.6","23.592","0.363","8.807","0.153","53","36","17","59.55","197","175","22","52.96","26.15","0.794","36","45","-9","44.44","211","241","-30","46.68","16.27","0.813","133","88","45","60.18","1551","1315","236","54.12","8.22","0.936"
"","Acadie-Bathurst Titan","68","39","54.2","284","240","44","52.88","2399","2138","261","11.43","0.889","100.37","52.52","281.9","254.82","27.08","11.8","0.881","99.86","-8.901","-0.112","18.818","0.265","85","72","13","54.14","318","319","-1","49.92","26.5","0.774","69","51","18","57.5","340","252","88","57.43","20.06","0.801","130","117","13","52.63","1741","1567","174","52.63","6.99","0.927"
"","Cape Breton Screaming Eagles","68","38","54.12","269","228","41","51.35","2190","2075","115","11.76","0.894","101.2","53.25","273.66","240.27","33.39","12.57","0.884","100.94","-17.657","-0.243","22.268","0.324","78","56","22","58.21","327","258","69","55.9","23.62","0.792","61","57","4","51.69","276","259","17","51.59","21.82","0.78","130","115","15","53.06","1587","1558","29","50.46","7.55","0.93"
"","Victoriaville Tigres","68","34","50.0","229","229","0","50.03","1990","1988","2","11.33","0.887","100.08","51.03","217.92","209.11","8.81","10.97","0.894","100.42","7.085","0.107","-13.891","-0.21","51","67","-16","43.22","216","255","-39","45.86","22.54","0.74","54","56","-2","49.09","234","249","-15","48.45","22.75","0.775","124","106","18","53.91","1540","1484","56","50.93","8.05","0.932"
"","Chicoutimi Sagueneens","68","31","49.63","200","203","-3","51.55","1974","1855","119","9.72","0.896","99.31","52.78","215.18","192.5","22.68","10.95","0.896","100.51","-24.183","-0.369","0.504","0.008","57","55","2","50.89","229","182","47","55.72","24.89","0.702","52","55","-3","48.6","247","236","11","51.14","20.73","0.77","91","93","-2","49.46","1498","1437","61","51.04","5.57","0.941"
"","Gatineau Olympiques","68","29","47.62","230","253","-23","46.98","1937","2186","-249","11.51","0.886","100.14","47.44","231.28","256.2","-24.92","11.99","0.883","100.24","-9.282","-0.144","8.201","0.113","71","73","-2","49.31","271","284","-13","48.83","26.2","0.748","59","60","-1","49.58","289","305","-16","48.65","20.42","0.806","100","120","-20","45.45","1377","1597","-220","46.3","6.72","0.926"
