,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Peter Abbandonato,C,ROU,19.477,189,72,100,48,172,220,481,15.263,0.387,0.533,0.263,0.917,1.18,2.573,20.5,0.327,1237.327,19.663,1.163,1.617,0.79,2.777,3.567,7.747,0.987,18.723,18.037,63.18,49.467,8.083,66.99,316,157,17,75,22.58,19,84,21.4,36,322,11.42,1364,2723,49.423
1,Antoine Morand,C,BAT/HAL,18.574,188,75,89,53,164,217,493,15.327,0.397,0.473,0.283,0.873,1.157,2.607,23.237,0.367,1154.277,18.387,1.3,1.55,0.93,2.853,3.783,8.5,1.183,19.027,17.707,62.793,48.47,14.957,69.243,320,148,23,107,21.373,24,87,28.57,28,299,9.507,1435,2680,53.723
2,Ivan Chekhovich,LW,BAC,18.697,179,92,68,49,160,209,640,14.297,0.523,0.387,0.28,0.913,1.19,3.617,24.913,0.417,1145.457,19.233,1.617,1.203,0.87,2.82,3.69,11.233,1.307,18.603,18.01,55.423,49.127,19.36,64.823,278,149,21,94,20.183,25,123,20.08,46,423,10.917,7,23,34.803
3,Vitalii Abramov,RW,GAT/GAT/VIC,18.858,122,91,89,28,180,208,460,19.855,0.75,0.74,0.225,1.485,1.72,3.775,41.585,0.68,1343.555,22.035,2.045,2.01,0.62,4.055,4.675,10.28,1.855,19.18,18.17,57.0,50.26,26.115,69.15,255,117,25,84,31.3,21,91,23.89,45,285,15.775,594,1030,58.625
4,Alex Barre-Boulet,C,BLB/DRU/BLB,19.821,130,82,68,47,150,197,533,15.075,0.635,0.525,0.36,1.15,1.515,4.1,36.7,0.56,1397.21,21.5,1.73,1.46,1.01,3.19,4.2,11.41,1.585,19.27,18.325,58.41,50.01,19.26,67.47,233,111,15,68,22.77,17,84,20.24,50,381,12.4,1150,2198,52.45
5,Mitchell Balmas,LW/RW,CHA/GAT/BAT/GAT/CAP,19.494,187,99,48,41,147,188,619,15.803,0.54,0.26,0.22,0.803,1.023,3.34,25.037,0.403,1189.767,19.187,1.66,0.813,0.703,2.473,3.17,10.41,1.25,19.21,17.85,57.46,49.627,17.447,67.067,289,141,19,66,29.497,18,99,18.01,62,454,13.167,479,944,47.93
6,Jeremy McKenna,RW,MON,18.407,191,90,52,43,142,185,794,11.107,0.48,0.283,0.227,0.763,0.987,4.217,31.733,0.503,1222.667,19.35,1.433,0.803,0.68,2.233,2.913,12.73,1.513,18.51,17.937,48.967,51.327,17.643,55.293,262,198,24,106,26.59,20,104,19.54,46,584,7.293,223,473,41.813
7,Jordan Martel,LW/RW,BAC,19.557,184,86,57,35,143,178,633,13.45,0.467,0.317,0.19,0.78,0.973,3.5,22.403,0.37,1103.4,17.9,1.553,1.067,0.633,2.617,3.25,11.807,1.24,18.417,17.783,53.723,48.967,20.83,66.127,247,127,21,69,30.867,21,85,24.733,44,479,9.127,10,42,24.077
8,Joel Teasdale,LW,BLB/BLB/ROU,18.516,180,84,59,34,143,177,541,15.387,0.47,0.33,0.19,0.8,0.987,3.03,28.2,0.473,1179.547,19.68,1.42,1.0,0.58,2.413,2.997,9.153,1.427,19.193,18.253,58.273,52.063,13.68,65.503,275,145,29,130,22.413,21,90,20.677,34,321,10.747,256,498,51.313
9,Samuel Asselin,C,SHA/BAT/SHA/BAT/HAL,19.209,173,74,56,46,130,176,416,17.07,0.427,0.32,0.267,0.75,1.02,2.477,19.687,0.353,1078.59,18.857,1.323,1.033,0.86,2.36,3.217,7.76,1.1,18.23,17.92,56.247,50.563,8.877,60.82,258,158,36,108,29.243,19,73,25.96,19,235,8.517,1745,3093,56.467
