,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,193,124,62.373,763,466,297,55.39,6628,5376,1252,11.117,0.916,102.74,58.793,226.547,163.8,62.747,10.32,0.91,101.29,17.788,0.239,13.467,0.197,217,136,81,61.133,789,593,196,56.74,26.63,0.777,208,114,94,64.17,891,620,271,59.39,23.12,0.811,338,216,122,61.137,4948,4163,785,54.483,6.4,0.951
1,Drummondville Voltigeurs,192,110,56.7,777,599,178,56.39,6551,5134,1417,11.547,0.888,100.287,55.283,214.63,178.78,35.85,9.847,0.897,99.533,36.703,0.509,-14.886,-0.285,211,171,40,55.587,795,684,111,53.96,26.303,0.756,208,151,57,57.54,960,735,225,56.53,21.537,0.794,358,277,81,57.023,4796,3715,1081,56.753,7.06,0.931
2,Halifax Mooseheads,193,107,55.517,746,614,132,51.637,6241,5883,358,11.65,0.9,101.667,52.987,234.433,211.14,23.29,11.23,0.894,100.597,6.568,0.126,12.805,0.195,230,188,42,55.353,937,785,152,54.443,23.79,0.766,176,139,37,55.783,833,776,57,52.07,21.03,0.824,340,287,53,55.187,4471,4322,149,51.003,7.323,0.938
3,Blainville-Boisbriand Armada,192,105,52.51,651,578,73,51.41,5687,5356,331,10.797,0.896,100.383,50.9,182.763,173.257,9.51,9.613,0.902,99.85,23.237,0.354,-12.412,-0.193,173,159,14,52.89,674,598,76,53.303,25.173,0.736,125,149,-24,45.373,703,793,-90,46.99,16.823,0.813,353,270,83,54.97,4310,3965,345,51.913,7.51,0.936
4,Charlottetown Islanders,192,103,52.913,698,611,87,53.443,6693,5834,859,9.997,0.899,99.87,52.983,230.243,203.627,26.617,10.3,0.895,99.827,-6.58,-0.092,7.961,0.106,215,211,4,50.427,929,808,121,53.337,22.857,0.74,166,118,48,57.31,989,765,224,56.267,16.14,0.849,317,282,35,52.397,4775,4261,514,52.873,6.14,0.939
5,Rimouski Oceanic,193,103,55.673,690,565,125,53.91,6228,5358,870,10.783,0.898,100.583,52.317,196.227,181.0,15.223,9.457,0.899,99.383,25.44,0.399,-3.332,-0.039,177,163,14,52.16,743,691,52,51.947,22.983,0.773,171,118,53,60.04,773,654,119,54.24,21.953,0.822,342,284,58,55.417,4712,4013,699,54.143,6.907,0.932
6,Cape Breton Screaming Eagles,192,97,52.49,709,649,60,53.243,6220,5519,701,11.023,0.888,99.8,53.737,232.613,204.597,28.02,11.167,0.89,100.2,-4.949,-0.042,-1.403,-0.076,192,180,12,51.663,893,794,99,52.953,21.117,0.783,163,161,2,50.793,809,722,87,53.253,19.94,0.781,354,308,46,53.577,4518,4003,515,53.337,7.387,0.928
7,Victoriaville Tigres,193,94,50.95,647,608,39,48.24,5598,5943,-345,11.21,0.901,101.32,48.45,186.15,188.553,-2.403,9.737,0.905,100.2,25.184,0.442,-6.447,-0.107,143,172,-29,45.093,574,710,-136,44.613,24.317,0.758,147,138,9,51.59,686,749,-63,47.647,21.227,0.817,357,298,59,53.6,4338,4484,-146,48.937,7.897,0.938
8,Sherbrooke Phoenix,192,91,48.847,655,691,-36,52.527,6497,5908,589,9.713,0.887,98.39,50.203,207.063,206.53,0.537,9.55,0.895,99.073,1.939,0.048,-15.139,-0.252,180,179,1,50.28,730,709,21,50.807,24.413,0.753,124,140,-16,48.013,915,932,-17,49.523,13.387,0.854,351,372,-21,48.857,4852,4267,585,53.457,6.81,0.917
9,Acadie-Bathurst Titan,192,88,47.883,669,696,-27,48.393,6082,6269,-187,10.453,0.892,99.627,46.643,218.1,226.12,-8.02,10.25,0.891,99.35,-1.765,0.06,-1.215,0.022,205,234,-29,46.65,777,1038,-261,42.183,26.81,0.779,166,170,-4,50.31,811,782,29,50.267,20.727,0.791,298,292,6,47.553,4494,4449,45,49.397,5.913,0.936
