"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Ivan Chekhovich","LW","BAC","18.697","65","2","1","0","3","3","3","66.67","0.03","0.02","0.0","0.05","0.05","0.05","0.68","0.01","0","0","0.0","1","2","50.0","1","1","100.0","0","0","0.0"
"","Jakob Pelletier","C","MON","16.526","60","1","1","1","2","3","4","25.0","0.02","0.02","0.02","0.03","0.05","0.07","0.74","0.01","0","1","0.0","1","1","100.0","0","2","0.0","2","9","22.22"
"","Simon Lafrance","C","VIC/VDO","18.927","68","0","2","0","2","2","2","0.0","0.0","0.03","0.0","0.03","0.03","0.03","0.32","0.0","0","1","0.0","0","0","0.0","0","1","0.0","4","4","100.0"
"","Ivan Kosorenkov","RW","VIC","19.647","63","2","0","0","2","2","2","100.0","0.03","0.0","0.0","0.03","0.03","0.03","0.48","0.01","0","0","0.0","0","0","0.0","2","2","100.0","0","0","0.0"
"","Vitalii Abramov","RW","GAT/VIC","19.357","56","0","2","0","2","2","0","0.0","0.0","0.04","0.0","0.04","0.04","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","8","16","50.0"
"","Jimmy Huntington","C","VIC","18.826","68","1","0","1","1","2","3","33.33","0.01","0.0","0.01","0.01","0.03","0.04","0.6","0.01","0","0","0.0","1","2","50.0","0","1","0.0","8","13","61.54"
"","Nicolas Guay","C","DRU","18.245","68","1","0","0","1","1","3","33.33","0.01","0.0","0.0","0.01","0.01","0.04","0.73","0.01","1","2","50.0","0","0","0.0","0","1","0.0","9","18","50.0"
"","Yvan Mongo","C","DRU","20.515","58","0","1","0","1","1","2","0.0","0.0","0.02","0.0","0.02","0.02","0.03","0.28","0.0","0","0","0.0","0","1","0.0","0","1","0.0","4","19","21.05"
"","Alex Plamondon","C","SHA","17.922","58","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.27","0.0","0","0","0.0","1","1","100.0","0","0","0.0","1","2","50.0"
"","Maxim Mizyurin","C","VDO","19.477","36","1","0","0","1","1","1","100.0","0.03","0.0","0.0","0.03","0.03","0.03","0.28","0.01","0","0","0.0","1","1","100.0","0","0","0.0","7","11","63.64"
"","Nicolas Poulin","LW","SHE","20.146","64","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.03","0.43","0.01","1","1","100.0","0","0","0.0","0","1","0.0","3","4","75.0"
"","Gabriel Fortier","C","BAC","17.607","66","0","1","0","1","1","2","0.0","0.0","0.02","0.0","0.02","0.02","0.03","0.13","0.0","0","0","0.0","0","1","0.0","0","1","0.0","13","23","56.52"
"","Mathieu Nadeau","RW","VDO/RIM","20.699","59","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.03","0.24","0.0","0","0","0.0","0","1","0.0","1","1","100.0","7","13","53.85"
"","Edouard St-Laurent","C","BAC","17.449","61","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.27","0.0","1","1","100.0","0","0","0.0","0","0","0.0","6","9","66.67"
"","Arnaud Durandeau","LW","HAL","18.67","67","1","0","0","1","1","1","100.0","0.01","0.0","0.0","0.01","0.01","0.01","0.37","0.01","1","1","100.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Samuel Dove-McFalls","C","RIM","20.433","64","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.07","0.0","0","0","0.0","0","0","0.0","0","1","0.0","18","33","54.55"
"","Kevin Gilbert","RW","SHE","19.48","57","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","1","100.0"
"","Julien Tessier","C","VDO/MON","19.458","67","0","1","0","1","1","2","0.0","0.0","0.01","0.0","0.01","0.01","0.03","0.35","0.01","0","1","0.0","0","0","0.0","0","1","0.0","8","20","40.0"
"","Filip Zadina","RW","HAL","17.802","57","0","1","0","1","1","2","0.0","0.0","0.02","0.0","0.02","0.02","0.04","0.24","0.0","0","0","0.0","0","0","0.0","0","2","0.0","1","2","50.0"
