"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Ivan Chekhovich","LW","BAC","19.697","54","27","23","15","50","65","190","14.21","0.5","0.43","0.28","0.93","1.2","3.52","19.72","0.37","871.82","16.14","1.86","1.58","1.03","3.44","4.47","13.08","1.36","14.61","13.68","64.46","45.42","6.73","70.19","73","31","10","35","28.57","10","37","27.03","7","118","5.93","1","2","50.0"
"","Samuel Asselin","C","BAT/HAL","20.208","57","31","17","12","48","60","123","25.2","0.54","0.3","0.21","0.84","1.05","2.16","14.85","0.26","892.43","15.66","2.08","1.14","0.81","3.23","4.03","8.27","1.0","14.36","13.92","64.23","48.43","18.12","75.0","84","28","18","44","40.91","5","21","23.81","8","58","13.79","422","748","56.42"
"","Alexis Lafreniere","LW","RIM","16.928","51","23","23","12","46","58","137","16.79","0.45","0.45","0.24","0.9","1.14","2.69","14.85","0.29","778.8","15.27","1.77","1.77","0.92","3.54","4.47","10.55","1.14","14.69","14.18","66.02","46.31","22.12","76.47","65","20","7","31","22.58","5","18","27.78","11","88","12.5","16","33","48.48"
"","Peter Abbandonato","C","ROU","20.477","57","18","24","16","42","58","135","13.33","0.32","0.42","0.28","0.74","1.02","2.37","12.86","0.23","928.01","16.28","1.16","1.55","1.03","2.72","3.75","8.73","0.83","14.47","13.97","70.57","48.89","4.39","74.31","81","28","5","19","26.32","8","29","27.59","5","87","5.75","474","884","53.62"
"","Jeremy McKenna","RW","MON","19.406","56","22","19","12","41","53","205","10.73","0.39","0.34","0.21","0.73","0.95","3.66","19.06","0.34","928.67","16.58","1.42","1.23","0.78","2.65","3.42","13.24","1.23","14.95","14.17","57.45","47.54","11.18","61.82","68","42","5","25","20.0","5","33","15.15","12","147","8.16","43","86","50.0"
"","Nicolas Guay","RW","DRU","19.245","52","24","17","11","41","52","146","16.44","0.46","0.33","0.21","0.79","1.0","2.81","15.86","0.31","735.48","14.14","1.96","1.39","0.9","3.34","4.24","11.91","1.29","14.02","13.79","66.01","47.32","2.22","68.89","62","28","9","29","31.03","7","33","21.21","8","84","9.52","192","338","56.8"
"","Joseph Veleno","C","DRU","18.673","47","24","16","15","40","55","139","17.27","0.51","0.34","0.32","0.85","1.17","2.96","12.13","0.26","726.5","15.46","1.98","1.32","1.24","3.3","4.54","11.48","1.0","14.55","14.01","64.87","46.91","7.31","72.53","66","25","8","29","27.59","6","24","25.0","10","86","11.63","309","609","50.74"
"","Nathan Legare","RW","BAC","17.676","56","29","11","10","40","50","173","16.76","0.52","0.2","0.18","0.71","0.89","3.09","13.56","0.24","834.67","14.9","2.08","0.79","0.72","2.88","3.59","12.44","0.97","14.6","13.8","63.96","46.81","9.29","71.28","67","27","12","31","38.71","4","23","17.39","13","119","10.92","108","240","45.0"
"","Gregor MacLeod","C","DRU","20.274","54","25","15","9","40","49","154","16.23","0.46","0.28","0.17","0.74","0.91","2.85","13.0","0.24","799.74","14.81","1.88","1.13","0.68","3.0","3.68","11.55","0.97","14.54","13.9","65.75","47.12","-2.12","66.33","65","33","10","23","43.48","8","32","25.0","7","99","7.07","8","18","44.44"
"","Daniel Hardie","LW","CHA","20.263","55","22","18","5","40","45","121","18.18","0.4","0.33","0.09","0.73","0.82","2.2","12.81","0.23","802.29","14.59","1.65","1.35","0.37","2.99","3.37","9.05","0.96","14.3","14.06","57.75","46.63","13.83","64.13","59","33","11","27","40.74","5","25","20.0","6","69","8.7","6","12","50.0"
"","Jimmy Huntington","C","RIM","19.825","56","20","19","4","39","43","116","17.24","0.36","0.34","0.07","0.7","0.77","2.07","12.26","0.22","800.26","14.29","1.5","1.42","0.3","2.92","3.22","8.7","0.92","14.96","14.13","66.5","47.4","12.31","73.49","61","22","7","28","25.0","5","23","21.74","8","65","12.31","506","878","57.63"
