,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Hank Crone,LW/F,FGO,19.57,99,39,40,35,79,114,320,12.375,0.39,0.415,0.36,0.8,1.16,3.165
1,Mikael Hakkarainen,C,MUS/CHI/MUS/MUS,19.636,114,38,32,31,70,101,319,11.887,0.36,0.317,0.287,0.67,0.963,2.99
2,Filip Suchy,C,OMA,19.218,101,46,29,23,75,98,255,17.845,0.445,0.28,0.225,0.725,0.95,2.48
3,Ben Meyers,LW/F,FGO,18.834,105,52,32,14,84,98,289,16.82,0.427,0.233,0.093,0.66,0.75,2.45
4,Anthony Del Gaizo,C,MUS,19.123,117,51,24,21,75,96,272,17.115,0.43,0.2,0.18,0.635,0.81,2.31
5,Nick Abruzzese,C/F,CHI,18.784,99,32,37,24,69,93,179,18.81,0.335,0.39,0.255,0.73,0.985,1.805
6,Quinn Preston,RW,DBQ,19.402,115,38,32,20,70,90,332,11.77,0.33,0.275,0.175,0.61,0.78,2.88
7,Josiah Slavin,LW,TC/LIN/LIN/CHI,18.708,149,43,30,16,73,89,320,12.647,0.283,0.213,0.103,0.497,0.603,2.183
8,Jackson Cates,C,WAT,19.47,113,44,24,16,68,84,283,14.74,0.39,0.215,0.14,0.595,0.745,2.495
9,Nicolas Werbik,C,YNG/DM,19.435,113,44,27,13,71,84,350,12.515,0.385,0.235,0.12,0.625,0.74,3.08
10,Robert Mastrosimone,LW,CHI,17.14,95,36,26,21,62,83,241,15.505,0.42,0.295,0.205,0.71,0.92,2.62
11,Nathan Smith,C,CR,19.408,93,30,30,22,60,82,206,14.57,0.32,0.32,0.23,0.645,0.875,2.205
12,Garrett Wait,LW,WAT,18.758,116,34,29,17,63,80,265,12.33,0.29,0.25,0.15,0.545,0.69,2.285
13,Casey Dornbach,RW,LIN,19.692,117,32,28,20,60,80,261,12.625,0.275,0.24,0.17,0.51,0.68,2.225
14,Brendan Furry,LW,OMA/TC/OMA,19.69,94,32,34,14,66,80,227,14.155,0.36,0.39,0.16,0.75,0.91,2.61
15,Max Ellis,RW,YNG/MUS/CIL/LIN,17.66,153,33,28,17,61,78,346,9.02,0.21,0.177,0.11,0.393,0.503,2.253
16,Jack Drury,C,WAT,17.116,100,28,23,26,51,77,196,12.39,0.26,0.215,0.24,0.475,0.715,1.86
17,Ben Copeland,RW,WAT,17.888,116,23,37,17,60,77,269,7.955,0.195,0.31,0.14,0.505,0.65,2.29
18,Connor McMenamin,LW,SC/TC/TC,18.555,141,34,21,22,55,77,264,13.94,0.26,0.147,0.153,0.41,0.557,1.893
19,Martin Pospisil,LW/C,SC,18.324,82,20,36,21,56,77,209,9.53,0.26,0.47,0.255,0.73,0.985,2.745
20,Mick Messner,LW,MAD,17.908,115,29,28,19,57,76,302,9.585,0.255,0.24,0.165,0.495,0.655,2.625
21,Julian Napravnik,RW,DM,19.865,111,38,26,12,64,76,379,10.37,0.345,0.235,0.11,0.58,0.69,3.385
22,Emil Ohrvall,C/F,WAT,19.266,90,36,19,21,55,76,216,16.34,0.41,0.215,0.235,0.625,0.86,2.43
23,Alexander Steeves,C,DBQ,17.266,108,26,29,20,55,75,284,9.465,0.235,0.265,0.18,0.505,0.69,2.6
24,Matias Maccelli,LW,DBQ,17.42,80,30,24,20,54,74,199,14.255,0.36,0.29,0.24,0.65,0.89,2.435
25,Cade Borchardt,C/F,MAD/SF,19.695,99,23,34,17,57,74,192,12.17,0.235,0.355,0.17,0.58,0.755,1.91
26,Jack Hughes,C,USA,16.84,40,23,30,21,53,74,147,13.42,0.465,0.775,0.53,1.24,1.77,3.855
27,Gustaf Westlund,C,LIN,19.26,117,20,28,26,48,74,279,7.14,0.175,0.24,0.225,0.415,0.63,2.39
28,Cole Gallant,RW,FGO/OMA/OMA,19.008,114,30,26,17,56,73,211,15.335,0.26,0.22,0.145,0.49,0.63,1.835
29,Graham Lillibridge,LD/D,CHI,18.129,115,8,38,27,46,73,199,4.375,0.07,0.335,0.24,0.405,0.635,1.745
30,Emilio Pettersen,C,OMA/MUS,16.952,117,24,24,25,48,73,229,10.41,0.205,0.2,0.215,0.41,0.62,1.95
