,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Waterloo Black Hawks,165,102,170.31,569,433,136,163.73,5452,4536,916,30.050000000000004,2.723,302.34
1,Muskegon Lumberjacks,165,92,163.24,561,480,81,156.65,5303,4841,462,30.54,2.713,301.88
2,Chicago Steel,163,90,162.85,581,496,85,153.06,4852,4665,187,35.3,2.6910000000000003,304.37
3,Fargo Force,163,89,169.84,530,400,130,160.56,5110,4388,722,30.11,2.731,303.25
4,Dubuque Fighting Saints,164,80,153.28,515,491,24,160.44,5013,4348,665,30.11,2.6719999999999997,297.24
5,Youngstown Phantoms,163,78,150.3,478,479,-1,148.14,4491,4631,-140,31.62,2.694,301.13
6,Tri-City Storm,165,77,154.57999999999998,448,431,17,147.28,4593,4800,-207,28.419999999999998,2.743,302.8
7,Team USA,158,77,152.75,604,564,40,149.76,4783,4830,-47,36.349999999999994,2.655,301.89
8,Sioux City Musketeers,162,76,154.29,459,440,19,152.37,4862,4690,172,27.380000000000003,2.7270000000000003,300.07
9,Sioux Falls Stampede,163,74,151.10000000000002,510,505,5,143.14999999999998,4707,5288,-581,31.869999999999997,2.714,303.18
10,Des Moines Buccaneers,165,73,149.28,461,472,-11,147.26,4619,4801,-182,28.83,2.718,300.63
11,Lincoln Stars,165,70,145.08,478,501,-23,150.63,5027,4929,98,27.75,2.699,297.7
12,Green Bay Gamblers,163,70,147.01,460,474,-14,152.17,4911,4715,196,27.5,2.708,298.29
13,Omaha Lancers,163,68,143.26,452,492,-40,148.45999999999998,4675,4753,-78,27.700000000000003,2.7030000000000003,298.03
14,Cedar Rapids RoughRiders,163,53,131.46,406,536,-130,140.24,4356,5003,-647,26.59,2.693,295.88
15,Madison Capitols,163,51,121.07,401,572,-171,130.82,4442,5779,-1337,25.65,2.7140000000000004,297.09999999999997
16,Central Illinois Flying Aces,103,25,83.95,289,410,-121,95.22999999999999,2976,3277,-301,18.97,1.76,195.04000000000002
17,Bloomington Thunder,60,23,45.96,148,174,-26,51.43,1831,1729,102,7.93,0.905,98.44
