"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP"
"","Anthony Del Gaizo","C","MUS","19.623","60","40","17","15","57","72","173","23.12","0.67","0.28","0.25","0.95","1.2","2.88"
"","Filip Suchy","C","OMA","19.718","54","31","22","16","53","69","168","18.45","0.57","0.41","0.3","0.98","1.28","3.11"
"","Jack Dugan","LW","CHI","19.48","54","31","20","15","51","66","167","18.56","0.57","0.37","0.28","0.94","1.22","3.09"
"","Jackson Cates","C","WAT","19.97","57","33","18","12","51","63","196","16.84","0.58","0.32","0.21","0.89","1.11","3.44"
"","Ben Copeland","RW","WAT","18.388","60","18","30","14","48","62","193","9.33","0.3","0.5","0.23","0.8","1.03","3.22"
"","Jack Drury","C","WAT","17.616","56","24","19","22","43","65","151","15.89","0.43","0.34","0.39","0.77","1.16","2.7"
"","Nolan Walker","C","SF","18.905","55","21","22","7","43","50","100","21.0","0.38","0.4","0.13","0.78","0.91","1.82"
"","Alexander Steeves","C","DBQ","17.766","55","20","22","15","42","57","224","8.93","0.36","0.4","0.27","0.76","1.04","4.07"
"","Casey Dornbach","RW","LIN","20.192","59","21","21","14","42","56","180","11.67","0.36","0.36","0.24","0.71","0.95","3.05"
"","Grant Hebert","C","FGO","20.318","57","15","27","12","42","54","107","14.02","0.26","0.47","0.21","0.74","0.95","1.88"
"","Quinn Preston","RW","DBQ","19.902","58","24","17","14","41","55","222","10.81","0.41","0.29","0.24","0.71","0.95","3.83"
"","Alec Broetzman","LW","MAD","20.608","59","25","16","9","41","50","188","13.3","0.42","0.27","0.15","0.69","0.85","3.19"
"","Nicolas Werbik","C","DM","19.935","59","26","15","4","41","45","202","12.87","0.44","0.25","0.07","0.69","0.76","3.42"
"","Noah Cates","LW","OMA","18.61","60","21","19","15","40","55","131","16.03","0.35","0.32","0.25","0.67","0.92","2.18"
"","Jack Hughes","C","USA","16.34","27","21","19","14","40","54","90","23.33","0.78","0.7","0.52","1.48","2.0","3.33"
"","Matej Pekar","LW","MUS","17.597","56","14","26","14","40","54","161","8.7","0.25","0.46","0.25","0.71","0.96","2.88"
"","Blake McLaughlin","LW","CHI","17.586","54","23","17","12","40","52","136","16.91","0.43","0.31","0.22","0.74","0.96","2.52"
"","Matthew Barry","C","YNG","20.039","57","17","22","15","39","54","112","15.18","0.3","0.39","0.26","0.68","0.95","1.96"
"","Baker Shore","C","CHI","18.073","60","23","16","9","39","48","140","16.43","0.38","0.27","0.15","0.65","0.8","2.33"
"","Chase Gresock","RW","YNG","19.091","59","26","13","7","39","46","186","13.98","0.44","0.22","0.12","0.66","0.78","3.15"
"","Calen Kiefiuk","LW","CIL","17.547","60","18","21","7","39","46","193","9.33","0.3","0.35","0.12","0.65","0.77","3.22"
"","Mike Regush","C","YNG","19.009","58","19","19","10","38","48","92","20.65","0.33","0.33","0.17","0.66","0.83","1.59"
"","Nolan Moyle","C","GB","18.426","57","19","19","7","38","45","172","11.05","0.33","0.33","0.12","0.67","0.79","3.02"
"","Trenton Bliss","LW","GB","19.502","60","21","16","18","37","55","146","14.38","0.35","0.27","0.3","0.62","0.92","2.43"
"","Cole Gallant","RW","OMA","19.508","59","15","22","15","37","52","134","11.19","0.25","0.37","0.25","0.63","0.88","2.27"
"","Josh Dunne","C","GB","18.771","60","21","16","11","37","48","169","12.43","0.35","0.27","0.18","0.62","0.8","2.82"
"","Bobby Trivigno","LW","WAT","18.656","58","16","21","6","37","43","177","9.04","0.28","0.36","0.1","0.64","0.74","3.05"
"","Ben Meyers","LW","FGO","18.834","60","24","12","8","36","44","133","18.05","0.4","0.2","0.13","0.6","0.73","2.22"
"","Chayse Primeau","C","DBQ","20.0","56","21","15","5","36","41","128","16.41","0.38","0.27","0.09","0.64","0.73","2.29"
"","Samuel Bucek","RW","CHI","18.741","49","20","15","9","35","44","115","17.39","0.41","0.31","0.18","0.71","0.9","2.35"
"","Ludwig Stenlund","C","MAD","20.417","60","17","18","6","35","41","110","15.45","0.28","0.3","0.1","0.58","0.68","1.83"
"","Cole Koepke","LW","SC","19.332","60","28","7","4","35","39","217","12.9","0.47","0.12","0.07","0.58","0.65","3.62"
"","Nathan Smith","C","CR","18.908","51","17","17","13","34","47","117","14.53","0.33","0.33","0.25","0.67","0.92","2.29"
"","Christian O'Neill","C","OMA","19.247","60","14","20","13","34","47","123","11.38","0.23","0.33","0.22","0.57","0.78","2.05"
"","Mick Messner","LW","MAD","18.407","60","16","18","11","34","45","163","9.82","0.27","0.3","0.18","0.57","0.75","2.72"
"","Oliver Wahlstrom","RW","USA","17.257","26","22","12","11","34","45","128","17.19","0.85","0.46","0.42","1.31","1.73","4.92"
"","Jacob Schmidt-Svejstrup","LW","FGO","19.669","40","26","8","9","34","43","123","21.14","0.65","0.2","0.23","0.85","1.07","3.08"
"","Josiah Slavin","LW","LIN","18.708","60","23","11","8","34","42","129","17.83","0.38","0.18","0.13","0.57","0.7","2.15"
"","Marek Valach","LW","CR","19.163","52","20","14","7","34","41","157","12.74","0.38","0.27","0.13","0.65","0.79","3.02"
"","Wiliam Fallstrom","C","FGO","19.601","58","14","19","12","33","45","113","12.39","0.24","0.33","0.21","0.57","0.78","1.95"
"","Griffin Loughran","RW","FGO","18.84","50","18","15","9","33","42","120","15.0","0.36","0.3","0.18","0.66","0.84","2.4"
"","Adam Dawe","RW","SF","18.659","56","23","10","9","33","42","120","19.17","0.41","0.18","0.16","0.59","0.75","2.14"
"","Garrett Wait","LW","WAT","19.258","58","24","9","9","33","42","151","15.89","0.41","0.16","0.16","0.57","0.72","2.6"
"","Brock Caufield","RW","GB","18.522","60","18","15","7","33","40","133","13.53","0.3","0.25","0.12","0.55","0.67","2.22"
"","Brendan Furry","LW","OMA","19.19","59","17","16","7","33","40","109","15.6","0.29","0.27","0.12","0.56","0.68","1.85"
"","Joel Farabee","LW","USA","17.555","26","15","18","7","33","40","92","16.3","0.58","0.69","0.27","1.27","1.54","3.54"
"","Sampo Ranta","LW","SC","17.293","53","23","10","4","33","37","193","11.92","0.43","0.19","0.08","0.62","0.7","3.64"
"","Micah Miller","RW","SC","18.881","60","24","9","3","33","36","162","14.81","0.4","0.15","0.05","0.55","0.6","2.7"
"","Aaro Vidgren","LW","CHI","20.296","60","24","8","14","32","46","153","15.69","0.4","0.13","0.23","0.53","0.77","2.55"
"","Max Andreev","C","CIL","18.9","56","12","20","11","32","43","103","11.65","0.21","0.36","0.2","0.57","0.77","1.84"
"","Cade Borchardt","C","MAD","19.195","59","14","18","10","32","42","122","11.48","0.24","0.31","0.17","0.54","0.71","2.07"
