,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Jayden Halbgewachs,C,MJ,19.986,143,120,65,45,185,230,0.835,0.455,0.315,1.29,1.605
1,Sam Steel,C,REG,19.114,120,83,82,49,165,214,0.685,0.685,0.395,1.365,1.76
2,Aleksi Heponiemi,C,SC,18.184,129,56,89,59,145,204,0.44,0.71,0.48,1.155,1.63
3,Matthew Phillips,C,VIC,18.945,141,98,71,34,169,203,0.695,0.5,0.24,1.2,1.44
4,Cody Glass,C,POR,17.96,133,69,75,53,144,197,0.52,0.565,0.4,1.09,1.485
5,Brayden Burke,LW,LET/MJ/MJ,20.204,122,50,85,60,135,195,0.41,0.695,0.49,1.105,1.595
6,Tyler Steenbergen,C,SC,19.188,128,98,53,41,151,192,0.775,0.415,0.345,1.19,1.535
7,Glenn Gawdin,C,SC,19.977,119,82,51,50,133,183,0.67,0.41,0.415,1.08,1.495
8,Kole Lind,RW,KEL,18.416,128,69,75,38,144,182,0.55,0.605,0.29,1.155,1.44
9,Patrick Bajkov,RW,EVT,19.301,143,62,66,49,128,177,0.435,0.46,0.345,0.895,1.235
10,Giorgio Estephan,C,LET/SC/LET,20.114,137,65,55,55,120,175,0.47,0.4,0.4,0.88,1.28
11,Morgan Geekie,C,TC,18.658,140,65,71,39,136,175,0.465,0.505,0.28,0.975,1.25
12,Skyler McKenzie,LW,POR,19.153,144,89,47,35,136,171,0.615,0.325,0.24,0.945,1.19
13,Ty Lewis,LW,BDN,19.032,140,74,57,37,131,168,0.53,0.405,0.265,0.935,1.2
14,Jaret Anderson-Dolan,C,SPO,17.51,142,79,51,36,130,166,0.555,0.36,0.255,0.915,1.17
15,Kailer Yamamoto,RW,SPO,18.463,105,63,61,39,124,163,0.59,0.6,0.375,1.185,1.56
16,Matteo Gennaro,C,CGY/SC/CGY,19.964,136,85,43,31,128,159,0.625,0.315,0.23,0.94,1.17
17,Hudson Elynuik,C,SPO,19.426,135,59,58,40,117,157,0.44,0.43,0.295,0.865,1.16
18,Matt Bradley,C,MH/REG,20.147,142,71,50,35,121,156,0.5,0.35,0.245,0.855,1.1
19,Brett Howden,C,MJ,18.967,107,62,54,40,116,156,0.575,0.515,0.375,1.085,1.465
20,Braylon Shmyr,LW,SAS,19.834,138,72,62,20,134,154,0.52,0.445,0.145,0.965,1.11
21,Stelio Mattheos,C,BDN,17.757,137,69,59,23,128,151,0.505,0.435,0.17,0.935,1.1
22,Jordy Bellerive,C,LET,17.874,141,73,41,34,114,148,0.52,0.29,0.24,0.81,1.05
23,Tyler Soy,C,VIC,20.095,110,61,56,30,117,147,0.56,0.505,0.26,1.065,1.32
24,Garrett Pilon,C,KAM/KAM/EVT,18.926,136,54,57,34,111,145,0.395,0.42,0.25,0.815,1.065
25,Trey Fix-Wolansky,RW,EDM,17.809,141,56,58,29,114,143,0.395,0.415,0.205,0.81,1.01
26,Dante Hannoun,C,VIC,18.622,138,50,54,39,104,143,0.365,0.395,0.285,0.76,1.045
27,Mark Rassell,LW,MH,20.046,142,86,45,10,131,141,0.605,0.32,0.07,0.925,0.995
28,David Quenneville,D,MH,19.01,119,49,46,45,95,140,0.42,0.38,0.385,0.8,1.18
29,Dillon Dube,C,KEL,18.658,93,58,38,43,96,139,0.61,0.395,0.48,1.005,1.48
30,Ty Ronning,RW,VAN,19.405,138,86,30,21,116,137,0.62,0.215,0.15,0.84,0.99
31,Jordan Topping,LW,TC,19.656,115,66,37,30,103,133,0.59,0.33,0.255,0.915,1.17
