"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Mitchell Marner","RW","LDN","17.364","63","44","53","29","97","126","0.7","0.84","0.46","1.54","2.0"
"","Dylan Strome","C","ER","17.525","68","45","51","33","96","129","0.66","0.75","0.49","1.41","1.9"
"","Connor McDavid","C","ER","17.67","47","44","50","26","94","120","0.94","1.06","0.55","2.0","2.55"
"","Joseph Blandisi","C","BAR","20.162","68","52","32","28","84","112","0.76","0.47","0.41","1.24","1.65"
"","Kevin  Labanc","RW","BAR","18.76","68","31","51","25","82","107","0.46","0.75","0.37","1.21","1.57"
"","Max Domi","LW","LDN","19.54","57","32","47","23","79","102","0.56","0.82","0.4","1.39","1.79"
"","Tyler Bertuzzi","LW","GUE","19.557","68","43","36","19","79","98","0.63","0.53","0.28","1.16","1.44"
"","Andrew Mangiapane","LW","BAR","18.448","68","43","33","28","76","104","0.63","0.49","0.41","1.12","1.53"
"","Alex DeBrincat","RW","ER","16.742","68","51","25","28","76","104","0.75","0.37","0.41","1.12","1.53"
"","Christian  Dvorak","C","LDN","18.618","66","41","33","35","74","109","0.62","0.5","0.53","1.12","1.65"
"","Sergey Tolchinsky","RW","SSM","19.614","61","30","43","22","73","95","0.49","0.7","0.36","1.2","1.56"
"","Michael Dal Colle","LW","OSH","18.237","56","42","30","21","72","93","0.75","0.54","0.38","1.29","1.66"
"","Kyle  Platzer","C","OS","19.535","68","34","32","15","66","81","0.5","0.47","0.22","0.97","1.19"
"","Pius  Suter","LW","GUE","18.311","61","43","21","8","64","72","0.7","0.34","0.13","1.05","1.18"
"","Jared McCann","C","SSM","18.292","56","34","29","18","63","81","0.61","0.52","0.32","1.12","1.45"
"","Josh Ho-Sang","RW","NIAG/WSR","18.648","60","17","46","18","63","81","0.28","0.77","0.3","1.05","1.35"
"","Dylan Sadowy","LW","SAG","18.453","65","42","21","11","63","74","0.65","0.32","0.17","0.97","1.14"
"","Anthony DeAngelo","D","SSM/SAR","18.894","55","25","37","27","62","89","0.45","0.67","0.49","1.13","1.62"
"","Zach Nastasiuk","RW","OS","19.464","64","35","27","15","62","77","0.55","0.42","0.23","0.97","1.2"
"","Carter Verhaeghe","C","NIAG","19.089","68","33","28","21","61","82","0.49","0.41","0.31","0.9","1.21"
"","Remi Elie","LW","ER/BELV","19.417","63","30","30","16","60","76","0.48","0.48","0.25","0.95","1.21"
"","Erik Bradford","C","OS/OTT","19.907","69","28","32","13","60","73","0.41","0.46","0.19","0.87","1.06"
"","Dante Salituro","RW","OTT","17.832","68","37","21","20","58","78","0.54","0.31","0.29","0.85","1.15"
"","Cole Cassels","C","OSH","19.368","54","30","27","24","57","81","0.56","0.5","0.44","1.06","1.5"
"","Michael Bunting","LW","SSM","18.996","57","37","20","17","57","74","0.65","0.35","0.3","1.0","1.3"
"","Justin  Bailey","RW","SSM/KIT","19.209","57","34","23","12","57","69","0.6","0.4","0.21","1.0","1.21"
"","Travis Konecny","RW","OTT","17.514","60","29","27","12","56","68","0.48","0.45","0.2","0.93","1.13"
"","Nick Paul","LW","NB","19.491","58","37","19","10","56","66","0.64","0.33","0.17","0.97","1.14"
"","Matt  Rupert","LW","LDN","20.288","61","30","25","20","55","75","0.49","0.41","0.33","0.9","1.23"
"","Mike Amadio","C","NB","18.341","68","24","31","16","55","71","0.35","0.46","0.24","0.81","1.04"
"","Sonny Milano","LW","PLY","18.344","50","22","33","13","55","68","0.44","0.66","0.26","1.1","1.36"
"","Blake Speers","RW","SSM","17.701","57","24","30","13","54","67","0.42","0.53","0.23","0.95","1.18"
"","Brendan Lemieux","LW","BAR","18.503","57","41","13","6","54","60","0.72","0.23","0.11","0.95","1.05"
"","Tobias Lindberg","LW","OSH","19.152","67","32","21","25","53","78","0.48","0.31","0.37","0.79","1.16"
"","Michael  McCarron","RW","LDN/OSH","19.527","56","28","25","15","53","68","0.5","0.45","0.27","0.95","1.21"
"","Jason Dickinson","C","GUE","19.201","56","27","25","19","52","71","0.48","0.45","0.34","0.93","1.27"
"","Matt Mistele","LW","OSH/PLY","18.913","60","37","15","12","52","64","0.62","0.25","0.2","0.87","1.07"
"","Nick Moutrey","RW","NB/SAG","19.228","62","25","27","11","52","63","0.4","0.44","0.18","0.84","1.02"
"","Nicholas Baptiste","RW","ER/SBY","19.116","53","32","18","14","50","64","0.6","0.34","0.26","0.94","1.21"
"","Jimmy Lodge","RW","MISS/SAG","19.532","58","28","22","13","50","63","0.48","0.38","0.22","0.86","1.09"
"","Ryan MacInnis","C","KIT","18.585","67","25","24","13","49","62","0.37","0.36","0.19","0.73","0.93"
"","Nick  Ritchie","LW","SSM/PBO","18.779","48","29","19","14","48","62","0.6","0.4","0.29","1.0","1.29"
"","Robby Fabbri","C","GUE","18.648","30","25","22","4","47","51","0.83","0.73","0.13","1.57","1.7"
"","Ryan Kujawinski","C","NB/KGN","19.464","61","34","12","13","46","59","0.56","0.2","0.21","0.75","0.97"
"","Michael Clarke","C","PBO","20.381","58","23","23","9","46","55","0.4","0.4","0.16","0.79","0.95"
"","Chris Bigras","LD","OS","19.562","62","20","25","26","45","71","0.32","0.4","0.42","0.73","1.15"
"","Trevor Murphy","D","WSR","19.165","59","24","21","18","45","63","0.41","0.36","0.31","0.76","1.07"
"","Brendan  Perlini","LW","NIAG","18.385","43","26","19","15","45","60","0.6","0.44","0.35","1.05","1.4"
"","Justin Scott","C","BAR","19.091","68","30","15","8","45","53","0.44","0.22","0.12","0.66","0.78"
"","Rasmus Andersson","D","BAR","17.884","67","12","31","21","43","64","0.18","0.46","0.31","0.64","0.96"
"","Mitchell Vande Sompel","D","OSH","17.591","58","12","31","20","43","63","0.21","0.53","0.34","0.74","1.09"
