"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Adrian Carbonara","RW","BAR","17.512","39","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Webster","D","BAR","19.313","62","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Garrett  Hooey","C","BAR","20.288","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Andrew Mangiapane","LW","BAR","18.448","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cordell James","C","BAR","18.254","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Will Petschenig","D","OSH","19.614","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Chris  Carlisle","D","OSH","19.749","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cliff Pu","C","LDN/OSH","16.285","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Aidan Wallace","C","OSH","19.414","65","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Bradley  Latour","LW","OSH","19.007","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael Turner","LW","OSH","18.979","41","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Sonny Hertzberg","D","OSH","19.404","32","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Cole Cassels","C","OSH","19.368","54","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Sterk","C","LDN/OSH","19.661","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Anthony Cirelli","C","OSH","17.169","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Tobias Lindberg","LW","OSH","19.152","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephen Templeton","D","OSH","17.635","36","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jacob Busch","RW","OSH/OS","18.182","67","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Joe Manchurek","LW","OSH","18.098","56","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Hunter Smith","RW","OSH","19.012","57","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Stephen Desrocher","D","OSH","18.637","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Mitchell Vande Sompel","D","OSH","17.591","58","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
