"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Dylan Strome","C","ER","17.525","68","32","34","14","66","80","0.47","0.5","0.21","0.97","1.18","986.05","14.5","1.95","2.07","0.85","4.02","4.87","14.41","13.78","61.17","48.27","12.85","69.63","94","41"
"","Connor McDavid","C","ER","17.67","47","31","30","11","61","72","0.66","0.64","0.23","1.3","1.53","734.08","15.62","2.53","2.45","0.9","4.99","5.88","14.75","14.19","62.78","48.98","14.71","73.15","79","29"
"","Mitchell Marner","RW","LDN","17.364","63","26","28","15","54","69","0.41","0.44","0.24","0.86","1.1","822.72","13.06","1.9","2.04","1.09","3.94","5.03","14.44","14.04","59.28","48.56","23.74","71.13","69","28"
"","Tyler Bertuzzi","LW","GUE","19.557","68","30","24","12","54","66","0.44","0.35","0.18","0.79","0.97","1074.32","15.8","1.68","1.34","0.67","3.02","3.69","15.41","14.15","50.68","51.43","12.35","57.04","77","58"
"","Alex DeBrincat","RW","ER","16.742","68","31","18","22","49","71","0.46","0.26","0.32","0.72","1.04","1012.32","14.89","1.84","1.07","1.3","2.9","4.21","14.79","14.04","61.9","48.95","18.7","73.05","103","38"
"","Sergey Tolchinsky","RW","SSM","19.614","61","22","27","11","49","60","0.36","0.44","0.18","0.8","0.98","888.34","14.56","1.49","1.82","0.74","3.31","4.05","14.12","13.96","63.15","46.55","1.27","67.77","82","39"
"","Pius  Suter","LW","GUE","18.311","61","35","12","6","47","53","0.57","0.2","0.1","0.77","0.87","913.47","14.97","2.3","0.79","0.39","3.09","3.48","15.13","14.1","50.31","51.25","13.17","58.26","67","48"
"","Joseph Blandisi","C","BAR","20.162","68","30","16","12","46","58","0.44","0.24","0.18","0.68","0.85","1020.06","15.0","1.76","0.94","0.71","2.71","3.41","13.76","14.13","53.69","48.3","-0.67","52.38","66","60"
"","Max Domi","LW","LDN","19.54","57","17","29","7","46","53","0.3","0.51","0.12","0.81","0.93","781.89","13.72","1.3","2.23","0.54","3.53","4.07","14.39","14.19","58.27","49.6","15.37","64.52","60","33"
"","Christian  Dvorak","C","LDN","18.618","66","25","20","19","45","64","0.38","0.3","0.29","0.68","0.97","940.87","14.26","1.59","1.28","1.21","2.87","4.08","14.26","14.12","59.64","48.62","19.58","66.67","80","40"
"","Carter Verhaeghe","C","NIAG","19.089","68","28","17","15","45","60","0.41","0.25","0.22","0.66","0.88","956.97","14.07","1.76","1.07","0.94","2.82","3.76","14.08","14.06","54.76","48.49","10.44","60.0","75","50"
"","Remi Elie","LW","ER/BELV","19.417","63","22","22","13","44","57","0.35","0.35","0.21","0.7","0.9","883.5","14.02","1.49","1.49","0.88","2.99","3.87","15.09","14.26","56.82","51.17","8.25","61.68","66","41"
"","Josh Ho-Sang","RW","NIAG/WSR","18.648","60","12","31","10","43","53","0.2","0.52","0.17","0.72","0.88","833.32","13.89","0.86","2.23","0.72","3.1","3.82","14.16","14.12","52.73","48.76","5.82","59.05","62","43"
"","Anthony DeAngelo","D","SSM/SAR","18.894","55","20","22","15","42","57","0.36","0.4","0.27","0.76","1.04","1045.46","19.01","1.15","1.26","0.86","2.41","3.27","13.56","13.76","57.62","48.25","4.99","64.23","88","49"
"","Dylan Sadowy","LW","SAG","18.453","65","25","17","10","42","52","0.38","0.26","0.15","0.65","0.8","988.1","15.2","1.52","1.03","0.61","2.55","3.16","13.95","14.07","43.94","51.85","13.86","50.78","65","63"
"","Michael Dal Colle","LW","OSH","18.237","56","26","16","7","42","49","0.46","0.29","0.12","0.75","0.88","766.26","13.68","2.04","1.25","0.55","3.29","3.84","14.0","14.08","67.19","47.24","7.19","73.42","58","21"
"","Andrew Mangiapane","LW","BAR","18.448","68","26","15","11","41","52","0.38","0.22","0.16","0.6","0.76","911.07","13.4","1.71","0.99","0.72","2.7","3.42","13.87","14.05","53.87","48.86","12.84","60.95","64","41"
"","Michael Bunting","LW","SSM","18.996","57","22","17","12","39","51","0.39","0.3","0.21","0.68","0.89","770.42","13.52","1.71","1.32","0.93","3.04","3.97","14.28","13.61","63.24","46.89","9.22","73.0","73","27"
"","Justin Scott","C","BAR","19.091","68","26","13","6","39","45","0.38","0.19","0.09","0.57","0.66","843.6","12.41","1.85","0.92","0.43","2.77","3.2","13.14","13.7","53.24","47.82","13.48","61.96","57","35"
