,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.341,182,96,110,61,206,267,550,17.143,0.547,0.623,0.34,1.17,1.513,3.147,22.373,0.383,23,67,34.2,14,68,19.377,59,415,13.703,1707,3308,51.633
1,Nick Suzuki,C,OS/GUE/OS,18.1,175,114,86,60,200,260,761,14.84,0.647,0.49,0.347,1.133,1.477,4.39,33.303,0.57,20,98,18.927,26,113,22.213,68,550,12.393,1100,2095,52.603
2,Jason Robertson,RW,KGN/KGN/NIAG,18.152,183,122,82,52,204,256,843,14.643,0.683,0.473,0.29,1.16,1.447,4.647,38.237,0.633,23,104,22.01,27,156,16.723,72,583,12.703,6,23,26.19
3,Kevin Hancock,LW/C,OS/LDN/OS,19.54,177,95,98,47,193,240,737,12.83,0.54,0.56,0.26,1.103,1.363,4.233,26.39,0.45,19,70,27.557,23,104,22.617,53,563,9.493,1419,2566,55.43
4,Kyle Maksimovich,LW,ER/ER/OTT,19.519,184,81,75,51,156,207,501,16.0,0.45,0.41,0.283,0.857,1.14,2.733,20.443,0.333,9,59,15.127,27,89,28.423,45,353,12.783,127,319,40.667
5,Ben Jones,C,NIAG,18.552,184,75,87,45,162,207,516,14.167,0.417,0.487,0.24,0.9,1.14,2.823,21.797,0.36,31,121,24.21,17,68,24.333,27,327,8.44,1950,3683,52.927
6,Akil Thomas,RW/C,NIAG,17.703,177,70,70,65,140,205,491,14.62,0.407,0.403,0.373,0.813,1.187,2.787,18.66,0.32,18,67,27.47,15,80,19.087,37,344,10.78,1076,2033,51.25
7,Jordan Kyrou,RW,SAR,37.730999999999995,122,69,75,59,144,203,389,36.94,1.15,1.24,0.98,2.3899999999999997,3.37,6.34,57.95,0.95,20,66,60.85,13,69,39.36,36,254,30.75,198,395,99.44999999999999
8,Brandon Saigeon,C,HAM/HAM/OSH,19.256,187,91,66,45,157,202,630,14.303,0.493,0.36,0.247,0.853,1.1,3.407,22.917,0.37,17,67,25.27,22,87,25.787,52,476,11.027,1565,3023,51.24
9,Owen Tippett,RW,MISS/SAG/MISS,18.579,151,108,55,39,163,202,778,13.79,0.713,0.363,0.267,1.073,1.34,5.197,29.98,0.6,24,77,30.277,21,114,18.65,63,587,10.737,63,145,37.123
