,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.841,114,47,54,26,101,127,254,18.465,0.42,0.475,0.22,0.89,1.115,2.265,14.53,0.255,859.78,15.025,1.675,1.885,0.885,3.56,4.445,9.08,1.03,14.76,14.335,59.78,50.55,9.065,64.23,140,73,13,35,36.665,4,31,11.11,30,188,16.06,931,1758,52.915
1,Tye Felhaber,LW/RW,OTT,19.613,121,60,35,18,95,113,363,16.875,0.52,0.285,0.15,0.805,0.955,3.02,20.69,0.345,975.295,16.13,1.92,1.075,0.555,2.995,3.55,11.235,1.27,14.925,14.315,58.81,50.445,7.035,60.935,138,95,14,44,33.055,18,65,30.0,28,254,11.09,57,115,48.735
2,Lucas Chiodo,LW,BAR/BAR/OTT,19.374,122,45,38,20,83,103,192,23.545,0.37,0.31,0.16,0.685,0.845,1.6,13.43,0.225,776.865,12.825,1.735,1.465,0.76,3.205,3.97,7.455,1.04,14.445,14.14,57.45,49.555,12.56,66.645,121,61,10,32,30.16,10,39,25.0,25,121,20.875,3,10,21.43
3,Justin Brazeau,RW,NB,20.117,122,56,39,7,95,102,374,14.99,0.475,0.315,0.055,0.795,0.855,3.1,22.445,0.375,1036.84,17.07,1.66,1.125,0.205,2.78,2.99,10.885,1.31,15.045,14.22,49.915,50.395,14.535,54.665,137,114,15,63,24.84,15,66,23.275,26,245,10.77,19,58,21.11
4,Nick Suzuki,C,OS/GUE/OS,18.6,109,45,29,25,74,99,337,13.075,0.405,0.255,0.225,0.665,0.89,3.095,18.43,0.335,833.75,15.2,1.595,1.005,0.9,2.595,3.495,12.25,1.325,15.76,14.495,53.115,51.075,9.225,60.715,127,82,8,39,19.145,14,51,26.165,23,247,9.485,489,916,53.38
5,Kevin Hancock,LW/C,OS/LDN/OS,20.04,108,40,38,19,78,97,346,11.51,0.365,0.355,0.175,0.725,0.9,3.205,15.615,0.29,866.52,16.035,1.37,1.33,0.66,2.7,3.36,12.005,1.09,15.415,14.505,54.2,50.865,4.68,55.755,128,102,11,32,32.145,7,40,17.52,22,274,7.995,655,1149,57.47
6,Kyle Maksimovich,LW,ER/ER/OTT,20.019,119,44,27,26,71,97,252,17.375,0.365,0.23,0.225,0.595,0.825,2.105,14.79,0.25,901.92,15.17,1.45,0.915,0.885,2.365,3.25,8.335,0.975,15.04,14.42,49.67,51.055,7.69,54.315,124,105,7,38,18.465,19,57,33.565,18,157,11.325,60,166,34.065
7,Akil Thomas,RW/C,NIAG,18.203,116,36,32,22,68,90,230,16.745,0.33,0.285,0.19,0.615,0.8,1.97,13.56,0.24,836.89,14.535,1.33,1.175,0.775,2.505,3.28,8.16,0.97,14.22,14.155,55.955,49.79,11.125,62.04,124,77,12,43,26.645,7,43,16.345,17,144,12.71,757,1455,52.105
8,Ben Jones,C,NIAG,19.051,121,30,42,18,72,90,241,12.46,0.25,0.355,0.145,0.605,0.755,2.0,12.265,0.205,797.565,13.175,1.14,1.63,0.665,2.765,3.43,9.125,0.93,14.375,14.44,56.615,49.265,10.175,62.125,107,67,13,49,25.755,4,26,16.07,13,166,8.2,873,1636,53.26
9,Jason Robertson,RW,KGN/KGN/NIAG,18.652,115,42,33,13,75,88,358,12.015,0.37,0.305,0.1,0.675,0.78,3.1,22.515,0.385,900.885,15.65,1.425,1.17,0.39,2.595,2.99,11.88,1.48,15.065,14.195,50.345,50.66,18.635,62.835,116,71,9,50,17.955,11,68,15.41,22,240,9.72,2,10,20.835
10,Austen Keating,C,OTT,19.027,119,29,36,23,65,88,219,13.48,0.245,0.315,0.205,0.56,0.765,1.815,14.29,0.235,822.775,13.875,1.05,1.355,0.87,2.405,3.275,7.885,1.03,14.765,14.19,58.6,50.035,10.99,63.88,120,70,8,46,16.225,9,44,20.725,12,129,9.955,243,501,48.87
11,Sasha Chmelevski,C,OTT,18.77,109,41,30,15,71,86,333,12.485,0.375,0.3,0.13,0.675,0.8,3.005,19.305,0.345,870.35,15.795,1.425,1.15,0.49,2.575,3.065,11.405,1.295,14.96,14.21,56.695,49.89,0.755,57.63,114,92,8,53,14.125,10,58,17.085,23,222,10.875,748,1289,58.45
12,Matthew Struthers,C,OS/NB/NB,18.222,109,35,28,19,63,82,231,14.895,0.315,0.27,0.175,0.59,0.765,2.12,13.79,0.25,807.675,14.915,1.28,1.075,0.705,2.355,3.06,8.545,1.015,15.345,14.13,51.21,48.88,13.735,56.93,107,81,9,39,23.75,12,47,26.505,14,145,9.235,676,1526,44.355
13,Anthony Salinitri,LW,SAR/OSH/SAR,20.032,122,46,20,16,66,82,296,15.455,0.385,0.165,0.13,0.55,0.685,2.46,19.275,0.32,822.2,13.545,1.695,0.735,0.585,2.425,3.01,10.845,1.41,14.3,14.21,53.72,49.255,0.805,54.335,112,94,13,56,23.46,13,60,21.635,20,180,10.975,120,230,55.135
14,Arthur Kaliyev,RW,HAM,16.722,122,50,15,17,65,82,313,16.015,0.41,0.13,0.14,0.55,0.685,2.58,20.105,0.33,870.355,14.44,1.725,0.52,0.585,2.24,2.83,10.78,1.385,14.555,13.98,49.785,49.19,11.05,57.515,107,81,11,48,23.93,16,68,22.5,23,197,11.555,2,6,20.0
15,Nathan Dunkley,LW,LDN/KGN/LDN,18.03,113,32,27,23,59,82,185,17.465,0.285,0.24,0.205,0.525,0.725,1.665,13.83,0.25,798.935,14.16,1.21,1.01,0.865,2.22,3.085,7.005,1.045,14.61,14.025,56.78,48.515,13.35,64.945,128,69,11,47,22.5,10,47,21.975,11,91,12.13,374,679,54.91
16,Kirill Maksimov,RW,NIAG,18.792,112,37,27,17,64,81,245,15.11,0.335,0.235,0.15,0.57,0.72,2.2,13.07,0.235,766.565,13.69,1.46,1.04,0.655,2.5,3.15,9.655,1.025,14.455,14.305,56.34,49.2,13.375,65.215,111,59,6,32,19.215,8,32,24.605,23,181,12.825,3,11,36.11
17,Isaac Ratcliffe,LW,GUE,19.082,118,46,19,14,65,79,323,14.9,0.395,0.165,0.125,0.56,0.68,2.7,19.155,0.315,911.725,15.375,1.55,0.65,0.49,2.195,2.685,10.515,1.235,15.38,14.295,49.41,50.89,1.29,50.42,110,113,10,45,22.62,12,57,22.725,24,221,10.7,12,33,31.465
18,Allan McShane,C/LW,OSH,18.086,116,29,36,13,65,78,222,13.105,0.26,0.31,0.105,0.565,0.675,1.95,12.515,0.22,767.8,13.24,1.18,1.39,0.49,2.57,3.06,8.85,0.995,14.16,14.185,52.095,49.185,9.12,59.395,100,71,9,30,30.09,11,45,25.0,9,147,6.12,566,1024,55.305
19,Albert Michnac,C/LW,MISS/SAG,19.41,112,24,29,25,53,78,222,10.83,0.215,0.26,0.22,0.47,0.695,1.98,11.73,0.205,780.29,13.885,0.925,1.115,0.95,2.04,3.0,8.555,0.885,14.78,14.155,52.01,50.435,6.095,56.325,104,83,8,21,36.665,4,35,14.955,12,166,7.205,31,60,51.04
20,Matthew Strome,LW,HAM,19.191,120,41,22,15,63,78,248,16.35,0.335,0.18,0.125,0.52,0.645,2.065,17.18,0.28,894.13,14.905,1.36,0.74,0.505,2.1,2.6,8.32,1.14,15.01,14.245,50.89,49.725,-0.315,50.275,106,104,16,51,30.125,7,46,16.865,18,151,11.82,143,269,54.64
21,Adam Ruzicka,C,SAR/SAR/SBY,18.849,113,43,25,10,68,78,287,15.06,0.385,0.22,0.09,0.605,0.695,2.54,16.475,0.29,790.915,14.065,1.63,0.945,0.38,2.58,2.96,10.85,1.24,13.925,14.115,52.895,49.11,2.62,58.355,122,87,13,41,32.05,5,46,10.76,25,200,12.645,932,1615,57.71
22,Serron Noel,RW,OSH,17.603,117,38,24,16,62,78,176,21.855,0.32,0.21,0.14,0.53,0.67,1.515,13.77,0.235,800.91,13.74,1.425,0.9,0.6,2.325,2.925,6.595,1.03,14.24,14.445,53.38,49.79,-1.24,52.955,104,92,17,55,29.55,14,41,34.405,7,80,7.605,5,25,14.705
