"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tye Felhaber","RW","OTT","20.113","54","49","28","14","77","91","228","21.49","0.91","0.52","0.26","1.43","1.69","4.22","26.33","0.49","8","25","32.0","11","32","34.38","30","171","17.54","23","48","47.92"
"","Justin Brazeau","RW","NB","20.616","54","48","27","15","75","90","241","19.92","0.89","0.5","0.28","1.39","1.67","4.46","31.34","0.58","13","51","25.49","12","40","30.0","23","150","15.33","34","72","47.22"
"","Morgan Frost","C","SSM","19.341","48","34","40","19","74","93","208","16.35","0.71","0.83","0.4","1.54","1.94","4.33","25.2","0.52","6","24","25.0","2","18","11.11","26","166","15.66","544","1088","50.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","48","40","33","17","73","90","238","16.81","0.83","0.69","0.35","1.52","1.88","4.96","30.8","0.64","7","29","24.14","5","43","11.63","28","166","16.87","2","7","28.57"
"","Kevin Hancock","C","LDN/OS","20.54","56","41","32","13","73","86","267","15.36","0.73","0.57","0.23","1.3","1.54","4.77","23.55","0.42","10","23","43.48","7","31","22.58","24","213","11.27","575","1011","56.87"
"","Ben Jones","C","NIAG","19.551","54","33","36","11","69","80","180","18.33","0.61","0.67","0.2","1.28","1.48","3.33","25.34","0.47","12","47","25.53","9","29","31.03","12","104","11.54","570","1069","53.32"
"","Arthur Kaliyev","RW","HAM","17.221","56","45","22","21","67","88","267","16.85","0.8","0.39","0.38","1.2","1.57","4.77","37.79","0.67","11","35","31.43","5","36","13.89","29","196","14.8","0","3","0.0"
"","Brandon Saigeon","C","HAM/OSH","20.255","57","36","29","19","65","84","235","15.32","0.63","0.51","0.33","1.14","1.47","4.12","24.15","0.42","6","18","33.33","8","22","36.36","22","195","11.28","518","1076","48.14"
"","Anthony Salinitri","LW","OSH/SAR","20.532","57","40","20","16","60","76","227","17.62","0.7","0.35","0.28","1.05","1.33","3.98","28.67","0.5","7","33","21.21","11","47","23.4","22","147","14.97","189","373","50.67"
"","Kyle Maksimovich","LW","ER/OTT","20.518","55","34","24","19","58","77","162","20.99","0.62","0.44","0.35","1.05","1.4","2.95","19.36","0.35","3","18","16.67","12","31","38.71","19","113","16.81","31","99","31.31"
"","Nate Schnarr","RW","GUE","19.554","52","27","30","22","57","79","156","17.31","0.52","0.58","0.42","1.1","1.52","3.0","20.16","0.39","7","31","22.58","6","28","21.43","14","97","14.43","356","677","52.58"
"","Connor McMichael","C","LDN","17.665","53","32","25","6","57","63","181","17.68","0.6","0.47","0.11","1.08","1.19","3.42","20.86","0.39","13","29","44.83","6","33","18.18","13","119","10.92","280","507","55.23"
"","Akil Thomas","C","NIAG","18.703","49","28","28","23","56","79","152","18.42","0.57","0.57","0.47","1.14","1.61","3.1","19.15","0.39","9","26","34.62","5","26","19.23","14","100","14.0","399","743","53.7"
"","Serron Noel","RW","OSH","18.103","57","30","25","16","55","71","156","19.23","0.53","0.44","0.28","0.96","1.25","2.74","24.42","0.43","12","41","29.27","6","35","17.14","12","80","15.0","5","20","25.0"
"","Brett Neumann","C","KGN/OSH","19.582","57","37","17","13","54","67","227","16.3","0.65","0.3","0.23","0.95","1.18","3.98","23.7","0.42","10","25","40.0","7","44","15.91","20","158","12.66","558","994","56.14"
"","Alan Lyszczarczyk","LW","MISS/OS","20.575","51","29","25","11","54","65","225","12.89","0.57","0.49","0.22","1.06","1.27","4.41","26.92","0.53","9","45","20.0","2","34","5.88","18","146","12.33","15","30","50.0"
