"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Justin Brazeau","RW","NB","20.616","54","1","1","1","2","3","1","100.0","0.02","0.02","0.02","0.04","0.06","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","1","1","100.0"
"","Aidan Dudas","C","OS","18.251","54","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.04","0.04","0.06","0.42","0.01","0","1","0.0","0","0","0.0","1","2","50.0","11","22","50.0"
"","Serron Noel","RW","OSH","18.103","55","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.24","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Jack Quinn","RW","OTT","16.989","50","0","2","0","2","2","2","0.0","0.0","0.04","0.0","0.04","0.04","0.04","0.15","0.0","0","1","0.0","0","0","0.0","0","1","0.0","1","1","100.0"
"","Thomas Harley","D","MISS","17.074","54","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.04","0.04","0.06","0.31","0.01","1","2","50.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Calvin Martin","LW","SAR","18.998","56","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.04","0.04","0.02","0.11","0.0","0","0","0.0","1","1","100.0","0","0","0.0","1","1","100.0"
"","Ben Jones","C","NIAG","19.551","53","2","0","0","2","2","4","50.0","0.04","0.0","0.0","0.04","0.04","0.08","0.76","0.01","1","1","100.0","1","1","100.0","0","2","0.0","7","10","70.0"
"","Kirill Maksimov","RW","NIAG","19.291","50","0","2","0","2","2","1","0.0","0.0","0.04","0.0","0.04","0.04","0.02","0.05","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Sasha Chmelevski","C","OTT","19.269","41","0","2","0","2","2","0","0.0","0.0","0.05","0.0","0.05","0.05","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","6","10","60.0"
"","Alex Formenton","LW","LDN","19.007","16","0","2","0","2","2","1","0.0","0.0","0.12","0.0","0.12","0.12","0.06","0.14","0.01","0","0","0.0","0","0","0.0","0","1","0.0","2","3","66.67"
"","Noel Hoefenmayer","D","OTT","19.691","53","1","0","2","1","3","3","33.33","0.02","0.0","0.04","0.02","0.06","0.06","0.26","0.0","0","0","0.0","1","1","100.0","0","2","0.0","0","0","0.0"
"","Adam McMaster","C","NB/OS","18.558","55","1","0","2","1","3","1","100.0","0.02","0.0","0.04","0.02","0.05","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","3","0.0"
"","Tye Kartye","C","SSM","17.377","50","1","0","1","1","2","2","50.0","0.02","0.0","0.02","0.02","0.04","0.04","0.17","0.0","0","0","0.0","1","1","100.0","0","1","0.0","4","5","80.0"
"","Ryan O'Rourke","D","SSM","16.334","48","0","1","1","1","2","1","0.0","0.0","0.02","0.02","0.02","0.04","0.02","0.04","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","47","1","0","1","1","2","2","50.0","0.02","0.0","0.02","0.02","0.04","0.04","0.37","0.01","0","1","0.0","0","0","0.0","1","1","100.0","0","1","0.0"
"","Kelton Hatcher","D","SAR","19.409","45","0","1","1","1","2","0","0.0","0.0","0.02","0.02","0.02","0.04","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Liam Foudy","C","LDN","18.612","47","1","0","1","1","2","3","33.33","0.02","0.0","0.02","0.02","0.04","0.06","0.33","0.01","0","0","0.0","1","1","100.0","0","2","0.0","7","12","58.33"
"","Morgan Frost","C","SSM","19.341","47","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.04","0.37","0.01","0","1","0.0","0","0","0.0","1","1","100.0","7","11","63.64"
"","Cole MacKay","RW","SSM","17.257","51","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.2","0.0","0","1","0.0","0","0","0.0","0","0","0.0","0","1","0.0"
"","Ryan Roth","RW","SSM","18.155","54","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.14","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Austin Osmanski","D","PBO","20.378","54","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Matt McNamara","D","PBO","18.349","48","1","0","0","1","1","3","33.33","0.02","0.0","0.0","0.02","0.02","0.06","0.22","0.0","0","0","0.0","0","0","0.0","1","3","33.33","0","0","0.0"
"","Ryan Cranford","RW","KGN","20.436","52","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","2","50.0"
"","Tyler Burnie","C","KGN","19.598","52","1","0","0","1","1","3","33.33","0.02","0.0","0.0","0.02","0.02","0.06","0.39","0.01","0","0","0.0","1","2","50.0","0","1","0.0","7","9","77.78"
"","Connor Corcoran","D","WSR","18.106","56","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.04","0.19","0.0","0","0","0.0","1","1","100.0","0","1","0.0","0","0","0.0"
"","Brett Neumann","C","KGN/OSH","19.582","55","0","1","0","1","1","3","0.0","0.0","0.02","0.0","0.02","0.02","0.05","0.39","0.01","0","1","0.0","0","1","0.0","0","1","0.0","15","16","93.75"
"","Brady Lyle","D","OS","19.278","54","0","1","0","1","1","2","0.0","0.0","0.02","0.0","0.02","0.02","0.04","0.12","0.0","0","0","0.0","0","0","0.0","0","2","0.0","0","0","0.0"
"","Cedric Ralph","LW","GUE","19.65","54","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.19","0.0","0","0","0.0","0","0","0.0","0","1","0.0","2","3","66.67"
"","Isaac Ratcliffe","LW","GUE","19.582","51","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.24","0.0","1","1","100.0","0","0","0.0","0","0","0.0","0","1","0.0"
"","Ben Hawerchuk","LW","BAR","20.471","49","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.08","0.0","0","0","0.0","0","0","0.0","0","1","0.0","3","4","75.0"
"","Jason Willms","C","BAR","19.601","54","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.16","0.0","0","0","0.0","0","0","0.0","1","1","100.0","5","8","62.5"
"","Ryan Suzuki","C","BAR","17.301","51","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.04","0.2","0.0","0","0","0.0","0","0","0.0","1","2","50.0","4","11","36.36"
"","Carter Robertson","D","OS","18.667","54","1","0","0","1","1","3","33.33","0.02","0.0","0.0","0.02","0.02","0.06","0.24","0.0","0","0","0.0","1","1","100.0","0","2","0.0","0","0","0.0"
"","Alan Lyszczarczyk","LW","MISS/OS","20.575","50","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.08","0.0","0","0","0.0","0","0","0.0","0","1","0.0","1","2","50.0"
"","Kevin Hancock","C","LDN/OS","20.54","55","0","1","0","1","1","3","0.0","0.0","0.02","0.0","0.02","0.02","0.05","0.26","0.0","0","0","0.0","0","0","0.0","0","3","0.0","12","17","70.59"
"","Kyle MacLean","C","OSH","19.382","55","0","1","0","1","1","3","0.0","0.0","0.02","0.0","0.02","0.02","0.05","0.67","0.01","0","2","0.0","0","1","0.0","0","0","0.0","4","6","66.67"
"","Mitchell Brewer","D","OSH","17.49","54","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Allan McShane","LW","OSH","18.585","49","0","1","0","1","1","2","0.0","0.0","0.02","0.0","0.02","0.02","0.04","0.14","0.0","0","0","0.0","0","0","0.0","0","2","0.0","5","12","41.67"
"","Austen Keating","C","OTT","19.527","53","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.04","0.41","0.01","1","1","100.0","0","0","0.0","0","1","0.0","4","7","57.14"
"","Tye Felhaber","RW","OTT","20.113","53","1","0","0","1","1","6","16.67","0.02","0.0","0.0","0.02","0.02","0.11","1.16","0.02","0","0","0.0","0","0","0.0","1","6","16.67","2","2","100.0"
"","Kody Clark","RW","OTT","18.924","46","1","0","0","1","1","3","33.33","0.02","0.0","0.0","0.02","0.02","0.07","0.47","0.01","0","2","0.0","0","0","0.0","1","1","100.0","1","3","33.33"
