"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Tye Felhaber","RW","OTT","20.113","53","37","15","8","52","60","169","21.89","0.7","0.28","0.15","0.98","1.13","3.19","17.79","0.34","859.33","16.21","2.58","1.05","0.56","3.63","4.19","11.8","1.24","14.9","14.17","69.73","49.1","7.43","71.13","69","28","8","19","42.11","10","25","40.0","19","125","15.2","18","39","46.15"
"","Justin Brazeau","RW","NB","20.616","54","34","17","4","51","55","186","18.28","0.63","0.31","0.07","0.94","1.02","3.44","22.57","0.42","955.05","17.69","2.14","1.07","0.25","3.2","3.46","11.69","1.42","14.83","14.19","49.19","49.74","21.65","57.02","69","52","8","39","20.51","10","31","32.26","16","116","13.79","19","45","42.22"
"","Morgan Frost","C","SSM","19.341","47","21","22","9","43","52","117","17.95","0.45","0.47","0.19","0.91","1.11","2.49","12.82","0.27","689.91","14.68","1.83","1.91","0.78","3.74","4.52","10.18","1.11","14.71","14.32","55.34","51.98","5.14","57.14","48","36","5","15","33.33","0","13","0.0","16","89","17.98","372","706","52.69"
"","Kevin Hancock","C","LDN/OS","20.54","55","25","16","10","41","51","176","14.2","0.45","0.29","0.18","0.75","0.93","3.2","13.73","0.25","914.58","16.63","1.64","1.05","0.66","2.69","3.35","11.55","0.9","15.18","14.38","53.07","52.04","4.9","53.33","64","56","9","18","50.0","3","17","17.65","13","141","9.22","394","710","55.49"
"","Lucas Chiodo","LW","BAR/OTT","19.874","54","21","18","7","39","46","100","21.0","0.39","0.33","0.13","0.72","0.85","1.85","13.49","0.25","733.05","13.58","1.72","1.47","0.57","3.19","3.77","8.18","1.1","14.74","14.14","57.19","50.65","16.12","68.29","56","26","7","18","38.89","3","18","16.67","11","64","17.19","0","3","0.0"
"","Jason Robertson","RW","KGN/NIAG","19.152","47","19","19","2","38","40","142","13.38","0.4","0.4","0.04","0.81","0.85","3.02","16.67","0.35","730.22","15.54","1.56","1.56","0.16","3.12","3.29","11.67","1.37","14.8","14.45","47.33","50.92","28.71","67.11","51","25","4","23","17.39","3","23","13.04","12","96","12.5","1","4","25.0"
"","Connor McMichael","C","LDN","17.665","52","20","18","1","38","39","125","16.0","0.38","0.35","0.02","0.73","0.75","2.4","13.85","0.27","738.95","14.21","1.62","1.46","0.08","3.09","3.17","10.15","1.12","14.4","13.91","60.9","46.91","6.25","64.44","58","32","11","25","44.0","3","23","13.04","6","77","7.79","222","406","54.68"
"","Akil Thomas","C","NIAG","18.703","48","20","17","8","37","45","91","21.98","0.42","0.35","0.17","0.77","0.94","1.9","11.78","0.25","726.8","15.14","1.65","1.4","0.66","3.05","3.71","7.51","0.97","14.73","14.08","59.06","49.53","11.37","66.67","62","31","9","24","37.5","4","21","19.05","7","46","15.22","297","566","52.47"
"","Anthony Salinitri","LW","OSH/SAR","20.532","55","27","10","7","37","44","154","17.53","0.49","0.18","0.13","0.67","0.8","2.8","19.07","0.35","783.94","14.25","2.07","0.77","0.54","2.83","3.37","11.79","1.46","14.47","14.21","51.75","49.33","3.23","52.48","53","48","6","30","20.0","7","31","22.58","14","93","15.05","93","185","50.27"
"","Ben Jones","C","NIAG","19.551","53","14","23","7","37","44","111","12.61","0.26","0.43","0.13","0.7","0.83","2.09","11.57","0.22","694.24","13.1","1.21","1.99","0.6","3.2","3.8","9.59","1.0","14.96","14.4","59.14","49.04","9.69","66.67","50","25","4","22","18.18","1","14","7.14","9","75","12.0","372","709","52.47"
