,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Wilkes-Barre/Scranton Penguins,906,480,52.959,2684,2275,409,51.478,27618,24820,2798,9.504,0.91,100.411
1,Toronto Marlies,908,467,54.296,2734,2395,339,52.4,27232,26323,909,10.084,0.905,100.49
2,Hershey Bears,906,453,48.621,2843,2492,351,49.028,26398,26213,185,9.837,0.9,99.856
3,Chicago Wolves,905,445,54.171,2740,2456,284,50.6,26928,26913,15,10.64,0.908,101.427
4,Grand Rapids Griffins,908,426,53.093,2744,2511,233,52.266,29027,26894,2133,8.933,0.912,100.116
5,Milwaukee Admirals,907,423,48.566,2503,2371,132,49.292,25950,26155,-205,8.878,0.909,99.778
6,Providence Bruins,907,423,53.717,2588,2389,199,52.807,28708,26684,2024,9.425,0.908,100.24
7,Syracuse Crunch,905,411,55.05,2626,2574,52,51.374,27399,27013,386,10.343,0.911,101.432
8,Rockford IceHogs,908,396,48.016,2534,2606,-72,49.649,28583,27397,1186,8.001,0.914,99.354
9,Bridgeport Sound Tigers,909,384,49.63,2495,2659,-164,50.555,26895,27595,-700,9.67,0.901,99.716
10,San Antonio Rampage,906,365,46.595,2436,2678,-242,49.419,27412,27707,-295,8.657,0.904,99.104
11,Rochester Americans,907,357,50.89,2502,2789,-287,50.262,26086,28833,-2747,9.428,0.908,100.19
12,Texas Stars,746,353,50.397,2283,2134,149,51.718,23400,22482,918,9.575,0.902,99.699
13,Binghamton Senators,776,331,44.851,2271,2360,-89,47.75,23929,25709,-1780,8.77,0.9,98.773
14,Charlotte Checkers,669,316,52.774,1937,1909,28,51.847,20559,20295,264,9.864,0.904,100.226
15,Portland Pirates,700,314,50.186,2062,2035,27,49.842,20973,21615,-642,8.608,0.914,99.935
16,Manchester Monarchs,624,305,56.054,1798,1595,203,52.85,19118,18649,469,9.402,0.916,101.071
17,Hartford Wolf Pack,676,295,44.946,1889,1991,-102,48.037,19788,20227,-439,9.158,0.9,99.078
18,Hamilton Bulldogs,624,282,47.282,1666,1657,9,49.077,18554,18647,-93,7.921,0.915,99.388
19,Lake Erie Monsters,700,280,50.246,1844,1989,-145,51.186,20204,21229,-1025,8.379,0.913,99.702
20,Manitoba Moose,603,270,48.283,1638,1651,-13,47.195,17244,18642,-1398,8.926,0.914,100.336
21,Worcester Sharks,624,264,49.418,1693,1796,-103,53.236,20412,17926,2486,7.964,0.907,98.673
22,Norfolk Admirals,624,262,47.401,1715,1745,-30,50.331,19454,18776,678,7.846,0.914,99.233
23,Springfield Falcons,700,261,46.176,1877,2132,-255,48.847,19709,21616,-1907,8.62,0.904,99.02
24,Albany Devils,536,231,51.368,1410,1460,-50,52.795,15794,14979,815,8.698,0.908,99.508
25,Utica Comets,436,203,48.89,1198,1224,-26,48.88,13162,12927,235,9.593,0.905,100.072
26,St. John's IceCaps,456,201,48.319,1280,1334,-54,47.978,13584,13934,-350,9.363,0.91,100.301
27,Houston Aeros,472,201,51.131,1247,1215,32,49.172,12968,13250,-282,9.304,0.916,100.868
28,Peoria Rivermen,472,198,47.767,1283,1318,-35,49.038,14078,13991,87,8.117,0.915,99.576
29,Oklahoma City Barons,384,184,51.194,1143,1071,72,49.798,11828,11708,120,9.221,0.912,100.416
30,Lehigh Valley Phantoms,359,168,51.601,1086,1057,29,48.063,10715,11541,-826,10.251,0.91,101.314
31,Abbotsford Heat,388,160,49.755,975,1030,-55,49.759,11711,11241,470,8.683,0.913,99.964
32,Iowa Wild,435,151,50.129,1083,1279,-196,48.487,12403,13797,-1394,9.593,0.911,100.706
33,Adirondack Phantoms,388,141,45.338,949,1142,-193,49.205,11417,11837,-420,7.866,0.909,98.746
34,San Diego Gulls,255,133,52.089,804,737,67,49.231,7808,8037,-229,10.352,0.908,101.194
35,Ontario Reign,253,129,48.048,738,714,24,49.445,7944,7556,388,9.105,0.902,99.341
36,San Jose Barracuda,252,129,53.376,767,681,86,51.626,7853,7362,491,9.442,0.911,100.545
37,Bakersfield Condors,254,120,52.784,768,744,24,51.424,7745,7922,-177,9.45,0.908,100.22
38,Stockton Heat,255,113,48.602,788,813,-25,49.08,7893,7952,-59,10.311,0.896,99.904
39,Albany River Rats,240,102,50.03,659,674,-15,49.055,7247,7545,-298,8.942,0.914,100.305
40,Connecticut Whale,232,97,49.567,630,637,-7,48.287,6802,7074,-272,9.2,0.912,100.393
41,Tucson Roadrunners,185,91,50.178,548,555,-7,50.625,5508,5542,-34,9.57,0.903,99.848
42,Lowell Devils,240,89,47.395,625,727,-102,48.312,7091,7705,-614,8.772,0.91,99.768
43,Springfield Thunderbirds,208,82,49.132,585,616,-31,48.055,6000,6448,-448,9.638,0.908,100.415
44,Philadelphia Phantoms,160,78,51.305,459,436,23,48.775,4757,5002,-245,9.4,0.916,100.935
45,Cleveland Monsters,207,75,45.878,534,635,-101,51.498,6307,6134,173,8.178,0.898,97.945
46,Quad City Flames,160,58,48.94,399,416,-17,54.07,4992,4239,753,7.64,0.906,98.315
47,Belleville Senators,134,50,46.115,374,445,-71,46.19,3593,4216,-623,10.295,0.898,100.1
48,Binghamton Devils,133,46,44.225,347,438,-91,49.055,3725,3841,-116,9.09,0.891,98.22
49,Laval Rocket,132,45,45.24,352,437,-85,50.08,3718,3731,-13,9.22,0.891,98.335
50,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
51,Iowa Chops,80,32,45.41,208,250,-42,47.59,2072,2282,-210,9.82,0.893,99.1
