,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Daniel Carr,LW,CHI,26.873,47,28,19,17,47,64,144,19.44,0.6,0.4,0.36,1.0,1.36,3.06
1,Carter Verhaeghe,C,SYR,23.089,53,23,13,22,36,58,143,16.08,0.43,0.25,0.42,0.68,1.09,2.7
2,Jeremy Bracco,RW,TOR,21.498,55,15,30,10,45,55,94,15.96,0.27,0.55,0.18,0.82,1.0,1.71
3,Peter Holland,C,HFD/RFD,27.669,54,21,25,6,46,52,161,13.04,0.39,0.46,0.11,0.85,0.96,2.98
4,Chris Mueller,C,TOR,32.529,47,24,15,12,39,51,114,21.05,0.51,0.32,0.26,0.83,1.09,2.43
5,Andrew Poturalski,C,CHA,24.669,57,19,20,12,39,51,132,14.39,0.33,0.35,0.21,0.68,0.89,2.32
6,Reid Boucher,LW,UTI,25.019,44,24,16,10,40,50,183,13.11,0.55,0.36,0.23,0.91,1.14,4.16
7,Andrew Agozzino,LW,COL,27.699,48,22,17,11,39,50,147,14.97,0.46,0.35,0.23,0.81,1.04,3.06
8,Cory Conacher,RW,SYR,28.753,49,18,21,11,39,50,132,13.64,0.37,0.43,0.22,0.8,1.02,2.69
9,Greg Carey,LW,LV,28.447,54,23,16,10,39,49,145,15.86,0.43,0.3,0.19,0.72,0.91,2.69
10,Drake Batherson,RW,BEL,20.386,41,18,19,12,37,49,96,18.75,0.44,0.46,0.29,0.9,1.2,2.34
11,Brooks Macek,RW,CHI,26.336,53,21,16,12,37,49,93,22.58,0.4,0.3,0.23,0.7,0.92,1.75
12,Chris Terry,LW,GR,29.441,50,24,17,7,41,48,150,16.0,0.48,0.34,0.14,0.82,0.96,3.0
13,Alex Barre-Boulet,C,SYR,21.32,53,26,14,8,40,48,165,15.76,0.49,0.26,0.15,0.75,0.91,3.11
14,Alan Quine,C,STK,25.553,36,18,20,9,38,47,86,20.93,0.5,0.56,0.25,1.06,1.31,2.39
15,Victor Olofsson,RW,ROC,23.163,52,21,12,14,33,47,145,14.48,0.4,0.23,0.27,0.63,0.9,2.79
16,Sam Carrick,C,SD,26.612,46,27,15,5,42,47,128,21.09,0.59,0.33,0.11,0.91,1.02,2.78
17,Riley Barber,RW,HER,24.603,48,24,14,9,38,47,175,13.71,0.5,0.29,0.19,0.79,0.98,3.65
18,Mike Sgarbossa,C,HER,26.142,54,23,17,6,40,46,123,18.7,0.43,0.31,0.11,0.74,0.85,2.28
19,Matt Moulson,LW,ONT,34.873,49,22,13,11,35,46,99,22.22,0.45,0.27,0.22,0.71,0.94,2.02
20,Calle Rosen,D,TOR,24.617,52,7,16,22,23,45,127,5.51,0.13,0.31,0.42,0.44,0.87,2.44
21,Zach Redmond,D,ROC,30.139,44,21,10,14,31,45,157,13.38,0.48,0.23,0.32,0.7,1.02,3.57
22,Tyler Benson,LW,BAK,20.504,50,8,23,13,31,44,133,6.02,0.16,0.46,0.26,0.62,0.88,2.66
23,Harry Zolnierczyk,LW,SPR,31.04,54,11,20,12,31,43,107,10.28,0.2,0.37,0.22,0.57,0.8,1.98
24,Joel L'Esperance,C,TEX,23.078,49,27,7,9,34,43,136,19.85,0.55,0.14,0.18,0.69,0.88,2.78
25,Tanner Kero,C,UTI,26.144,53,21,14,8,35,43,103,20.39,0.4,0.26,0.15,0.66,0.81,1.94
26,Brandon Pirri,C,CHI,27.434,29,18,16,8,34,42,115,15.65,0.62,0.55,0.28,1.17,1.45,3.97
27,T.J. Tynan,C,CHI,26.555,49,10,17,15,27,42,73,13.7,0.2,0.35,0.31,0.55,0.86,1.49
28,Chris Bourque,LW,BRI,32.628,55,12,15,15,27,42,133,9.02,0.22,0.27,0.27,0.49,0.76,2.42
29,Matt Puempel,RW,GR,25.64,51,20,15,7,35,42,183,10.93,0.39,0.29,0.14,0.69,0.82,3.59
30,Alex Belzile,C,LAV,27.042,56,13,17,12,30,42,130,10.0,0.23,0.3,0.21,0.54,0.75,2.32
31,Tyler Graovac,C,STK,25.386,48,17,13,11,30,41,84,20.24,0.35,0.27,0.23,0.62,0.85,1.75
32,Cooper Marody,C,BAK,21.736,40,12,21,8,33,41,92,13.04,0.3,0.53,0.2,0.82,1.02,2.3
33,Chase De Leo,C,SD,22.892,50,16,13,12,29,41,128,12.5,0.32,0.26,0.24,0.58,0.82,2.56
34,Zack MacEwen,RW,UTI,22.188,49,17,15,9,32,41,116,14.66,0.35,0.31,0.18,0.65,0.84,2.37
35,Troy Terry,RW,SD,21.013,41,16,19,6,35,41,92,17.39,0.39,0.46,0.15,0.85,1.0,2.24
36,C.J. Smith,LW,ROC,23.79,42,17,18,6,35,41,130,13.08,0.4,0.43,0.14,0.83,0.98,3.1
37,Justin Dowling,C,TEX,27.957,49,12,15,13,27,40,121,9.92,0.24,0.31,0.27,0.55,0.82,2.47
38,Cal O'Reilly,C,IA,31.96,46,9,21,10,30,40,77,11.69,0.2,0.46,0.22,0.65,0.87,1.67
39,Aaron Ness,D,HER,28.329,50,2,17,21,19,40,73,2.74,0.04,0.34,0.42,0.38,0.8,1.46
40,Paul Thompson,RW,SPR,29.791,56,22,10,8,32,40,146,15.07,0.39,0.18,0.14,0.57,0.71,2.61
41,Gerald Mayhew,RW,IA,25.706,51,18,14,8,32,40,130,13.85,0.35,0.27,0.16,0.63,0.78,2.55
42,Joe Gambardella,LW,BAK,24.775,41,24,11,5,35,40,79,30.38,0.59,0.27,0.12,0.85,0.98,1.93
43,Logan Shaw,C,MB/SD,25.944,49,24,9,7,33,40,117,20.51,0.49,0.18,0.14,0.67,0.82,2.39
44,Erik Condra,RW,TEX,32.11,49,15,13,11,28,39,96,15.62,0.31,0.27,0.22,0.57,0.8,1.96
45,Cameron Gaunce,D,SYR,28.493,48,9,17,13,26,39,82,10.98,0.19,0.35,0.27,0.54,0.81,1.71
46,Otto Koivula,LW,BRI,20.039,52,17,10,12,27,39,80,21.25,0.33,0.19,0.23,0.52,0.75,1.54
47,Paul Carey,LW,PRO/BEL,29.975,43,13,12,14,25,39,100,13.0,0.3,0.28,0.33,0.58,0.91,2.33
48,Ethan Prow,D,WBS,25.827,53,15,13,11,28,39,126,11.9,0.28,0.25,0.21,0.53,0.74,2.38
49,Jack Rodewald,RW,BEL,24.584,41,19,10,10,29,39,97,19.59,0.46,0.24,0.24,0.71,0.95,2.37
